 	c'	est	un	homme	de	bonne	conduite	parmi	tous	les	hommes	que	je	connais	</S>
a15	0.101765	0.0840404	0.0779392	0.0856089	0.11806	0.167834	0.185268	0.0962343	0.0457571	0.0136263	0.0072817	0.00464092	0.00374036	0.00371733	0.00448736
a66	0.134358	0.108186	0.121431	0.115032	0.112528	0.108846	0.152008	0.0584043	0.025093	0.012718	0.00681016	0.00783011	0.0105483	0.012071	0.0141372
a87	0.198237	0.176362	0.159809	0.143402	0.143202	0.079276	0.0598886	0.0145699	0.00630917	0.00317248	0.00177767	0.00201979	0.00259691	0.00400236	0.00537567
a23	0.156286	0.153427	0.146415	0.155402	0.166548	0.0978052	0.0769916	0.0131269	0.00650608	0.00479065	0.00356497	0.00375265	0.00406121	0.00487008	0.00645224
a30	0.110246	0.147845	0.172976	0.188869	0.152038	0.0838075	0.0894724	0.0129748	0.00307349	0.00258517	0.00260712	0.00353573	0.00670135	0.008919	0.0143484
a53	0.116735	0.135596	0.163716	0.176883	0.145515	0.0851148	0.0902478	0.0223862	0.00907185	0.00644836	0.0053239	0.00631585	0.00984587	0.0117571	0.0150431
a54	0.126445	0.131317	0.134243	0.117885	0.12093	0.122258	0.097291	0.0388801	0.0216731	0.0138289	0.0119231	0.0134482	0.0154109	0.0169772	0.0174895
a92	0.107532	0.111078	0.101589	0.0810797	0.0812446	0.102036	0.0927301	0.0625296	0.0535018	0.0343829	0.0284078	0.0332613	0.0374408	0.0378228	0.035363
a5	0.0953681	0.0951033	0.0895009	0.0750985	0.0702915	0.0935481	0.103412	0.0903272	0.0797872	0.0480804	0.0341375	0.0340355	0.0345798	0.0299976	0.0267329
a12	0.127355	0.122985	0.116066	0.103614	0.0924126	0.0848148	0.0975007	0.0758126	0.0524594	0.0274666	0.0218599	0.0210178	0.0194787	0.0181609	0.0189969
a56	0.0883875	0.0947624	0.101836	0.097042	0.0884738	0.0857461	0.11005	0.0941954	0.0768105	0.0397723	0.029739	0.026333	0.0232219	0.0215061	0.022124
a75	0.0598772	0.0710077	0.095329	0.101215	0.0974642	0.0897205	0.124219	0.110045	0.0777414	0.0420776	0.0303649	0.0271206	0.0242736	0.0242699	0.0252748
a25	0.0158799	0.0202362	0.0393712	0.0543222	0.060725	0.0672817	0.124336	0.155406	0.134283	0.1037	0.0658276	0.0476592	0.037995	0.0357995	0.0371767
a69	0.00988667	0.0141947	0.0275849	0.0375583	0.0429773	0.0551201	0.0822053	0.160394	0.134311	0.13011	0.0874748	0.0527316	0.0475093	0.0521542	0.0657873
a75	0.0102366	0.0126567	0.0247952	0.0377572	0.0524455	0.0572903	0.073243	0.0798871	0.102145	0.09346	0.0690969	0.0632773	0.079989	0.108595	0.135126
a5	0.00242357	0.00389556	0.00996147	0.0196289	0.0379484	0.0525944	0.0833585	0.130933	0.124794	0.131338	0.100351	0.069701	0.0659409	0.0773007	0.0898317
a23	0.00375355	0.00532674	0.012014	0.0216233	0.0451805	0.0538258	0.109982	0.148406	0.133869	0.114541	0.0885037	0.0642259	0.0597933	0.065183	0.0737724
a27	0.00313874	0.00407157	0.0080591	0.0133143	0.0301577	0.047661	0.0843501	0.120108	0.140147	0.133477	0.100451	0.0654436	0.0642464	0.0780827	0.107291
a10	0.0150541	0.0181651	0.0224724	0.0333449	0.0572864	0.0948404	0.0805474	0.0733385	0.0991531	0.0781613	0.0559661	0.0363535	0.0598879	0.10232	0.173109
a75	0.0238615	0.027665	0.0328246	0.045189	0.0751199	0.108215	0.10674	0.069822	0.0850088	0.0751105	0.0499032	0.028495	0.0467809	0.0805005	0.144764
a85	0.00232416	0.00258457	0.00418592	0.00596746	0.0104486	0.0143692	0.022708	0.0313152	0.0439261	0.0847509	0.0819469	0.0671945	0.107069	0.202105	0.319104
a47	0.00130347	0.00142456	0.00209801	0.00286219	0.00537535	0.00853923	0.0136161	0.0293167	0.0615008	0.132178	0.122616	0.0917004	0.109011	0.168156	0.250303
a85	0.00555223	0.00614782	0.00856652	0.0108139	0.0193571	0.0283136	0.0338756	0.0428978	0.0582999	0.101767	0.0969647	0.0607936	0.0874349	0.167916	0.271299
a5	0.00123363	0.00140813	0.00202308	0.00275788	0.0058108	0.0105791	0.0139415	0.0271064	0.067244	0.131955	0.133232	0.0940123	0.109856	0.165638	0.233202
a37	0.00300057	0.00322554	0.00486568	0.00650869	0.0126654	0.0173997	0.0241362	0.02935	0.05855	0.114133	0.129832	0.108003	0.122741	0.154738	0.210852
a85	0.00336748	0.00385399	0.00584451	0.00794666	0.0157515	0.0246119	0.0231321	0.0230935	0.0338047	0.079485	0.109566	0.0954098	0.131329	0.179532	0.263272
a5	0.00109359	0.00115608	0.0015844	0.00204373	0.00448093	0.00790805	0.00882588	0.0151727	0.034461	0.0931583	0.125323	0.107737	0.141594	0.191754	0.263708
a12	0.00123831	0.00132792	0.00199724	0.00266916	0.00574333	0.00916199	0.0108784	0.0122685	0.0259265	0.0779591	0.119555	0.1302	0.177263	0.18319	0.240621
a96	0.00288174	0.00315055	0.00411439	0.00521825	0.00864538	0.0132689	0.014572	0.0148198	0.0176573	0.044082	0.0747165	0.0987958	0.191854	0.219002	0.287221
a98	0.00289339	0.00296521	0.0035646	0.0043082	0.00785412	0.0122475	0.011224	0.00968972	0.0110127	0.0349545	0.0634362	0.0784368	0.180485	0.238536	0.338392
a79	0.000511905	0.000571256	0.000792466	0.00102477	0.00199059	0.00340667	0.00369703	0.00470329	0.00721259	0.0308584	0.0564637	0.073974	0.190746	0.254548	0.369499
a37	0.0008675	0.000897437	0.00109219	0.00127624	0.0020298	0.0029255	0.00270913	0.00333666	0.00523733	0.0258574	0.0433538	0.0581149	0.172043	0.27331	0.406949
a47	0.00145405	0.00132109	0.0014202	0.001398	0.00202214	0.00252322	0.00227879	0.00275836	0.00444858	0.0211627	0.0332847	0.0512293	0.154169	0.278388	0.442143
a85	0.000284038	0.000296608	0.00041605	0.000490536	0.000867454	0.00120647	0.00169816	0.00225499	0.00538914	0.0251797	0.0414545	0.0741385	0.2058	0.28027	0.360254
a6	0.000115621	0.000122407	0.00016753	0.000207032	0.000387065	0.000480895	0.00061621	0.000896853	0.00226822	0.0156116	0.0340673	0.0672168	0.195668	0.285724	0.396451
a36	0.000170296	0.00017934	0.000246802	0.000291106	0.000525406	0.000735624	0.00075134	0.00113199	0.00279851	0.0173834	0.0325749	0.0580397	0.178973	0.277727	0.428471
a11	0.0016515	0.001482	0.00142815	0.00130399	0.00158537	0.0018893	0.00128032	0.00185475	0.00309697	0.0162624	0.025221	0.0468488	0.13432	0.283482	0.478293
a90	0.00213235	0.00199687	0.00207313	0.00190113	0.00227252	0.00277974	0.00222359	0.00278727	0.00392884	0.014434	0.022084	0.0421706	0.135481	0.288903	0.474832
