 	la	femme	ramasse	les	brins	d'	herbe	</S>
a23	0.308595	0.181271	0.0970806	0.0632373	0.0814867	0.0653283	0.0850464	0.117955
a87	0.360575	0.222343	0.144884	0.0936377	0.0543345	0.036756	0.0356653	0.0518042
a23	0.267651	0.233937	0.159922	0.0962082	0.0656435	0.0575633	0.0517762	0.0672986
a4	0.36319	0.271215	0.152901	0.0699275	0.048702	0.0298436	0.0262037	0.0380171
a93	0.436331	0.284189	0.160618	0.0728919	0.0269716	0.00985551	0.00496061	0.00418269
a35	0.32094	0.292463	0.220757	0.106792	0.0306791	0.0131647	0.007755	0.00744899
a26	0.275576	0.272344	0.225693	0.136791	0.0442052	0.0225971	0.012662	0.0101323
a35	0.174042	0.210062	0.228488	0.188735	0.0975392	0.0521841	0.0276962	0.0212549
a94	0.172204	0.195024	0.214835	0.201438	0.117807	0.0558766	0.0259904	0.016825
a35	0.155578	0.165032	0.181648	0.195688	0.148245	0.0838825	0.0416721	0.0282547
a30	0.121484	0.141505	0.166224	0.211528	0.176399	0.0975006	0.0495573	0.0358014
a2	0.112629	0.147176	0.193007	0.218065	0.170073	0.0897753	0.0407318	0.0285433
a38	0.0707554	0.0944271	0.119614	0.157961	0.18011	0.154116	0.115108	0.107909
a35	0.067743	0.088365	0.129027	0.187734	0.215382	0.134286	0.0869613	0.0905025
a7	0.0362831	0.0507687	0.0900549	0.152823	0.276301	0.179603	0.116029	0.0981369
a11	0.0180713	0.0250023	0.0344967	0.0598296	0.132976	0.190216	0.234673	0.304736
a75	0.0128496	0.0147279	0.0195995	0.0380687	0.109944	0.160812	0.256258	0.38774
a14	0.00855144	0.0125006	0.0211026	0.041468	0.143267	0.204273	0.274393	0.294444
a35	0.0118448	0.015638	0.0237151	0.0426375	0.152906	0.214773	0.270279	0.268207
a26	0.0114747	0.013919	0.0189446	0.0350337	0.104918	0.17305	0.28112	0.36154
a24	0.0039634	0.00482878	0.00521172	0.0096464	0.0315007	0.0944876	0.287232	0.563129
a9	0.00397754	0.00469688	0.00555842	0.0102896	0.028776	0.0618422	0.217583	0.667277
a87	0.00318786	0.00409555	0.00477495	0.0108289	0.0309606	0.0876704	0.283384	0.575098
</S>	0.00310052	0.00327752	0.0037525	0.00801468	0.031806	0.0825284	0.277209	0.590312
