 	si	tu	avoues	je	ne	te	ferai	rien	</S>
a10	0.184392	0.162908	0.159342	0.131836	0.112706	0.137948	0.0632323	0.031119	0.0165176
a87	0.193314	0.148086	0.136557	0.142288	0.0803438	0.0621467	0.070117	0.0774504	0.0896965
a23	0.246971	0.170385	0.167515	0.167317	0.0714845	0.0457908	0.0352803	0.0403652	0.0548914
a79	0.164053	0.17569	0.190678	0.210252	0.104178	0.0649598	0.0387084	0.0282477	0.0232329
a20	0.296962	0.29017	0.240113	0.09144	0.0303315	0.0141559	0.00875818	0.0111245	0.0169446
a73	0.29195	0.27495	0.206081	0.110866	0.0626995	0.0312097	0.010636	0.00624909	0.0053583
a44	0.189527	0.223661	0.214043	0.166047	0.119523	0.0571823	0.0178313	0.00681086	0.00537349
a90	0.145619	0.178775	0.192668	0.178779	0.156071	0.0864853	0.0330251	0.0151725	0.0134036
a57	0.118291	0.146764	0.180938	0.201394	0.175064	0.0969974	0.039614	0.0203727	0.0205647
a38	0.117097	0.139407	0.171198	0.165195	0.162454	0.118786	0.0552862	0.0337712	0.0368059
a75	0.107928	0.131063	0.167036	0.151977	0.152254	0.116802	0.0628334	0.0502104	0.0598968
a41	0.105811	0.127051	0.152882	0.184275	0.16277	0.102067	0.0605826	0.0507202	0.0538402
a94	0.0866072	0.0957044	0.132755	0.18659	0.18445	0.131344	0.073543	0.0524109	0.0565964
a24	0.0714436	0.0762231	0.0948609	0.151153	0.20884	0.168375	0.0885741	0.0637681	0.0767627
a25	0.0548273	0.0601983	0.0724505	0.116226	0.16448	0.148948	0.1281	0.115429	0.13934
a87	0.0590885	0.0740052	0.0931943	0.138175	0.211525	0.191389	0.106399	0.0581353	0.0680885
a23	0.0303553	0.0337011	0.0416044	0.0678055	0.111063	0.147687	0.176721	0.172783	0.21828
a9	0.0621712	0.0581477	0.0529451	0.0622763	0.0863408	0.11692	0.136006	0.144068	0.281125
a38	0.0349333	0.0320734	0.0352151	0.0468861	0.0586293	0.0772567	0.112241	0.197219	0.405546
a20	0.0533177	0.0521425	0.0582484	0.0722759	0.0941769	0.113596	0.112125	0.177199	0.266919
a69	0.0774868	0.0797624	0.0742038	0.0846905	0.110886	0.119747	0.110813	0.145503	0.196908
a58	0.0636491	0.0709921	0.0680044	0.0751309	0.102048	0.116739	0.121319	0.169502	0.212616
a82	0.03607	0.0437733	0.0455841	0.0497955	0.0740278	0.110113	0.135606	0.212226	0.292804
a11	0.0271321	0.0304044	0.0301719	0.0302621	0.0438668	0.0772016	0.128269	0.226222	0.40647
a75	0.026486	0.0283043	0.0270407	0.0237091	0.0308442	0.052501	0.0972525	0.233413	0.480449
a73	0.0531931	0.0489415	0.0397303	0.0300222	0.0295043	0.0411683	0.0824355	0.205816	0.469189
a44	0.0212872	0.0213765	0.0184267	0.016299	0.0197122	0.0329171	0.0868326	0.245729	0.53742
a54	0.0309597	0.0281905	0.0218815	0.0190215	0.0196066	0.0259582	0.0674485	0.227257	0.559677
a41	0.0598107	0.0578907	0.0445338	0.0358313	0.0295331	0.0332348	0.07027	0.216366	0.45253
a32	0.0531715	0.0523134	0.0416224	0.0304148	0.02703	0.0366804	0.0891815	0.25952	0.410066
a24	0.0326258	0.0299996	0.0200057	0.0143288	0.0162445	0.0222318	0.0566342	0.240601	0.567329
a41	0.0233124	0.0205399	0.0122744	0.00815608	0.0071054	0.00840676	0.0268758	0.17231	0.72102
a73	0.0213662	0.0189945	0.0125457	0.00953165	0.00878451	0.013025	0.0436798	0.261361	0.610712
a27	0.0256645	0.0245266	0.0173035	0.0141195	0.0143878	0.0195366	0.0487802	0.239978	0.595703
a98	0.0478466	0.0361143	0.02251	0.0207707	0.0202492	0.0283986	0.0599075	0.189813	0.574391
a73	0.0349531	0.0294878	0.0201238	0.0240803	0.0230572	0.0293975	0.0741755	0.27801	0.486714
a84	0.0307681	0.0262078	0.0186192	0.0191581	0.016668	0.0207552	0.051232	0.229561	0.587031
a57	0.0610068	0.0460468	0.0303563	0.0391167	0.025967	0.0251857	0.0482292	0.167684	0.556408
a87	0.0428147	0.0288169	0.0189617	0.023485	0.0191171	0.0251967	0.0606525	0.181354	0.599601
</S>	0.0524996	0.0301583	0.0187375	0.0154661	0.0170023	0.0385739	0.113122	0.2422	0.472241
