 	un	chasseur	mal	adroit	rate	le	gibier	</S>
a66	0.204901	0.193351	0.209814	0.206146	0.14525	0.0202293	0.0108911	0.00941721
a87	0.242295	0.159216	0.178188	0.127209	0.182114	0.0517306	0.0317797	0.0274679
a23	0.241546	0.203888	0.201113	0.108443	0.116152	0.0631852	0.0366498	0.0290229
a30	0.188789	0.223934	0.205884	0.108437	0.0822359	0.0694024	0.0647586	0.0565588
a4	0.215805	0.25319	0.228052	0.127088	0.0768366	0.0352253	0.0333225	0.0304801
a13	0.239695	0.247128	0.219185	0.148413	0.0844096	0.0245202	0.0199254	0.0167241
a34	0.259533	0.251406	0.194602	0.149629	0.0881945	0.0257974	0.0178643	0.0129741
a96	0.291865	0.257128	0.198648	0.153361	0.0665972	0.015461	0.00994191	0.00699718
a62	0.244762	0.251183	0.199454	0.167699	0.0859938	0.0252167	0.0154032	0.0102883
a47	0.226263	0.232604	0.195923	0.182815	0.113393	0.0239649	0.0143548	0.0106819
a62	0.222176	0.216702	0.190616	0.16422	0.135196	0.0340197	0.0210899	0.0159798
a47	0.217719	0.204324	0.18413	0.191041	0.147724	0.026575	0.0158065	0.0126801
a31	0.147663	0.171606	0.193801	0.196775	0.199314	0.0423325	0.0260298	0.0224781
a62	0.119483	0.160565	0.18783	0.201457	0.223901	0.0496136	0.0294497	0.0276993
a88	0.0867831	0.143258	0.181717	0.203791	0.257831	0.0646304	0.0322399	0.0297497
a61	0.0592851	0.107329	0.148692	0.187795	0.297134	0.104494	0.0495514	0.0457192
a43	0.0535261	0.0879058	0.135491	0.185369	0.299057	0.122268	0.0597475	0.0566368
a75	0.0469859	0.0781274	0.120522	0.159801	0.300444	0.144352	0.0743813	0.0753867
a85	0.0185527	0.0260976	0.0398282	0.0826894	0.232828	0.216028	0.188605	0.19537
a47	0.0182658	0.0279332	0.0441394	0.084896	0.256693	0.203327	0.169249	0.195496
a36	0.0261856	0.0331572	0.0448702	0.0715147	0.183688	0.172346	0.203528	0.26471
a2	0.0389948	0.0563756	0.071746	0.0899608	0.161142	0.135263	0.191133	0.255385
a75	0.0383381	0.0484184	0.0480481	0.0453241	0.128866	0.139087	0.238017	0.313902
a47	0.0151377	0.0150981	0.0191319	0.0274538	0.0648633	0.160451	0.28299	0.414875
a36	0.0050307	0.00697403	0.00844078	0.0118218	0.0423672	0.143317	0.31741	0.464639
a98	0.00586354	0.00750714	0.00841106	0.00787917	0.0231128	0.127445	0.347408	0.472373
a79	0.00394788	0.00426184	0.00492253	0.00617433	0.0224832	0.124996	0.351964	0.48125
a85	0.00272774	0.00314388	0.00371977	0.00462878	0.0182019	0.106038	0.351738	0.509802
a6	0.000813538	0.00115836	0.00148118	0.00225536	0.0105571	0.0742086	0.334665	0.574861
a36	0.00107916	0.00120802	0.00149621	0.00201809	0.0116309	0.0945304	0.328361	0.559676
a7	0.00615846	0.00592096	0.00594572	0.0048733	0.016192	0.116788	0.309979	0.534142
a2	0.00521715	0.00628071	0.00584174	0.00569269	0.0185783	0.120772	0.307296	0.530322
a57	0.0708225	0.0562959	0.0444617	0.0398142	0.0496465	0.142546	0.239274	0.357139
a87	0.101655	0.0542809	0.0533427	0.0382189	0.0520885	0.175809	0.241812	0.282793
a38	0.117427	0.0594789	0.0731278	0.0625338	0.0913397	0.210277	0.203941	0.181874
a32	0.0259636	0.0129928	0.0174007	0.0145962	0.0321874	0.259502	0.332687	0.30467
</S>	0.0111586	0.00686304	0.0104464	0.0118773	0.0241336	0.188186	0.337429	0.409906
