 	à	combien	est	vendu	ce	tas	de	poissons	</S>
a66	0.176111	0.141599	0.137408	0.176999	0.18134	0.107232	0.0474817	0.0190432	0.0127855
a87	0.0953046	0.102687	0.0952859	0.0956265	0.0948448	0.150601	0.129318	0.115653	0.120679
a23	0.314759	0.236945	0.146804	0.130844	0.0780512	0.0389192	0.0218062	0.0150745	0.0167971
a83	0.308175	0.266613	0.156013	0.118485	0.0627495	0.0329784	0.019919	0.016911	0.0181563
a71	0.284914	0.250307	0.14081	0.109509	0.0558455	0.0376029	0.0382368	0.0412397	0.041535
a38	0.31814	0.319484	0.119603	0.0794332	0.0535012	0.0336294	0.0262349	0.0253297	0.0246444
a70	0.291386	0.314321	0.117861	0.0825734	0.0658767	0.0411864	0.0310306	0.0291499	0.026615
a75	0.249775	0.277595	0.12535	0.0999648	0.0889557	0.0601926	0.0397308	0.0310748	0.0273614
a5	0.210196	0.250128	0.120658	0.109534	0.09389	0.0673454	0.0506849	0.0474773	0.0500868
a75	0.202466	0.214505	0.107614	0.101672	0.107003	0.0915276	0.0632681	0.0563473	0.0555955
a12	0.173966	0.165297	0.109147	0.107859	0.109779	0.109703	0.0814722	0.0694933	0.0732827
a61	0.214574	0.185505	0.123148	0.118152	0.123586	0.106221	0.0533175	0.0372399	0.0382561
a12	0.200708	0.141119	0.122971	0.115772	0.117728	0.128916	0.0760265	0.0488267	0.0479328
a98	0.152749	0.102628	0.120565	0.117669	0.126359	0.162685	0.103094	0.0592166	0.0550355
a85	0.081991	0.0604161	0.0814151	0.0874986	0.0911796	0.156347	0.149733	0.126838	0.164582
a6	0.0699246	0.0464989	0.0677332	0.0751007	0.0687384	0.110009	0.140193	0.159904	0.261899
a36	0.0623661	0.040319	0.0682764	0.0771129	0.0790014	0.128472	0.148099	0.160276	0.236077
a12	0.0432776	0.0291655	0.0491565	0.0525176	0.0599683	0.109844	0.138731	0.188768	0.328572
a75	0.0210791	0.0144908	0.0221226	0.02301	0.0299741	0.100917	0.185113	0.269247	0.334046
a79	0.0119225	0.00736903	0.0105572	0.0104403	0.0100742	0.0380337	0.112422	0.289194	0.509987
a7	0.00992331	0.00549322	0.00813944	0.00766638	0.00676328	0.0251131	0.0795459	0.256868	0.600487
a75	0.0123698	0.00872273	0.0119406	0.00987973	0.00778497	0.018671	0.0466611	0.174269	0.709701
a21	0.0097534	0.0057731	0.00858568	0.00819916	0.00660298	0.0213157	0.0647056	0.240565	0.6345
a5	0.00509618	0.00322432	0.00467681	0.00421455	0.00348309	0.0126319	0.0494306	0.230807	0.686436
a18	0.00510821	0.00355031	0.00464022	0.00388352	0.002732	0.0087429	0.0368927	0.211748	0.722703
a25	0.00880582	0.0091767	0.0113609	0.00834571	0.00632979	0.0139559	0.0479467	0.220727	0.673351
a82	0.0505339	0.0441759	0.0493133	0.0362461	0.0265518	0.0443669	0.0902252	0.212895	0.445692
a3	0.133231	0.0886081	0.0767814	0.0611883	0.0464866	0.060025	0.0947539	0.173042	0.265884
a9	0.324391	0.170428	0.0984422	0.0847133	0.0513395	0.0406734	0.0456297	0.0741347	0.110249
a87	0.26033	0.155241	0.0921524	0.0818598	0.0662814	0.0701391	0.0739827	0.0874196	0.112594
a23	0.191246	0.129648	0.0910838	0.0875185	0.0867014	0.086581	0.086646	0.102862	0.137712
a87	0.118707	0.0786363	0.0758705	0.0671424	0.0467736	0.0589348	0.0841915	0.159631	0.310113
a23	0.0702546	0.0505428	0.0481326	0.036567	0.0266264	0.0407756	0.0727829	0.19419	0.460128
a99	0.118892	0.0774462	0.0740862	0.0614044	0.0475247	0.0579848	0.0794046	0.159375	0.323882
a97	0.167387	0.105703	0.105308	0.0856029	0.0584149	0.0552993	0.0673122	0.123894	0.231079
</S>	0.134612	0.0821228	0.0777292	0.0631266	0.0389861	0.0420041	0.0605593	0.145848	0.355012
