 	mon	épouse	est	enceinte	</S>
a66	0.351042	0.234421	0.17353	0.15219	0.0888171
a87	0.255411	0.228296	0.200822	0.168152	0.147319
a23	0.488056	0.223509	0.117146	0.0850316	0.0862576
a30	0.500504	0.239942	0.119548	0.0618912	0.0781154
a54	0.513201	0.242991	0.105519	0.0562473	0.0820411
a15	0.487613	0.297715	0.122749	0.044706	0.0472162
a98	0.319025	0.310459	0.196815	0.0844503	0.08925
a6	0.303121	0.294822	0.215235	0.100806	0.0860153
a75	0.231917	0.252383	0.223477	0.14039	0.151832
a5	0.183842	0.220713	0.242253	0.186702	0.16649
a47	0.139606	0.18009	0.23295	0.234989	0.212364
a61	0.106178	0.13907	0.218861	0.272729	0.263162
a43	0.0530658	0.0748527	0.166986	0.336585	0.36851
a96	0.0327257	0.0450404	0.104659	0.329053	0.488522
a61	0.0233098	0.0330923	0.0710202	0.27379	0.598788
a66	0.0204899	0.0296392	0.062241	0.243711	0.643919
a9	0.0268809	0.0412259	0.073576	0.226342	0.631975
a3	0.0429334	0.0555766	0.0910337	0.242787	0.56767
a87	0.121018	0.0997855	0.120885	0.246562	0.41175
a23	0.207293	0.154866	0.153564	0.229661	0.254615
a99	0.115681	0.0910578	0.124981	0.265025	0.403254
a87	0.0861198	0.0818978	0.133299	0.263846	0.434837
a23	0.0800415	0.0738726	0.116812	0.209452	0.519821
</S>	0.106393	0.0968512	0.141371	0.239516	0.415868
