 	nous	partons	assister	au	match	de	football	</S>
a87	0.198974	0.373709	0.234563	0.0970247	0.0560905	0.0237115	0.00982929	0.00609782
a99	0.154141	0.106587	0.130858	0.107173	0.104638	0.108667	0.143579	0.144356
a62	0.245218	0.279133	0.202296	0.10597	0.0619839	0.0316078	0.0301209	0.0436696
a0	0.499354	0.208413	0.156519	0.0753774	0.0327231	0.0118736	0.00662253	0.00911805
a75	0.3857	0.236155	0.180628	0.100925	0.0381168	0.0170608	0.0177763	0.0236384
a94	0.415486	0.240483	0.170501	0.0806597	0.0413958	0.0175899	0.0154939	0.0183901
a25	0.275511	0.245196	0.245728	0.12269	0.0504306	0.0186994	0.0203099	0.0214354
a44	0.262734	0.283199	0.241204	0.119171	0.0492165	0.0146077	0.0138788	0.0159881
a66	0.241851	0.260841	0.25081	0.128084	0.0552998	0.0178625	0.019682	0.0255709
a75	0.159786	0.158769	0.205162	0.156825	0.102442	0.0500751	0.0670139	0.0999265
a44	0.25545	0.257668	0.213458	0.111423	0.063382	0.0297921	0.0330467	0.0357802
a57	0.150916	0.178318	0.255318	0.191502	0.105158	0.0367146	0.0364961	0.045577
a75	0.0789216	0.119771	0.183527	0.198442	0.148421	0.0677372	0.0856906	0.117489
a85	0.108432	0.156118	0.197555	0.168795	0.117011	0.0677654	0.0899857	0.0943379
a66	0.105725	0.164298	0.159558	0.10138	0.0815245	0.0732543	0.131732	0.182528
a62	0.0269216	0.0471893	0.122268	0.178337	0.182269	0.111264	0.150657	0.181094
a96	0.0446196	0.0562131	0.126979	0.186295	0.184642	0.12321	0.1432	0.134842
a75	0.0360091	0.0406844	0.0887967	0.153065	0.167308	0.136058	0.202977	0.175102
a85	0.0335327	0.0355357	0.0589933	0.0983938	0.118216	0.120122	0.234076	0.30113
a21	0.0439	0.0516738	0.0572394	0.0679875	0.0814359	0.11073	0.234668	0.352366
a47	0.0491352	0.0433947	0.0750841	0.108843	0.119731	0.107233	0.209427	0.287151
a96	0.0243175	0.020269	0.0425321	0.0835012	0.0963008	0.0945928	0.250392	0.388094
a70	0.00867689	0.00834907	0.0168656	0.0456442	0.0713099	0.084606	0.283663	0.480885
a90	0.00354795	0.00314247	0.00583637	0.0181137	0.0360251	0.0619967	0.29618	0.575158
a25	0.00172286	0.00194616	0.00475473	0.0153702	0.0322584	0.0486031	0.246172	0.649173
a44	0.000525055	0.000590392	0.00145799	0.0044687	0.0124511	0.0306159	0.238263	0.711627
a70	0.000266551	0.000274882	0.000792139	0.00277078	0.00941162	0.0270773	0.224418	0.734989
a90	0.000187468	0.000196953	0.000533222	0.00183676	0.00656143	0.0256367	0.264513	0.700534
a69	0.000386131	0.000405988	0.0011256	0.00338474	0.0101413	0.0274534	0.212875	0.744228
a84	0.000120656	0.000129494	0.000496101	0.00187369	0.00624542	0.0244577	0.246977	0.719699
a87	0.000315624	0.000254196	0.000567487	0.00250575	0.0176486	0.077252	0.417565	0.483891
a85	0.00787849	0.00494009	0.0104475	0.0200841	0.0476135	0.121565	0.408882	0.378589
a38	0.00114123	0.000484844	0.00109867	0.00342368	0.0128752	0.058262	0.416235	0.50648
a9	0.000559302	0.000353706	0.0010357	0.00258762	0.00805006	0.0353797	0.380723	0.571311
a97	0.001251	0.0010238	0.00211254	0.00403446	0.00927432	0.0363484	0.31654	0.629416
</S>	0.00795646	0.00762228	0.0104339	0.0117179	0.0212655	0.0618798	0.334675	0.544449
