 	beatsanyi	presse	les	mamelles	avant	de	faire	têter	l'	enfant	</S>
a23	0.121911	0.114353	0.137424	0.208417	0.128724	0.085707	0.0530772	0.0534463	0.0329133	0.0315839	0.0324434
a87	0.629132	0.110938	0.0650439	0.034645	0.0252491	0.0230631	0.0183091	0.0299918	0.0202012	0.0202202	0.0232062
a23	0.303945	0.200663	0.105793	0.0626029	0.0407665	0.0311628	0.0263627	0.0377306	0.0504816	0.0631211	0.0773718
a99	0.568161	0.168672	0.0761135	0.0276887	0.0136591	0.0120713	0.0106132	0.0193779	0.0263277	0.0332089	0.0441073
a62	0.497323	0.1604	0.0954284	0.0388005	0.0221961	0.0166688	0.0133402	0.0165656	0.0292808	0.0432447	0.0667516
a21	0.588455	0.180722	0.114636	0.042572	0.0155335	0.00930852	0.00658967	0.00857015	0.00849131	0.0105848	0.0145373
a5	0.662158	0.149491	0.0861576	0.0336975	0.0142536	0.0110977	0.00775072	0.00962262	0.00745202	0.00803228	0.010287
a27	0.483574	0.172728	0.121361	0.0544646	0.028417	0.0265412	0.0214279	0.0266087	0.0203086	0.019952	0.0246164
a10	0.402861	0.189703	0.12069	0.0546014	0.0279516	0.0335412	0.0302037	0.0372775	0.031714	0.0311409	0.0403152
a75	0.115672	0.061446	0.06339	0.0641951	0.0538763	0.0727674	0.0867343	0.10017	0.11153	0.122576	0.147642
a85	0.133082	0.15808	0.191456	0.155039	0.0868775	0.0717237	0.0395924	0.0307027	0.0297582	0.0409078	0.0627817
a61	0.1274	0.236333	0.232717	0.136335	0.0611106	0.0513919	0.0333278	0.0275761	0.0248657	0.0298086	0.0391339
a75	0.107458	0.240319	0.275089	0.171772	0.054536	0.0455683	0.0264064	0.0224463	0.0157073	0.0172416	0.023455
a85	0.093125	0.139629	0.166088	0.158312	0.0804265	0.0842265	0.0659062	0.0568007	0.0437627	0.0480231	0.0636992
a5	0.0888857	0.123435	0.161344	0.184894	0.0907773	0.0775586	0.0630949	0.051354	0.0480239	0.0505753	0.0600573
a18	0.130542	0.117865	0.130377	0.161676	0.0978398	0.0904486	0.0729462	0.0543284	0.0457077	0.0453572	0.052913
a62	0.0348446	0.0512523	0.0668183	0.136334	0.171147	0.172135	0.108962	0.0933475	0.0480631	0.0512552	0.0658406
a31	0.0302933	0.0499066	0.0581239	0.094426	0.146031	0.173804	0.126954	0.124405	0.0604093	0.0596917	0.0759551
a24	0.0257131	0.0466102	0.0622986	0.10817	0.161504	0.18221	0.132739	0.117272	0.0548432	0.0492126	0.0594273
a41	0.0138519	0.0247557	0.0336501	0.0694194	0.141066	0.178687	0.158896	0.160615	0.0762553	0.0651101	0.0776927
a85	0.021176	0.0250969	0.0377418	0.0893841	0.158575	0.168846	0.126046	0.125999	0.070169	0.0754246	0.101542
a37	0.0289471	0.0300296	0.0317705	0.0583399	0.123458	0.123193	0.103076	0.115809	0.0949129	0.120498	0.169966
a75	0.013324	0.0172933	0.0199258	0.0343045	0.107785	0.146035	0.155657	0.177304	0.0890778	0.0995801	0.139712
a56	0.0165054	0.0185524	0.0281789	0.0525238	0.118729	0.120045	0.109875	0.0949118	0.108054	0.147014	0.185611
a93	0.00558427	0.0104176	0.0153338	0.0387171	0.109783	0.146193	0.154099	0.145699	0.107006	0.11284	0.154327
a13	0.00366179	0.00704194	0.0101704	0.02543	0.0995861	0.139489	0.155074	0.156155	0.121253	0.121353	0.160786
a93	0.00265333	0.00525714	0.00677621	0.0158946	0.0676903	0.10856	0.150604	0.174615	0.145907	0.139803	0.182241
a56	0.00217745	0.00413122	0.00590591	0.0178395	0.0721864	0.105284	0.129005	0.144313	0.161159	0.160023	0.197976
a34	0.00283353	0.00582714	0.0096563	0.0257952	0.0846058	0.112626	0.121843	0.124822	0.153049	0.166703	0.19224
a0	0.00203096	0.00535769	0.00777001	0.0175756	0.0545768	0.0780306	0.102597	0.112624	0.16606	0.199362	0.254015
a75	0.00116635	0.00341733	0.00454003	0.00781382	0.0237224	0.0360644	0.0651249	0.0883283	0.167117	0.243349	0.359356
a70	0.00260937	0.00672389	0.00876341	0.021329	0.0518918	0.0597432	0.0724988	0.0942778	0.142743	0.207217	0.332203
a62	0.000732764	0.00265273	0.00327255	0.00609742	0.0165613	0.0239679	0.046886	0.0673371	0.160011	0.260688	0.411793
a83	0.0024198	0.00476056	0.00499525	0.00885361	0.0237789	0.0337157	0.0535958	0.0665981	0.137504	0.252227	0.41155
a9	0.00124891	0.00393604	0.00460904	0.0069752	0.0179264	0.0249404	0.0477048	0.0580174	0.133677	0.257685	0.44328
a38	0.00103471	0.00234376	0.00314086	0.00529198	0.0253117	0.0356186	0.0684152	0.0779575	0.16123	0.267645	0.35201
a21	0.00141601	0.00246534	0.00308662	0.00370665	0.0132929	0.0173135	0.0355873	0.0540892	0.161704	0.300873	0.406466
a75	0.000371727	0.000921274	0.00107407	0.00240222	0.0084966	0.0136083	0.0251988	0.0437637	0.147985	0.286051	0.470127
a85	0.00075541	0.00264524	0.00287913	0.00519892	0.0146609	0.0190178	0.0342024	0.0544848	0.157467	0.263253	0.445436
a92	0.000642784	0.00213463	0.00337569	0.00784784	0.0218854	0.0230431	0.034475	0.0449948	0.1332	0.265755	0.462647
a61	0.000351549	0.00140073	0.00242143	0.00582185	0.018671	0.0203129	0.0299557	0.0368497	0.122504	0.265837	0.495874
a75	0.00030711	0.00100604	0.00131043	0.00246678	0.00879377	0.0114996	0.0205994	0.0242685	0.10728	0.274047	0.548422
