 	la	journée	leur	village	est	désert	</S>
a66	0.461426	0.193692	0.140399	0.076798	0.0447425	0.0407484	0.0421939
a87	0.284345	0.147245	0.122764	0.0964855	0.0812711	0.103355	0.164534
a97	0.293921	0.137853	0.0963429	0.0886114	0.0657055	0.118097	0.199469
a79	0.328556	0.161083	0.116671	0.109953	0.0737542	0.0864059	0.123578
a15	0.467377	0.160069	0.0680168	0.0424734	0.0306139	0.0651778	0.166272
a69	0.323989	0.165965	0.10404	0.0613725	0.0507245	0.100003	0.193906
a15	0.278013	0.184544	0.137725	0.0952478	0.0749882	0.0878109	0.141671
a98	0.167741	0.182992	0.184883	0.135066	0.104252	0.0884579	0.136609
a47	0.207312	0.240358	0.213428	0.11506	0.0862096	0.059625	0.078008
a37	0.129544	0.174676	0.192704	0.129306	0.110619	0.10888	0.15427
a56	0.168565	0.170999	0.176151	0.136494	0.12217	0.0923358	0.133285
a43	0.106042	0.131695	0.166303	0.164785	0.159899	0.123217	0.148058
a47	0.0396357	0.0711885	0.127854	0.191985	0.199395	0.169894	0.200048
a61	0.0488119	0.0713048	0.145588	0.225505	0.205682	0.155217	0.147892
a62	0.0240794	0.042844	0.0923569	0.193373	0.23252	0.232975	0.181852
a88	0.0180058	0.0293578	0.0623646	0.146847	0.207717	0.289656	0.246053
a71	0.00603192	0.0123766	0.0304869	0.103681	0.182481	0.310617	0.354326
a9	0.00658149	0.0108646	0.018379	0.0558904	0.115452	0.278776	0.514056
a53	0.00725705	0.0097887	0.0157269	0.0436289	0.0940652	0.260397	0.569136
a93	0.00172813	0.0041611	0.0101909	0.0349452	0.0777279	0.238796	0.632451
a4	0.00126373	0.00301795	0.00732708	0.027703	0.0671159	0.230679	0.662894
a53	0.000752875	0.00218884	0.00639569	0.0277231	0.0681876	0.219472	0.67528
a4	0.00057766	0.00183926	0.00529149	0.023609	0.0568975	0.204851	0.706934
a57	0.00142579	0.00326747	0.00804928	0.029524	0.0657453	0.218506	0.673482
a3	0.00345392	0.00667586	0.0147403	0.0541581	0.108064	0.292121	0.520787
a97	0.0682773	0.0493765	0.0699442	0.125942	0.132456	0.240135	0.313869
a3	0.111999	0.0805824	0.102241	0.149942	0.139203	0.198461	0.21757
a97	0.0916275	0.0692083	0.0814113	0.124326	0.128639	0.21886	0.285929
a87	0.0612369	0.0557234	0.0737059	0.149538	0.15051	0.233016	0.276269
a97	0.0542802	0.0498972	0.0658542	0.141136	0.148536	0.232201	0.308095
a87	0.0550649	0.0671108	0.0890045	0.153522	0.153338	0.189648	0.292311
a97	0.0540342	0.0663437	0.0866139	0.15233	0.154896	0.198713	0.287069
</S>	0.0872602	0.104624	0.114043	0.152607	0.147356	0.166048	0.228062
