 	tu	peux	aller	le	déposer	au-dehors	</S>
a23	0.428253	0.211337	0.103677	0.0851206	0.0515593	0.0761539	0.0438996
a87	0.173864	0.120495	0.103656	0.0903736	0.139887	0.183713	0.18801
a23	0.141854	0.137174	0.151404	0.131674	0.165232	0.158281	0.11438
a87	0.267837	0.193249	0.147506	0.105848	0.0956411	0.113905	0.0760149
a23	0.201318	0.162702	0.148	0.128992	0.122768	0.141408	0.0948133
a83	0.320887	0.243389	0.111318	0.0768898	0.0721762	0.104974	0.0703666
a54	0.5887	0.261518	0.0713415	0.035322	0.022251	0.0146333	0.00623435
a94	0.465144	0.263122	0.0960631	0.0687028	0.0561531	0.0357299	0.0150847
a76	0.482384	0.287599	0.105475	0.0565867	0.0375346	0.0218709	0.00854867
a90	0.273987	0.275985	0.210536	0.129447	0.0645254	0.0329486	0.012571
a94	0.241376	0.255913	0.191377	0.146826	0.0905639	0.0514074	0.0225357
a75	0.197507	0.25404	0.229549	0.161286	0.0847616	0.0494955	0.0233613
a41	0.152184	0.220006	0.230111	0.173005	0.113852	0.0745613	0.0362793
a94	0.154378	0.19214	0.221893	0.166465	0.119238	0.0939244	0.0519609
a25	0.0987329	0.131412	0.207755	0.19845	0.163385	0.131919	0.0683464
a94	0.0533594	0.0913156	0.182458	0.214639	0.199768	0.154959	0.1035
a90	0.0540384	0.0918547	0.176935	0.205067	0.190708	0.173101	0.108296
a41	0.106066	0.125682	0.164448	0.173427	0.16862	0.167905	0.0938526
a21	0.0501856	0.0891491	0.149574	0.172494	0.166154	0.217429	0.155015
a24	0.178378	0.132411	0.0976713	0.107646	0.119473	0.202393	0.162028
a41	0.0325925	0.0391764	0.0497547	0.076307	0.146833	0.321434	0.333902
a85	0.0274595	0.0427012	0.046872	0.0661906	0.106389	0.296239	0.414149
a41	0.0160585	0.0322167	0.0419948	0.0663742	0.110102	0.294802	0.438452
a94	0.0143345	0.0268447	0.0344322	0.0588601	0.0954215	0.300541	0.469566
a90	0.0143611	0.022833	0.0299277	0.0501529	0.085863	0.234994	0.561868
a94	0.0170604	0.0214645	0.0262878	0.0506816	0.0910672	0.267966	0.525472
a98	0.0206046	0.0223385	0.0266414	0.0444853	0.0764266	0.217202	0.592302
a38	0.0124089	0.0131342	0.0162748	0.0362511	0.0752625	0.273364	0.573305
a24	0.0104608	0.0119455	0.0161363	0.0329857	0.0700239	0.230687	0.62776
a62	0.00909534	0.0131096	0.0174356	0.0282459	0.0567375	0.190712	0.684664
a24	0.00668628	0.00948966	0.0134779	0.0235755	0.0522615	0.194694	0.699815
a25	0.00938286	0.0105502	0.0149309	0.0332803	0.0853698	0.213583	0.632903
a87	0.00640379	0.00815054	0.0132617	0.0304779	0.0848242	0.173667	0.683215
</S>	0.0104921	0.00962525	0.0129434	0.032536	0.0654611	0.155696	0.713246
