 	il	a	atteint	la	vieillesse	sans	jamais	être	malade	</S>
a23	0.246816	0.178379	0.133576	0.0785346	0.0572164	0.0573064	0.0604635	0.0621899	0.0634967	0.0620218
a87	0.242948	0.181283	0.136448	0.120766	0.101921	0.0694954	0.046956	0.034951	0.0301992	0.0350335
a23	0.169106	0.152765	0.143578	0.145961	0.1221	0.0862185	0.0643418	0.04108	0.0342187	0.0406311
a79	0.18617	0.154609	0.123561	0.102749	0.062713	0.0537682	0.0583218	0.0647259	0.0766894	0.116693
a20	0.370045	0.2407	0.146478	0.069865	0.0308239	0.0292124	0.0279429	0.0224618	0.0222598	0.0402118
a44	0.284119	0.2567	0.184173	0.120319	0.0728607	0.0330489	0.0182353	0.0100297	0.00828158	0.0122333
a84	0.197301	0.214097	0.197831	0.163539	0.123929	0.0498614	0.0222353	0.0106458	0.00871211	0.0118488
a38	0.187663	0.176364	0.183543	0.163484	0.130382	0.0717635	0.0362466	0.0174495	0.0133014	0.019802
a47	0.139755	0.135958	0.181277	0.175386	0.145968	0.0945973	0.0418502	0.0226239	0.023509	0.0390765
a93	0.118206	0.138697	0.174025	0.194733	0.167008	0.0996819	0.0436568	0.0228145	0.0171997	0.0239779
a13	0.106721	0.122646	0.164371	0.195611	0.181823	0.11444	0.0503448	0.0252553	0.0169453	0.0218419
a38	0.0987515	0.105037	0.144275	0.170707	0.186912	0.134173	0.0666061	0.0382416	0.0250943	0.030203
a70	0.0916736	0.0879157	0.128536	0.163067	0.189932	0.14125	0.0709127	0.0473508	0.0356395	0.0437217
a90	0.0795472	0.0753013	0.112182	0.149461	0.177811	0.151027	0.0824442	0.0665135	0.0494052	0.0563074
a9	0.0580516	0.0534857	0.0892179	0.127707	0.14132	0.158238	0.0981264	0.0879245	0.0819678	0.103961
a97	0.0809423	0.0709355	0.10671	0.136107	0.126394	0.125337	0.0868675	0.0931139	0.0795584	0.0940343
a87	0.062128	0.0557234	0.0963288	0.14412	0.146747	0.161444	0.0977294	0.0858509	0.0691666	0.0807621
a23	0.046576	0.0476144	0.0738289	0.116476	0.107824	0.147258	0.142796	0.138028	0.0953595	0.0842384
a83	0.0290119	0.0258439	0.0388062	0.0613067	0.075702	0.145574	0.143961	0.154125	0.139248	0.186421
a9	0.034981	0.0303553	0.0528964	0.0708677	0.0607263	0.0870931	0.0954765	0.123455	0.160532	0.283617
a87	0.025635	0.022649	0.0387243	0.0553976	0.0491953	0.0698754	0.0879783	0.151397	0.19178	0.307369
a23	0.0161025	0.0150119	0.0229076	0.0362758	0.0341753	0.0624308	0.0912879	0.160468	0.21686	0.34448
a53	0.00801621	0.00750274	0.0122185	0.0225944	0.0211881	0.0589196	0.100291	0.181934	0.217375	0.369961
a90	0.0430869	0.035945	0.0508546	0.049598	0.0362787	0.0539568	0.0710941	0.104067	0.16763	0.387488
a70	0.0301389	0.0277842	0.0416519	0.0503762	0.0494426	0.0806147	0.0890016	0.141087	0.183841	0.306062
a98	0.0229474	0.0207365	0.0318362	0.0414844	0.0428956	0.0623668	0.0630334	0.122783	0.209414	0.382503
a9	0.0210231	0.0187122	0.030791	0.0381452	0.035078	0.0476395	0.0502478	0.113495	0.231764	0.413105
a38	0.00542956	0.00430872	0.00763282	0.00995352	0.00822902	0.0149421	0.0200484	0.0746921	0.251351	0.603412
a54	0.00723353	0.00533642	0.00832653	0.0108813	0.00782997	0.0110879	0.0153497	0.0591947	0.241053	0.633707
a44	0.0103624	0.00749749	0.0117829	0.0144358	0.00707929	0.0110257	0.0144155	0.0607682	0.258703	0.60393
a84	0.00546486	0.00400961	0.0068064	0.00986454	0.00512758	0.00907284	0.0124546	0.0534109	0.246538	0.647251
a87	0.00150155	0.00124158	0.00179551	0.00362382	0.00237878	0.00648931	0.0135904	0.0695533	0.274101	0.625725
</S>	0.00191672	0.00164392	0.00191546	0.00319062	0.00227271	0.00878801	0.0274724	0.117333	0.303918	0.53155
