 	le	tisserin	à	ventre	noir	est	un	bel	oiseau	</S>
a66	0.391484	0.147272	0.0877281	0.0987001	0.0953691	0.0665421	0.0465329	0.0268621	0.0194284	0.0200808
a38	0.393747	0.151609	0.123458	0.109805	0.0800342	0.0491939	0.0329183	0.0165867	0.0208563	0.0217924
a62	0.218496	0.311948	0.162629	0.123352	0.0751726	0.0291813	0.0178489	0.0129119	0.0233177	0.0251425
a31	0.371289	0.316314	0.109602	0.0643404	0.0521883	0.0256425	0.0202711	0.0119093	0.0132141	0.0152299
a0	0.281029	0.299865	0.157221	0.101821	0.0805513	0.0358049	0.0195128	0.00854241	0.00795134	0.00770112
a31	0.190843	0.301093	0.190416	0.126772	0.0890329	0.0412367	0.0197623	0.0107273	0.0148852	0.0152309
a21	0.155473	0.273465	0.18039	0.138494	0.115878	0.0687143	0.0279682	0.0115548	0.0131772	0.0148854
a56	0.193153	0.303517	0.169468	0.135867	0.110484	0.05039	0.0185898	0.00643751	0.00587764	0.00621486
a93	0.103435	0.249519	0.196771	0.183137	0.136251	0.0649169	0.026543	0.0124936	0.0126594	0.0142747
a75	0.0697496	0.168753	0.207829	0.211493	0.156759	0.0795568	0.0347695	0.0202795	0.0230728	0.0277376
a21	0.0635884	0.124231	0.179851	0.191483	0.139395	0.0819072	0.0590471	0.056343	0.0476709	0.0564836
a56	0.0652226	0.0759478	0.134719	0.164542	0.135776	0.112167	0.0850488	0.0785675	0.06863	0.0793793
a93	0.0268689	0.03741	0.0896935	0.138714	0.124295	0.131693	0.11448	0.106834	0.103625	0.126386
a4	0.0209601	0.0300125	0.0766946	0.120833	0.109607	0.129046	0.140025	0.129431	0.113544	0.129847
a11	0.0145543	0.018812	0.0394211	0.0570144	0.0540119	0.0878326	0.128862	0.178973	0.187648	0.232871
a90	0.00784503	0.0139637	0.0269915	0.0433431	0.0411878	0.0688797	0.116583	0.174004	0.211352	0.29585
a15	0.00550939	0.0084227	0.0205964	0.0292208	0.0278134	0.0532437	0.104564	0.191018	0.232721	0.326891
a20	0.00172549	0.00267762	0.00848564	0.0100241	0.0079748	0.0141254	0.0381647	0.141131	0.284193	0.491498
a7	0.000725565	0.00115026	0.00446594	0.00484012	0.00357141	0.00580275	0.0176888	0.106272	0.315651	0.539832
a84	0.000444342	0.000439272	0.00258445	0.00362647	0.00248484	0.00441742	0.0134433	0.112538	0.325803	0.534219
a87	0.0084397	0.00476005	0.0112219	0.00961578	0.00645505	0.00832623	0.0194821	0.0941419	0.29943	0.538128
a23	0.131989	0.0649872	0.0750022	0.0482272	0.0364839	0.0424464	0.0750473	0.123329	0.190514	0.211973
a99	0.0338535	0.0204074	0.0552371	0.0545624	0.0367019	0.0429153	0.0935166	0.204597	0.237613	0.220596
a97	0.00429348	0.00452742	0.0131088	0.0217307	0.0183873	0.0287612	0.0596492	0.177567	0.334589	0.337386
</S>	0.00361799	0.00458906	0.0178008	0.0308059	0.0244978	0.0291071	0.0522005	0.155382	0.337767	0.344232
