 	ma	peau	s'	est	irritée	</S>
a87	0.489051	0.372942	0.101408	0.0209504	0.00742669	0.00822142
a23	0.617756	0.184131	0.0795194	0.0594771	0.0347485	0.0243678
a87	0.401673	0.204231	0.156007	0.0911093	0.0722533	0.0747264
a23	0.371168	0.169286	0.143509	0.10064	0.0971418	0.118256
a99	0.424704	0.171681	0.142071	0.0965886	0.0979375	0.067018
a40	0.345739	0.21876	0.176284	0.0987856	0.0988354	0.0615956
a7	0.199225	0.22213	0.184309	0.149929	0.180634	0.063772
a44	0.111495	0.13612	0.206769	0.237055	0.207782	0.100778
a11	0.0443131	0.0638666	0.12959	0.195166	0.261239	0.305825
a56	0.0291852	0.0508758	0.123642	0.19006	0.279743	0.326495
a44	0.0275809	0.0469832	0.128702	0.207447	0.262938	0.326349
a93	0.0145755	0.0190027	0.0708628	0.224673	0.294273	0.376613
a70	0.0128589	0.0151546	0.051438	0.205735	0.352093	0.362721
a62	0.00319015	0.00319929	0.011689	0.110878	0.389209	0.481835
a0	0.00124777	0.00127116	0.00414952	0.0444746	0.270067	0.67879
a11	0.00180924	0.00175399	0.00351137	0.026338	0.210981	0.755606
a83	0.00191927	0.00189217	0.00414402	0.0265482	0.157634	0.807863
a36	0.000717144	0.000647784	0.00164299	0.0168132	0.122828	0.857351
a26	0.000954446	0.000786043	0.0017468	0.0146493	0.116929	0.864934
a57	0.0473752	0.0256353	0.029899	0.0660105	0.171439	0.65964
a87	0.367961	0.13201	0.0715626	0.0830816	0.108978	0.236406
a23	0.348984	0.182054	0.104259	0.097896	0.0966291	0.170179
a87	0.321809	0.134485	0.0739481	0.111965	0.140214	0.217579
</S>	0.052707	0.0293206	0.0405106	0.121688	0.202561	0.553213
