 	il	ne	sait	pas	faire	autrement	</S>
a23	0.371036	0.199527	0.110687	0.0627892	0.0672534	0.0761167	0.112591
a30	0.438995	0.281411	0.129556	0.0386755	0.0250098	0.0319494	0.054404
a53	0.310576	0.15916	0.0807806	0.0475101	0.0508329	0.100257	0.250884
a20	0.43194	0.216232	0.111337	0.0648217	0.0622272	0.0508651	0.0625766
a73	0.41778	0.248746	0.133429	0.0585954	0.0469673	0.0413133	0.0531691
a44	0.402729	0.290343	0.16273	0.0474361	0.029333	0.029335	0.0380936
a58	0.305593	0.249083	0.191863	0.0817456	0.0575339	0.0523593	0.0618224
a38	0.279555	0.270399	0.25417	0.071816	0.0456849	0.0377158	0.0406591
a15	0.222916	0.220978	0.218746	0.0979426	0.0786952	0.0757686	0.0849542
a69	0.206529	0.18165	0.15838	0.120011	0.118848	0.111058	0.103524
a79	0.180374	0.180053	0.181704	0.125156	0.115969	0.108762	0.107981
a94	0.124953	0.137326	0.159306	0.138685	0.154797	0.150293	0.13464
a76	0.112399	0.119009	0.162597	0.152624	0.151969	0.148569	0.152834
a44	0.0711083	0.0752147	0.119315	0.164894	0.191927	0.204737	0.172803
a84	0.0836826	0.0853276	0.130555	0.182967	0.179299	0.168998	0.169171
a32	0.0655434	0.0703747	0.112973	0.181844	0.18941	0.171872	0.207983
a75	0.0894705	0.0809913	0.110845	0.163099	0.182186	0.16927	0.204137
a98	0.0300637	0.030897	0.0572166	0.120994	0.180516	0.266849	0.313464
a73	0.0216411	0.0239337	0.0510086	0.143138	0.211304	0.265947	0.283027
a94	0.0320388	0.0344567	0.0622317	0.153459	0.210612	0.25035	0.256852
a41	0.0381401	0.0350925	0.0545416	0.120102	0.208759	0.268695	0.27467
a94	0.0338437	0.0309276	0.047535	0.124814	0.220956	0.290294	0.251631
a41	0.0294586	0.0243311	0.0331782	0.0783939	0.179735	0.321276	0.333627
a18	0.0258034	0.0223926	0.0336931	0.0867967	0.188249	0.313522	0.329543
a11	0.0142704	0.0117446	0.0145229	0.0386912	0.101389	0.292385	0.526996
a56	0.0172357	0.0122947	0.0148477	0.0406774	0.102621	0.300719	0.511605
a32	0.0171659	0.0120138	0.0127829	0.0314092	0.0873397	0.284342	0.554947
a90	0.0146574	0.00931413	0.00918451	0.0242747	0.0611146	0.251421	0.630033
a57	0.0187214	0.0138822	0.0143303	0.0297935	0.0752719	0.251813	0.596188
a82	0.0117646	0.00937084	0.0096837	0.0204278	0.0485932	0.219955	0.680205
a40	0.00294354	0.00222514	0.00245298	0.00941918	0.0351626	0.233298	0.714498
a98	0.00520761	0.00319318	0.00262071	0.00835769	0.0292977	0.203293	0.74803
a73	0.00522224	0.00368204	0.0039108	0.0137797	0.0536633	0.273337	0.646405
a84	0.00461567	0.0031574	0.0037471	0.0119145	0.0434256	0.250264	0.682876
a57	0.0033105	0.00241257	0.00238164	0.00787593	0.0259358	0.19524	0.762843
a87	0.00486942	0.00257202	0.00196416	0.00860132	0.0289324	0.239355	0.713706
</S>	0.00786429	0.00438446	0.00413716	0.0195451	0.0631139	0.269712	0.631243
