 	les	notables	et	leurs	assesseurs	sont	dans	le	sanctuaire	</S>
a66	0.363829	0.336064	0.100292	0.0733951	0.0447668	0.029324	0.0210102	0.0130509	0.00859703	0.0096707
a87	0.541156	0.355363	0.0411875	0.0209154	0.0115204	0.00688064	0.00467196	0.00490251	0.00587215	0.0075301
a23	0.548003	0.236893	0.0716975	0.0433943	0.0215447	0.0145189	0.0092105	0.00912005	0.0143906	0.0312277
a10	0.373951	0.247712	0.0687266	0.0481424	0.0314981	0.025901	0.0242717	0.030295	0.0480752	0.101427
a87	0.338371	0.2434	0.108134	0.078119	0.0526193	0.0361702	0.0308067	0.0317862	0.0373028	0.0432904
a23	0.387987	0.245458	0.108242	0.0740789	0.0438771	0.0271995	0.0236096	0.0249188	0.0320361	0.0325931
a40	0.271457	0.190315	0.0821622	0.0778872	0.0672481	0.0597134	0.0534831	0.0568171	0.0655602	0.0753569
a79	0.293227	0.342531	0.170756	0.0699823	0.031715	0.0249123	0.0189989	0.0164016	0.0150102	0.0164647
a37	0.207362	0.258113	0.232313	0.157262	0.0857026	0.0316319	0.013443	0.00618414	0.00317665	0.00481211
a92	0.135547	0.211816	0.274933	0.191912	0.113279	0.0379027	0.0166601	0.00780372	0.00427122	0.00587614
a21	0.103831	0.179262	0.255498	0.200402	0.139488	0.0579588	0.031745	0.0146025	0.00713931	0.0100736
a12	0.0556246	0.0703723	0.238158	0.268816	0.219653	0.0762118	0.0343467	0.0151105	0.00888989	0.0128173
a47	0.034833	0.0447633	0.210376	0.297632	0.264361	0.0781652	0.0342092	0.0153434	0.00917303	0.0111434
a62	0.0165705	0.0195181	0.108206	0.260907	0.330204	0.130996	0.0592283	0.0283456	0.0192019	0.0268219
a88	0.0129414	0.0138575	0.102354	0.287521	0.329999	0.120923	0.0618091	0.0302383	0.0186458	0.0217112
a21	0.00735819	0.00901138	0.0609144	0.209937	0.33733	0.184552	0.0899118	0.043136	0.0274302	0.0304194
a85	0.00351903	0.00514629	0.0422584	0.167014	0.305291	0.194419	0.11987	0.0735432	0.0468664	0.042073
a5	0.00262808	0.00479853	0.0281682	0.0806736	0.173561	0.148305	0.13831	0.137676	0.147528	0.138351
a12	0.00520136	0.0097488	0.0425783	0.108537	0.199242	0.168245	0.147024	0.116793	0.0926537	0.109975
a43	0.00303337	0.00519846	0.023798	0.0600497	0.114091	0.161833	0.195358	0.167318	0.132345	0.136975
a75	0.00271177	0.00414559	0.0152886	0.0376237	0.078353	0.14521	0.199823	0.195434	0.170699	0.150711
a5	0.000702005	0.000970376	0.00378489	0.0109881	0.0272466	0.0755834	0.137065	0.177211	0.236147	0.330302
a36	0.0017877	0.00244445	0.00956944	0.0213762	0.0378476	0.0823098	0.159524	0.20039	0.228579	0.256172
a90	0.0014362	0.00188422	0.0044258	0.0082021	0.0146524	0.0434125	0.106078	0.180179	0.288449	0.351282
a92	0.000272294	0.00037311	0.00150651	0.00329135	0.00676846	0.0233267	0.0794434	0.16148	0.295956	0.427582
a25	9.0399e-05	0.000100466	0.000404729	0.00112476	0.00333137	0.0142104	0.0541001	0.128303	0.307308	0.491027
a92	5.36934e-05	5.69416e-05	0.000265651	0.000686178	0.00217887	0.00969312	0.0317989	0.0771723	0.25811	0.619985
a25	0.000112292	0.000120139	0.000392492	0.000854906	0.00260052	0.0110408	0.0373624	0.0955146	0.277719	0.574283
a69	1.83735e-05	2.55816e-05	0.00018649	0.000583061	0.00190049	0.00781316	0.0266436	0.0658779	0.211147	0.685804
a58	0.000103174	9.60959e-05	0.000253837	0.000494865	0.00123742	0.00540446	0.0194725	0.0575886	0.242094	0.673256
a11	0.000574244	0.000480274	0.000399526	0.000508547	0.00087993	0.00413323	0.0129094	0.0551854	0.291264	0.633666
a93	0.00708345	0.00557516	0.00656592	0.00610686	0.00838008	0.0235288	0.0433396	0.104723	0.347947	0.446749
a12	0.000345298	0.000366095	0.000725927	0.000929863	0.00149183	0.00523418	0.0159689	0.0589644	0.288054	0.627919
a18	0.000150818	0.000136928	0.000426496	0.000835888	0.00178606	0.00730545	0.0213684	0.0692451	0.307748	0.590997
a25	0.00825942	0.00688938	0.0102294	0.0106663	0.0151932	0.0343088	0.0597118	0.118369	0.316359	0.420014
a87	0.0125663	0.0110848	0.0102883	0.0130039	0.0187726	0.0390933	0.0555411	0.100907	0.27406	0.464682
a23	0.15564	0.0941951	0.0379242	0.0313461	0.0260502	0.0365023	0.0496165	0.0878116	0.197529	0.283385
a87	0.0284337	0.0140869	0.0056413	0.00499603	0.00565776	0.0145866	0.0347119	0.0850734	0.257258	0.549554
a97	0.00201637	0.000992967	0.00101838	0.00148356	0.00232744	0.0095117	0.0266808	0.0703141	0.224253	0.661402
</S>	0.0263449	0.016416	0.00851694	0.0125911	0.0185081	0.0347984	0.0526005	0.0912332	0.207947	0.531043
