 	le	chacal	est	comme	un	chien	</S>
a23	0.20482	0.203177	0.24288	0.169501	0.0762028	0.0573324	0.0460865
a62	0.258878	0.1078	0.186772	0.170438	0.102471	0.0925037	0.0811374
a83	0.410607	0.110335	0.116225	0.109393	0.0804052	0.0834343	0.0896008
a56	0.586017	0.130934	0.0972923	0.0532775	0.0407431	0.0429532	0.048783
a75	0.626641	0.142752	0.0875103	0.0453695	0.0340337	0.0313128	0.032381
a61	0.479964	0.155498	0.112556	0.0726138	0.0529275	0.0555385	0.0709028
a47	0.464207	0.210298	0.110554	0.0649361	0.0468936	0.0473674	0.0557434
a96	0.344834	0.231967	0.127934	0.0812153	0.0604287	0.0695502	0.0840703
a75	0.329974	0.26902	0.136256	0.075818	0.0525472	0.0598925	0.0764933
a85	0.292902	0.244222	0.132697	0.0891266	0.0674764	0.0739242	0.0996511
a6	0.218657	0.201138	0.123961	0.104977	0.0998851	0.108073	0.143308
a37	0.190355	0.220359	0.117302	0.0889543	0.0815306	0.114079	0.18742
a66	0.192478	0.277645	0.176895	0.106607	0.0676257	0.0725588	0.10619
a75	0.0892888	0.152468	0.126409	0.103629	0.109766	0.152498	0.265941
a85	0.0823837	0.140449	0.108359	0.101888	0.106151	0.157697	0.303073
a61	0.0456067	0.055033	0.049159	0.0657777	0.111113	0.223221	0.450089
a66	0.0480733	0.0675726	0.0642059	0.0869579	0.137405	0.221644	0.374141
a83	0.00632937	0.0101183	0.0126227	0.0269128	0.0906836	0.246195	0.607138
a9	0.00417219	0.00704995	0.00873649	0.023552	0.0937117	0.25582	0.606958
a87	0.00412143	0.00726601	0.0117243	0.0313373	0.106349	0.25256	0.586642
a99	0.0381606	0.0425957	0.0672876	0.10601	0.147138	0.235368	0.36344
a97	0.0492169	0.0551981	0.0899654	0.132917	0.170947	0.222238	0.279518
a87	0.0405852	0.0433389	0.0610625	0.0915328	0.146102	0.248115	0.369263
a10	0.0413617	0.0470857	0.0672386	0.0981443	0.153322	0.244568	0.34828
</S>	0.0481514	0.0460283	0.0675419	0.0991726	0.154724	0.246523	0.337859
