 	papa	m'	a	déjà	donné	de	l'	argent	</S>
a66	0.419986	0.162753	0.104069	0.0835677	0.0718243	0.0580195	0.0433658	0.0305178	0.025898
a87	0.385113	0.177317	0.102349	0.0888678	0.0652884	0.0519653	0.0439134	0.040825	0.0443617
a23	0.373039	0.153914	0.0999573	0.0735142	0.067468	0.0660599	0.0550219	0.0529117	0.058114
a54	0.218849	0.149348	0.10975	0.100522	0.0812073	0.0803585	0.0761622	0.0882972	0.0955063
a85	0.272691	0.201121	0.128037	0.0996402	0.0776049	0.072522	0.0590395	0.0470164	0.0423275
a92	0.167826	0.261046	0.221029	0.15326	0.0749494	0.0462616	0.0299933	0.022992	0.0226418
a85	0.152869	0.277578	0.230894	0.143142	0.0754425	0.0429368	0.0287884	0.0238182	0.0245311
a92	0.162053	0.241081	0.176691	0.128502	0.0838949	0.0621188	0.0535186	0.0456194	0.0465209
a56	0.166804	0.213348	0.168625	0.120789	0.0857657	0.0698218	0.0617929	0.0573008	0.0557526
a43	0.165815	0.160054	0.157759	0.14435	0.114349	0.0837967	0.0618521	0.0545719	0.0574533
a25	0.113046	0.080795	0.0993213	0.124302	0.144692	0.131709	0.102879	0.0954885	0.107767
a20	0.0276532	0.0219301	0.0352587	0.069825	0.137108	0.173853	0.164454	0.169833	0.200084
a69	0.0210944	0.0205275	0.0244536	0.0413137	0.0909453	0.157819	0.183188	0.216174	0.244484
a75	0.0124819	0.0122043	0.016039	0.0311979	0.0784194	0.161603	0.202234	0.231508	0.254312
a12	0.00917124	0.00779059	0.0119228	0.0279623	0.0711491	0.143867	0.195506	0.25968	0.272952
a96	0.00502919	0.00440035	0.00579811	0.012302	0.0351762	0.0914935	0.17748	0.311552	0.356768
a75	0.00428327	0.00427677	0.00546743	0.00983502	0.025333	0.0662542	0.153868	0.322201	0.408481
a79	0.00109921	0.00103287	0.00164499	0.00439709	0.0150061	0.0478717	0.133643	0.343831	0.451474
a7	0.000407412	0.000420309	0.000784806	0.00261652	0.0105676	0.0351234	0.104623	0.334449	0.511008
a69	0.000695057	0.000613569	0.000889846	0.00223136	0.00983908	0.0342499	0.113129	0.33723	0.501122
a4	0.00117811	0.000859827	0.00114904	0.00265698	0.00991298	0.0314185	0.0951529	0.321188	0.536484
a57	0.00352984	0.00277747	0.00382235	0.0079702	0.021498	0.0467927	0.111346	0.303666	0.498597
a82	0.0037912	0.0035511	0.00414382	0.00701565	0.0218388	0.0536069	0.133834	0.324202	0.448017
a10	0.0526313	0.0451236	0.0487695	0.0536765	0.0854841	0.105574	0.146636	0.216915	0.24519
a87	0.183896	0.074791	0.0573807	0.0563465	0.0763508	0.0946852	0.123744	0.157885	0.17492
a23	0.373428	0.132742	0.0851991	0.0653004	0.0642878	0.0661841	0.0682781	0.0705464	0.0740337
a10	0.0771989	0.0228426	0.015736	0.0195403	0.0391068	0.0686833	0.125017	0.256059	0.375816
</S>	0.014524	0.00760136	0.00696882	0.00994489	0.023489	0.0552678	0.117151	0.280935	0.484119
