 	la	manière	dont	il	m'	espoinne	est	un	manque	de	respect	</S>
a87	0.150832	0.105048	0.0856714	0.0621736	0.0564074	0.0898111	0.156947	0.135286	0.0909455	0.0330516	0.0203912	0.0134352
a23	0.274062	0.154358	0.120633	0.0884841	0.0475826	0.0359869	0.0424278	0.0392383	0.042567	0.0522241	0.0547514	0.0476848
a87	0.184409	0.1387	0.127372	0.131	0.0894531	0.0840162	0.0816829	0.0450412	0.0316226	0.021193	0.0221556	0.0433553
a23	0.189057	0.172758	0.152895	0.124797	0.0861623	0.0819121	0.0651921	0.0311085	0.0202079	0.0169419	0.0234139	0.035554
a62	0.157648	0.163767	0.166657	0.132505	0.104297	0.087842	0.0591072	0.0268021	0.0191337	0.0196215	0.0259745	0.0366451
a21	0.333315	0.216945	0.138193	0.0544053	0.0373428	0.049574	0.0512751	0.0309721	0.0178642	0.0185127	0.0259454	0.0256551
a12	0.211262	0.256738	0.202557	0.0898644	0.0601088	0.0620096	0.0452771	0.0223644	0.0120585	0.00996345	0.0139987	0.0137982
a18	0.11294	0.172438	0.178719	0.10741	0.0997336	0.109335	0.0902309	0.0519574	0.0261263	0.0150616	0.0179981	0.0180503
a31	0.0845738	0.13229	0.156855	0.0988214	0.109263	0.118624	0.0778875	0.0650714	0.0440807	0.0316697	0.0362994	0.044564
a0	0.0729778	0.0924206	0.102882	0.0837533	0.121684	0.171919	0.129253	0.0895604	0.0451661	0.026765	0.0283503	0.0352687
a24	0.0589433	0.0654866	0.0817896	0.0819232	0.122341	0.202486	0.139094	0.0973516	0.0524598	0.0299629	0.0290618	0.0391006
a62	0.0515646	0.0536426	0.0692167	0.0879605	0.127165	0.196958	0.14137	0.106692	0.0596267	0.0322799	0.0309925	0.0425309
a21	0.0369294	0.036306	0.0477109	0.0739862	0.114471	0.168608	0.159542	0.154414	0.0925777	0.0394525	0.034344	0.0416592
a12	0.0379073	0.0393786	0.0503249	0.0782206	0.120432	0.172737	0.188809	0.162976	0.0789154	0.0262038	0.020189	0.0239072
a21	0.0393837	0.0372879	0.0453704	0.0634809	0.0877621	0.11958	0.182351	0.207349	0.110728	0.0393585	0.032248	0.0351013
a43	0.0539589	0.0475218	0.0539365	0.0701836	0.0786355	0.0913777	0.143882	0.180641	0.114264	0.0525776	0.0490003	0.0640208
a75	0.0285415	0.0252711	0.0280776	0.0482484	0.0611285	0.0638957	0.120409	0.201955	0.165835	0.070363	0.0781228	0.108152
a25	0.0373244	0.0251875	0.0232484	0.0248559	0.0277648	0.0338948	0.0386221	0.0675265	0.0884549	0.122547	0.183022	0.327552
a56	0.027137	0.0218691	0.0205507	0.0231371	0.0273318	0.0318632	0.0339015	0.0619808	0.104941	0.133561	0.197023	0.316704
a75	0.0140958	0.0106197	0.0110799	0.017938	0.0225731	0.0256799	0.0351042	0.0774089	0.126318	0.142791	0.183543	0.332849
a85	0.0211755	0.014431	0.0117537	0.0114132	0.0130414	0.0153732	0.0202226	0.0454344	0.0834041	0.157764	0.261974	0.344012
a6	0.0255215	0.0159815	0.012587	0.0101821	0.0104421	0.014513	0.0228762	0.0442272	0.0713014	0.127414	0.282749	0.362205
a36	0.019291	0.0128001	0.0110268	0.01099	0.0130765	0.0175839	0.0224134	0.0470452	0.0888748	0.166295	0.24352	0.347084
a47	0.0195835	0.0143185	0.013888	0.0188999	0.0207027	0.0204672	0.0251212	0.041551	0.0601569	0.107238	0.20535	0.452724
a88	0.0202917	0.0126587	0.0112225	0.0143943	0.0189627	0.0280526	0.0356891	0.0506967	0.0703106	0.125682	0.209231	0.402808
a62	0.0137288	0.00883811	0.00879291	0.012779	0.0165069	0.0242621	0.0317543	0.0375537	0.0469698	0.0962991	0.218868	0.483648
a83	0.00823086	0.00496731	0.00415943	0.00560823	0.0078627	0.0132446	0.0283221	0.0442708	0.0662156	0.17329	0.314204	0.329624
a61	0.00890081	0.00443054	0.00399206	0.00522719	0.00578784	0.00898884	0.0171252	0.0296171	0.0479029	0.13887	0.296827	0.43233
a75	0.0042348	0.00235635	0.00202341	0.00291548	0.00371021	0.00685678	0.0110092	0.0183274	0.0345268	0.132283	0.349855	0.431902
