 	mon	épouse	et	moi	nous	partons	au	ruisseau	vouma	chercher	de	petits	étangs	où	pêcher	à	l'	écopée	</S>
a66	0.0259864	0.0219178	0.0318473	0.0651055	0.0667083	0.182538	0.168614	0.110298	0.0550815	0.0729359	0.0550093	0.0663098	0.0591974	0.0104752	0.0031233	0.00147236	0.00116867	0.00110195	0.00110985
a87	0.117982	0.0661088	0.0610956	0.0682683	0.0587212	0.124881	0.0942684	0.0709197	0.0359946	0.0545804	0.0374902	0.0436938	0.0301129	0.0118729	0.00985746	0.0135142	0.0218964	0.0319129	0.0468293
a23	0.103039	0.0504512	0.0449753	0.051205	0.0580256	0.101845	0.142627	0.0906292	0.0723498	0.0909047	0.0439087	0.0390083	0.0399482	0.0147959	0.012453	0.00976279	0.00952309	0.0101803	0.0143684
a99	0.13066	0.0533583	0.04888	0.067834	0.081991	0.190601	0.0950582	0.0658991	0.0538824	0.0562651	0.0239052	0.0144622	0.0150922	0.0138785	0.0160239	0.012968	0.0131051	0.0185947	0.0275417
a83	0.0930294	0.0432553	0.0396109	0.0556707	0.0575042	0.175719	0.102794	0.0749631	0.0639764	0.07073	0.0345869	0.0252016	0.0309551	0.02431	0.0227816	0.0180198	0.0183502	0.0221886	0.0263533
a9	0.142333	0.132211	0.0954296	0.130683	0.0860961	0.144032	0.0887319	0.040306	0.01735	0.0167616	0.0119951	0.012519	0.0205947	0.0153389	0.01515	0.0105362	0.00777647	0.0067742	0.00538075
a24	0.202327	0.160246	0.0979424	0.0983965	0.0618794	0.0904798	0.0521518	0.0314083	0.0194681	0.0166813	0.0127623	0.013144	0.020257	0.0250797	0.0289432	0.0276334	0.0201327	0.0127098	0.00835757
a62	0.195685	0.156156	0.109198	0.107256	0.0713676	0.0884584	0.0532487	0.0289824	0.0181717	0.0135737	0.0112348	0.00932472	0.0142864	0.0205764	0.0269409	0.0268206	0.021676	0.0158008	0.0112424
a75	0.156647	0.172885	0.115468	0.118459	0.0845684	0.0970906	0.0603371	0.0317347	0.0198085	0.0131225	0.010878	0.00810055	0.0103798	0.0139933	0.0173201	0.0183376	0.0188507	0.0172607	0.0147582
a92	0.101179	0.115927	0.0774731	0.114908	0.0861161	0.142095	0.0844003	0.0441081	0.0248387	0.0175057	0.0156893	0.0122061	0.0154512	0.018468	0.0227242	0.025749	0.0305519	0.0275043	0.0231039
a37	0.0704176	0.0984333	0.0788776	0.126398	0.0970296	0.126892	0.0720097	0.0388725	0.0235805	0.0180433	0.0173304	0.0140409	0.014378	0.0204749	0.028562	0.0337324	0.0395574	0.0411711	0.0401979
a98	0.086843	0.0920424	0.0724467	0.118465	0.0989361	0.132719	0.0763753	0.0519013	0.0374652	0.0320579	0.024836	0.02027	0.0174306	0.0197468	0.0202362	0.0190496	0.022493	0.0282846	0.028402
a6	0.0433982	0.0642947	0.0761512	0.12214	0.10928	0.117359	0.0667604	0.0458179	0.0343815	0.031019	0.0297906	0.0280691	0.0231598	0.0251246	0.0244659	0.0249951	0.0341133	0.0458718	0.0538084
a0	0.0560999	0.0692603	0.0746768	0.105703	0.092438	0.104967	0.068579	0.0506686	0.0386734	0.0356875	0.0326135	0.029807	0.0235861	0.0238436	0.0228192	0.0262312	0.0378968	0.0509065	0.0555421
a43	0.0278811	0.039164	0.0632605	0.0828807	0.0801088	0.0895928	0.0794091	0.0712231	0.0617259	0.0594025	0.0514784	0.0430362	0.0263411	0.021014	0.0167812	0.0209671	0.0365121	0.0596528	0.0695685
a21	0.0171861	0.0207149	0.0454594	0.0589404	0.0640209	0.0766351	0.0745515	0.0777685	0.0823672	0.0814777	0.0764129	0.0638218	0.0384292	0.0335955	0.0218051	0.022498	0.0336186	0.0512184	0.0594787
a92	0.0100986	0.0120542	0.0311666	0.0515077	0.0599812	0.0735286	0.0764842	0.0789939	0.0790419	0.0774759	0.0821691	0.0749928	0.0531756	0.0525182	0.0270608	0.0242499	0.0331244	0.048009	0.0543675
a56	0.00738036	0.00928852	0.021359	0.0369875	0.0423087	0.0574123	0.0628225	0.0624601	0.054098	0.0536528	0.0539264	0.0583287	0.0478103	0.0546864	0.0490882	0.0479045	0.0601333	0.09863	0.121722
a44	0.00767021	0.00930791	0.0200716	0.0318629	0.0405979	0.0597115	0.060501	0.0686148	0.0790332	0.0795126	0.0849126	0.0745706	0.0533103	0.0603868	0.0345432	0.0355849	0.0476885	0.0687531	0.0833665
a34	0.00686554	0.00833962	0.0165849	0.0245428	0.032318	0.0490521	0.0552164	0.0666276	0.08234	0.0844662	0.0910331	0.0848295	0.0586465	0.0588661	0.0336283	0.0364551	0.0519495	0.0721592	0.0860796
a56	0.00525435	0.00583632	0.0109293	0.0154159	0.0194925	0.0309811	0.041063	0.0585455	0.0800682	0.0830539	0.101586	0.0986277	0.0744989	0.0787654	0.0427938	0.0401398	0.052759	0.0707683	0.0894209
a96	0.00379707	0.00460164	0.00818111	0.0108079	0.0126733	0.0182575	0.0247048	0.0393133	0.0590585	0.0652163	0.0796162	0.0755046	0.053389	0.0681811	0.0553242	0.0644248	0.0851551	0.117943	0.15385
a43	0.004858	0.00623514	0.00969825	0.0113171	0.0129323	0.0158504	0.0200126	0.0315525	0.0524173	0.0586289	0.0736275	0.0720939	0.051355	0.0645465	0.0525494	0.0619546	0.0882629	0.124902	0.187206
a90	0.00432896	0.00589541	0.00920911	0.010831	0.012281	0.015268	0.0209332	0.0309901	0.0521572	0.0603055	0.0760148	0.081163	0.0630667	0.0698392	0.0619796	0.0694148	0.08687	0.10891	0.160542
a98	0.00178976	0.00221263	0.00390113	0.00481143	0.0058911	0.00751153	0.0106772	0.0180475	0.0348676	0.0423386	0.0584988	0.0546685	0.0406291	0.065524	0.0753805	0.0932335	0.110337	0.144494	0.225186
a47	0.00104004	0.00098745	0.00178834	0.00238783	0.00282922	0.00390558	0.00533852	0.0103055	0.0180454	0.0220708	0.0353105	0.0364756	0.0290185	0.0599703	0.0698983	0.0898835	0.116861	0.186153	0.307731
a6	0.00144543	0.00139571	0.00201269	0.00179068	0.00205493	0.00199164	0.00265412	0.00549034	0.0150288	0.0189897	0.0339607	0.0299818	0.0233397	0.0410303	0.0497142	0.0960496	0.151385	0.179742	0.341942
a5	0.000841052	0.000724559	0.000987827	0.00098255	0.0011095	0.0012429	0.00151448	0.00296791	0.00658344	0.00857731	0.0148774	0.016473	0.0130811	0.0388434	0.0700845	0.117607	0.161081	0.196403	0.346019
a12	0.0010539	0.00116382	0.00181416	0.00172163	0.00181358	0.0018265	0.00242131	0.00321893	0.00463758	0.00528419	0.00991995	0.0138578	0.0135383	0.0294689	0.0622659	0.128829	0.169211	0.200958	0.346996
a5	0.000805268	0.000912684	0.00137628	0.00137936	0.00134879	0.00147016	0.00199295	0.0027478	0.00395349	0.00470222	0.00912434	0.0129062	0.0111252	0.0222495	0.0481333	0.115558	0.172854	0.223221	0.36414
a12	0.00051789	0.000616305	0.000937554	0.000892188	0.000875597	0.00087929	0.00124026	0.00151018	0.00195329	0.00230408	0.00469892	0.00705591	0.0068819	0.0161794	0.0452366	0.12169	0.187443	0.221331	0.377756
a43	0.00051434	0.000621713	0.00088252	0.000846807	0.000839683	0.000819851	0.0011581	0.00140716	0.00197463	0.00214749	0.00428616	0.00615064	0.00595615	0.0116943	0.0279574	0.0786127	0.157821	0.24306	0.453249
a75	0.000330524	0.000395406	0.000569435	0.000635601	0.000715403	0.000811679	0.00102568	0.000906312	0.00107418	0.00108648	0.00194723	0.00280743	0.0032948	0.0069904	0.0169988	0.0516791	0.132938	0.233502	0.542292
a79	0.000115204	0.000142025	0.000247927	0.000270923	0.000313142	0.000244326	0.000351653	0.000417146	0.000510352	0.0004854	0.000921477	0.000999726	0.00127974	0.0058293	0.0246851	0.0914118	0.165206	0.244198	0.46237
a44	9.69561e-05	0.000102686	0.000155064	0.0001405	0.00014873	0.000102735	0.000139828	0.000192144	0.000311596	0.000312945	0.000698161	0.000763687	0.00100232	0.00434481	0.0136063	0.0492428	0.133945	0.245122	0.549572
a90	0.000191276	0.000201975	0.000292762	0.00021886	0.000270655	0.000169605	0.000222444	0.000265858	0.000510183	0.000485918	0.000905549	0.00126941	0.00155004	0.00443487	0.0169134	0.068073	0.165198	0.264385	0.474441
a79	0.000119399	0.000115921	0.00015792	0.00011001	0.000145804	9.28892e-05	0.000140208	0.000173134	0.00032007	0.000299095	0.000539502	0.000754637	0.000991277	0.00328565	0.0125092	0.0550258	0.151848	0.254803	0.518568
a44	9.49161e-05	8.86166e-05	0.000122713	8.49316e-05	0.000101461	6.19914e-05	9.31047e-05	0.000132566	0.000254367	0.000244937	0.000495354	0.000596502	0.000796625	0.00278641	0.0103303	0.0511042	0.147306	0.258008	0.527297
a96	7.21832e-05	7.5865e-05	0.000115413	8.95503e-05	0.000115846	6.85886e-05	0.000105444	0.000129803	0.000268708	0.000267087	0.000565502	0.00082115	0.00129634	0.00466659	0.0168044	0.0679496	0.161538	0.26152	0.483529
a66	0.000170209	0.000188121	0.000259712	0.000237074	0.000300588	0.000213665	0.000305862	0.000319359	0.000481897	0.000557372	0.001	0.00159163	0.00199343	0.00585373	0.0187826	0.0682315	0.164284	0.273687	0.461542
a38	0.00253007	0.00269598	0.00260589	0.00176993	0.00183612	0.00171385	0.00382886	0.00505194	0.00854553	0.0104166	0.0145734	0.0223765	0.029051	0.0410033	0.0532393	0.0967263	0.170225	0.230287	0.301524
a93	0.00815839	0.00651446	0.00550561	0.00433806	0.005162	0.00636084	0.00854393	0.00897742	0.0148882	0.0182683	0.0239486	0.0397369	0.0655122	0.0684785	0.0651995	0.0824759	0.132762	0.175273	0.259896
a90	9.81237e-05	9.98237e-05	0.000148109	0.000135476	0.000179289	0.000136589	0.000198298	0.000290394	0.000525939	0.000516178	0.000793218	0.00111947	0.00160657	0.00481585	0.0192321	0.0824515	0.197393	0.2595	0.43076
a69	4.07455e-05	4.95615e-05	8.91738e-05	9.21605e-05	0.000106316	0.000106081	0.000178294	0.000194518	0.00026697	0.000322638	0.000585473	0.000786924	0.00119576	0.00436987	0.0192526	0.0803404	0.190788	0.246041	0.455193
a58	6.48441e-05	7.18616e-05	0.000123165	0.000113853	0.00014938	0.000134978	0.000214282	0.000260584	0.000447071	0.000499788	0.000973895	0.00136655	0.0023777	0.00657502	0.0219405	0.085251	0.202159	0.232188	0.445089
a82	0.000530639	0.000574281	0.000576609	0.000343887	0.000389912	0.000290766	0.00063031	0.00099173	0.00256343	0.00258585	0.00405761	0.00630567	0.00757898	0.015735	0.0332172	0.0807222	0.166982	0.268206	0.407718
a87	0.0275567	0.0262636	0.0185395	0.00889049	0.00886217	0.00938325	0.0183944	0.0184899	0.025407	0.0277084	0.0340942	0.0595141	0.0963256	0.0700052	0.0628173	0.071233	0.101953	0.129763	0.184799
a23	0.0774432	0.0582826	0.0460325	0.0279125	0.0253943	0.0191234	0.0521092	0.0482506	0.0443502	0.0609565	0.0623706	0.0832291	0.143623	0.0592307	0.0374407	0.0313555	0.0311594	0.0388187	0.0529177
a3	0.015667	0.00931038	0.00698348	0.00350168	0.00392648	0.0024305	0.00357412	0.00262548	0.00322842	0.0036322	0.00409797	0.00743363	0.0153547	0.0224305	0.0583044	0.137547	0.181388	0.240051	0.278513
</S>	0.00853327	0.00439887	0.00381003	0.00254431	0.00333114	0.00241898	0.00334006	0.0038035	0.00662651	0.00823186	0.0106118	0.0146936	0.0206852	0.0225012	0.0461216	0.0915132	0.156376	0.247887	0.342572
