 	je	conduis	ce	malade	à	l'	hôpital	</S>
a11	0.215034	0.141798	0.15346	0.132416	0.125326	0.105053	0.0744838	0.05243
a82	0.294642	0.233548	0.193068	0.0909171	0.0672366	0.0557135	0.0377184	0.0271569
a87	0.40064	0.274646	0.204849	0.0656261	0.0257378	0.0132185	0.00865297	0.00662887
a97	0.333064	0.299558	0.228689	0.0827983	0.0299291	0.0137606	0.00740345	0.00479732
a87	0.401177	0.210313	0.168034	0.0813569	0.0489416	0.0378916	0.0290701	0.0232161
a99	0.439266	0.228308	0.169821	0.0694747	0.0382067	0.024184	0.0176463	0.013093
a94	0.379773	0.178126	0.152237	0.0922802	0.0675752	0.0545877	0.0433432	0.0320779
a18	0.336539	0.12586	0.122161	0.0980554	0.0836104	0.090002	0.0772663	0.0665057
a88	0.270349	0.13069	0.130675	0.100428	0.0912682	0.0990667	0.0947067	0.0828163
a62	0.246057	0.143165	0.129013	0.0945378	0.0862254	0.0924652	0.103496	0.105041
a90	0.152909	0.133501	0.130163	0.107318	0.0945325	0.102187	0.128073	0.151317
a12	0.204943	0.150566	0.14494	0.114185	0.0932853	0.0924023	0.0948768	0.104802
a43	0.115046	0.122846	0.138382	0.12721	0.105864	0.106728	0.128321	0.155603
a90	0.101927	0.113089	0.129183	0.120522	0.0997881	0.102112	0.1425	0.190879
a76	0.122736	0.111414	0.131441	0.131842	0.10945	0.112252	0.130228	0.150636
a69	0.0936605	0.0964177	0.137168	0.161873	0.124942	0.122706	0.1279	0.135332
a53	0.0617757	0.0774227	0.118749	0.162587	0.136331	0.137487	0.149562	0.156086
a44	0.0331806	0.0424472	0.0721009	0.156806	0.138131	0.155729	0.18353	0.218076
a4	0.0326981	0.0402422	0.0666255	0.144305	0.129263	0.147966	0.182478	0.256423
a13	0.018608	0.0245794	0.0398271	0.110381	0.120819	0.153115	0.208196	0.324474
a99	0.00625971	0.00812626	0.0128314	0.0438843	0.0675398	0.134946	0.235671	0.490742
a83	0.00246311	0.00339214	0.00608458	0.0307317	0.0586818	0.138996	0.271436	0.488214
a44	0.00231686	0.00263848	0.00456988	0.0230696	0.0508616	0.125744	0.269433	0.521367
a13	0.00218666	0.00255711	0.00424689	0.0221735	0.0509011	0.12734	0.260965	0.52963
a66	0.00253452	0.00274208	0.00421829	0.0193862	0.044965	0.112197	0.25191	0.562047
a38	0.00594009	0.00578213	0.0074664	0.0222098	0.0405895	0.0922143	0.234019	0.591778
a36	0.0152055	0.0142648	0.0149366	0.0284414	0.0425003	0.0843669	0.214611	0.585673
a7	0.0534129	0.0427259	0.0394938	0.0520426	0.0625257	0.101787	0.207284	0.440728
a26	0.0591718	0.050031	0.0410094	0.0507362	0.0593526	0.0962795	0.196204	0.447216
a82	0.119578	0.099525	0.0781327	0.0724615	0.0725967	0.0913265	0.157006	0.309373
a87	0.192475	0.135534	0.104135	0.0856896	0.0831605	0.0895823	0.118582	0.190842
a9	0.239658	0.149383	0.114493	0.0976216	0.0980818	0.0945792	0.0917129	0.114471
a25	0.214099	0.184846	0.143554	0.133022	0.108514	0.0839197	0.0668475	0.0651982
a10	0.212977	0.14678	0.124405	0.125052	0.113949	0.104289	0.0886651	0.0838815
</S>	0.209517	0.144417	0.134847	0.13006	0.115473	0.100679	0.0862682	0.0787396
