 	il	y	a	plusieurs	manières	d'	être	contaminé	du	sida	</S>
a66	0.121268	0.105659	0.11406	0.152213	0.111324	0.0847381	0.0955973	0.109381	0.0616636	0.0292397	0.0148554
a87	0.0975411	0.0836084	0.0839963	0.0913777	0.0767728	0.0600282	0.111295	0.209876	0.0956831	0.053638	0.0361833
a23	0.178422	0.154361	0.169281	0.145798	0.106027	0.0415294	0.0408008	0.0622531	0.0347579	0.0351284	0.0316411
a87	0.149458	0.16998	0.200495	0.169837	0.151984	0.0580552	0.0364029	0.0261713	0.011508	0.0116874	0.0144204
a23	0.179217	0.189417	0.203607	0.160658	0.115676	0.0421251	0.0379649	0.0367933	0.0122131	0.0107102	0.011619
a10	0.145643	0.149243	0.183929	0.16347	0.14391	0.0585511	0.0440474	0.0439418	0.0220072	0.0200681	0.0251898
a24	0.094529	0.110146	0.142656	0.145232	0.132404	0.0858247	0.0823599	0.0992964	0.0494956	0.0272395	0.0308179
a83	0.124374	0.139817	0.133196	0.105822	0.0923797	0.0647545	0.0648036	0.127147	0.069799	0.0412079	0.0366987
a21	0.157084	0.171452	0.134995	0.11178	0.0892464	0.0656821	0.0627771	0.0915909	0.044058	0.0371	0.0342344
a5	0.161565	0.178571	0.135831	0.129162	0.10356	0.0835793	0.0617092	0.0657861	0.0291479	0.0262687	0.0248196
a47	0.11856	0.120315	0.106361	0.108123	0.112209	0.108862	0.0817958	0.111646	0.0496323	0.0447569	0.0377396
a62	0.0897819	0.0989433	0.0981348	0.0882877	0.107602	0.110437	0.0914524	0.139098	0.0664766	0.0590138	0.050773
a83	0.133152	0.147177	0.12087	0.097443	0.0880581	0.0726259	0.0509897	0.0824221	0.0729104	0.0683112	0.0660414
a34	0.0921774	0.102512	0.0900434	0.0725243	0.0749951	0.0704838	0.04945	0.08142	0.122964	0.131014	0.112416
a61	0.124247	0.119368	0.112617	0.103824	0.0901269	0.0750531	0.055594	0.0795059	0.0864223	0.077879	0.0753632
a47	0.0942059	0.0969959	0.0864132	0.0732293	0.066291	0.0512679	0.0397452	0.06089	0.135709	0.150862	0.144391
a62	0.0602168	0.0635468	0.0557161	0.051163	0.0513593	0.0425334	0.0325487	0.0516439	0.179218	0.220704	0.19135
a31	0.00981112	0.0114786	0.0111957	0.0110449	0.0101534	0.00962271	0.0121327	0.0458858	0.211853	0.321183	0.345639
a62	0.00617318	0.00727533	0.00714658	0.00625119	0.00581919	0.00653899	0.0121979	0.0420044	0.210626	0.333767	0.362201
a24	0.00212261	0.00266324	0.00288591	0.00306722	0.0030509	0.00368027	0.00824069	0.0292406	0.188636	0.350986	0.405427
a9	0.00173154	0.00197581	0.00217214	0.00236161	0.00230854	0.00304618	0.0075793	0.0296351	0.19141	0.369143	0.388637
a10	0.00468891	0.00336579	0.00307783	0.00331582	0.00337788	0.00623615	0.00964433	0.0191462	0.125354	0.241872	0.579921
a87	0.0244902	0.011578	0.0107168	0.0108951	0.00993082	0.0115934	0.016015	0.0347457	0.155574	0.251876	0.462585
a10	0.103496	0.0441318	0.0409922	0.0511429	0.0441641	0.0385377	0.0507776	0.0700723	0.119444	0.159326	0.277915
a97	0.0436378	0.0198918	0.0182175	0.0215001	0.018804	0.016407	0.0288661	0.0740356	0.152365	0.287813	0.318462
a10	0.0311906	0.013402	0.0123969	0.0178032	0.0165693	0.0143813	0.026772	0.0800432	0.16467	0.285507	0.337265
</S>	0.0300967	0.0144012	0.0146447	0.0208902	0.0194141	0.0165793	0.0271487	0.0700932	0.153066	0.261787	0.371879
