 	cet	homme	est	un	bon	forgeron	</S>
a23	0.390387	0.192743	0.122967	0.116725	0.0854686	0.0580814	0.0336276
a85	0.639966	0.150457	0.0655686	0.0522618	0.0445234	0.0293534	0.0178707
a66	0.468507	0.204006	0.0971059	0.0591208	0.047132	0.0569103	0.0672184
a87	0.496666	0.200885	0.0886064	0.0476584	0.0366847	0.0491216	0.080378
a23	0.375643	0.210123	0.145054	0.0950066	0.0624268	0.0549866	0.0567602
a83	0.498191	0.186729	0.106685	0.0650691	0.0387472	0.0482069	0.0563711
a9	0.406312	0.225529	0.132836	0.0743835	0.0502784	0.0514223	0.0592399
a99	0.236251	0.19686	0.184696	0.131717	0.096047	0.0763691	0.0780598
a20	0.116848	0.116585	0.135716	0.14187	0.147689	0.156476	0.184816
a41	0.119477	0.137473	0.163211	0.162826	0.143932	0.120485	0.152596
a37	0.202855	0.253128	0.239215	0.153766	0.0833209	0.0361727	0.0315416
a66	0.133883	0.214118	0.24179	0.177963	0.111832	0.0616674	0.0587465
a38	0.109901	0.182673	0.225137	0.192823	0.134977	0.079037	0.0754529
a26	0.102678	0.170875	0.212864	0.197445	0.140983	0.0903729	0.0847825
a24	0.0792648	0.118761	0.159084	0.192223	0.185656	0.138748	0.126264
a9	0.0857271	0.122642	0.141063	0.167151	0.174514	0.169725	0.139177
a50	0.0473276	0.0770119	0.114967	0.171075	0.202847	0.190114	0.196656
a31	0.0547148	0.0773944	0.105935	0.154296	0.173301	0.205806	0.228552
a88	0.0730979	0.0877188	0.0934545	0.125004	0.149102	0.221649	0.249974
a24	0.0743419	0.08092	0.0838702	0.116833	0.140848	0.223691	0.279496
a76	0.0606954	0.0606726	0.0570684	0.0791797	0.111943	0.249912	0.380528
a90	0.0400975	0.03717	0.0379607	0.0656	0.1216	0.307454	0.390117
a4	0.0322032	0.0343674	0.039551	0.0702201	0.113715	0.298338	0.411605
a57	0.0280741	0.0252207	0.0291498	0.0516158	0.0877623	0.288596	0.489582
a53	0.0222362	0.0189182	0.0228296	0.0458087	0.0834383	0.265246	0.541522
a4	0.0196597	0.0146322	0.0162603	0.0298176	0.0539717	0.259011	0.606647
a53	0.0234684	0.0119057	0.00998553	0.0164983	0.0327449	0.196891	0.708506
a76	0.0167382	0.00951201	0.00896502	0.0154524	0.0314729	0.194346	0.723513
a94	0.028547	0.0137039	0.0119697	0.0223581	0.0458636	0.25495	0.622608
a41	0.0136638	0.0071977	0.00682954	0.0137365	0.0332716	0.211905	0.713396
a27	0.0330069	0.0160779	0.01194	0.0213285	0.0450705	0.223925	0.648651
a25	0.0204898	0.0105774	0.0101065	0.0182576	0.0368789	0.183382	0.720308
a87	0.0694136	0.0333791	0.0229331	0.0311875	0.0465444	0.171951	0.624591
</S>	0.0445425	0.0272129	0.0227714	0.0348506	0.0569639	0.236006	0.577653
