 	les	soldats	ont	surpris	des	voleurs	dans	la	nuit	</S>
a66	0.196621	0.162228	0.125006	0.19263	0.131904	0.0915079	0.0507083	0.0262905	0.0143642	0.00873935
a99	0.0682984	0.0532808	0.070425	0.114851	0.128009	0.118922	0.105221	0.109652	0.112265	0.119076
a87	0.220252	0.144151	0.11008	0.195548	0.114417	0.0762862	0.0460503	0.0358194	0.0298534	0.0275426
a97	0.21011	0.151271	0.112062	0.223653	0.118835	0.0740717	0.0405173	0.0293296	0.0218374	0.0183132
a99	0.230091	0.166128	0.117462	0.22135	0.112183	0.0642707	0.0340083	0.0233295	0.016795	0.014382
a40	0.25394	0.179194	0.119112	0.187823	0.101992	0.0616347	0.0372951	0.0262516	0.0190352	0.0137218
a73	0.322915	0.191187	0.133872	0.130663	0.0772272	0.0491089	0.0266468	0.0195973	0.0215656	0.0272171
a44	0.3665	0.222048	0.130281	0.114055	0.0661401	0.0386117	0.022251	0.014846	0.0122604	0.0130062
a70	0.329887	0.208332	0.131845	0.109658	0.068913	0.0477743	0.0310423	0.0244408	0.0227704	0.0253384
a90	0.309129	0.230292	0.140039	0.0935168	0.0601784	0.0461195	0.0305942	0.0274223	0.028535	0.0341739
a98	0.31304	0.231616	0.133866	0.082651	0.0582261	0.0471719	0.0335357	0.0300051	0.0311146	0.0387733
a92	0.27995	0.210867	0.139728	0.0931721	0.0713672	0.0635756	0.0388156	0.0337886	0.0325093	0.0362256
a85	0.257553	0.191353	0.130872	0.099979	0.0820581	0.0725066	0.0497984	0.0414614	0.0365798	0.037839
a44	0.185949	0.155627	0.125261	0.0972607	0.0974282	0.100332	0.0727179	0.0631078	0.0533884	0.0489284
a26	0.177268	0.206157	0.162024	0.0982241	0.0869962	0.0765173	0.0454733	0.0433597	0.0449647	0.0590157
a94	0.0841871	0.148883	0.137438	0.0808317	0.10128	0.102056	0.0661183	0.0788989	0.0860714	0.114235
a70	0.0663437	0.119022	0.117849	0.0787738	0.112312	0.110984	0.0754313	0.0922884	0.0980695	0.128927
a0	0.0348587	0.0615248	0.0809478	0.0690773	0.115609	0.116014	0.100514	0.134507	0.134479	0.152468
a11	0.0206272	0.0519705	0.071395	0.0525571	0.0824452	0.0895529	0.0816215	0.129243	0.179691	0.240897
a61	0.0133281	0.0307562	0.0497696	0.0391916	0.0678768	0.0730499	0.0754509	0.130251	0.205447	0.314879
a47	0.0208584	0.0350116	0.0518367	0.0419329	0.0675123	0.0701105	0.0852125	0.138799	0.206106	0.28262
a75	0.0165352	0.0244438	0.0345318	0.0308791	0.0608188	0.0681324	0.106181	0.168923	0.233859	0.255696
a98	0.0288139	0.0388847	0.0498799	0.0319498	0.0624056	0.0716995	0.0997893	0.148538	0.209266	0.258773
a44	0.0164928	0.0254312	0.0365979	0.0213116	0.043518	0.051541	0.0817415	0.134344	0.231659	0.357363
a84	0.00735437	0.0101427	0.0140803	0.00904978	0.0205658	0.0258926	0.0496602	0.10657	0.249446	0.507238
a53	0.00488597	0.00410247	0.00713454	0.00668714	0.0143849	0.0203792	0.0423161	0.105502	0.278954	0.515654
a93	0.00403126	0.00488217	0.00740784	0.00615524	0.0144912	0.0191143	0.0356666	0.0807252	0.225233	0.602293
a66	0.000872492	0.00125652	0.00240099	0.00180953	0.00487842	0.0073034	0.018911	0.0561351	0.214792	0.691641
a9	0.00395995	0.00317011	0.00806913	0.00759999	0.0149942	0.0162964	0.0329751	0.0857843	0.259464	0.567686
a87	0.054611	0.0268075	0.041304	0.0390407	0.0603494	0.0605817	0.0729641	0.113923	0.209621	0.320798
a99	0.0743169	0.0365118	0.0481104	0.065711	0.112437	0.121876	0.119569	0.123551	0.138939	0.158977
a87	0.0463204	0.0242111	0.0387845	0.0666446	0.124611	0.111776	0.122832	0.126105	0.143656	0.195059
a23	0.0583045	0.0377233	0.0505123	0.0933043	0.130979	0.116542	0.110108	0.103534	0.121101	0.177892
a87	0.0356822	0.0237438	0.035835	0.0534242	0.101812	0.0824864	0.0952209	0.118286	0.155438	0.298072
a10	0.038974	0.0224198	0.0345429	0.0524525	0.0920747	0.0810275	0.0948186	0.107159	0.147767	0.328764
a87	0.0700869	0.0558481	0.0706374	0.0982508	0.133377	0.0972384	0.086333	0.0873755	0.105854	0.194998
a23	0.088779	0.0505159	0.0623903	0.0876188	0.12577	0.100675	0.0944673	0.0895271	0.108135	0.192122
a87	0.0296309	0.0211214	0.0353908	0.0505705	0.106057	0.0959368	0.0973152	0.113882	0.156205	0.29389
</S>	0.0656889	0.0446324	0.0532755	0.0681425	0.101547	0.0830114	0.0856292	0.0933616	0.131	0.273712
