 	si	tu	te	lances	dans	les	fétiches	tu	t'	écartes	du	bon	chemin	</S>
a15	0.256382	0.163518	0.1211	0.080355	0.0741339	0.0661649	0.066347	0.0662683	0.0444987	0.0152348	0.01097	0.0102796	0.0120956	0.0126522
a87	0.199958	0.12182	0.0713599	0.0370101	0.0493973	0.0488512	0.0689568	0.0856544	0.103027	0.0442944	0.0317912	0.0346254	0.0439287	0.059325
a23	0.330338	0.136385	0.0615631	0.0369549	0.0268081	0.0300786	0.0293959	0.0316633	0.0588214	0.0540817	0.0408854	0.0376119	0.0490376	0.0763749
a53	0.204415	0.150629	0.0951008	0.0465337	0.0443179	0.0475744	0.0563666	0.0540213	0.0584004	0.0403093	0.0363146	0.0340046	0.0489608	0.0830521
a20	0.209526	0.181627	0.112681	0.0536673	0.0479182	0.0407837	0.036518	0.0336418	0.022704	0.0231893	0.0251688	0.0420949	0.0726478	0.0978318
a47	0.243853	0.226073	0.121456	0.0354851	0.0264038	0.025834	0.0301233	0.0295689	0.0191358	0.0150568	0.0203096	0.0356598	0.0707632	0.100278
a37	0.166916	0.190641	0.143876	0.051505	0.0376085	0.044463	0.0659332	0.0669051	0.0383811	0.0239349	0.0250967	0.0344258	0.0473942	0.0629201
a92	0.138344	0.153027	0.136044	0.0680516	0.0579731	0.0691337	0.104221	0.0948755	0.0484108	0.0237923	0.0223397	0.024238	0.0259553	0.033594
a44	0.107323	0.127709	0.12973	0.0895034	0.0724563	0.0862791	0.11612	0.101065	0.0534006	0.021756	0.0190988	0.0205132	0.0236863	0.0313587
a58	0.106426	0.119095	0.131443	0.109056	0.0802172	0.0826034	0.106508	0.0998615	0.0563368	0.0267177	0.0212054	0.0204185	0.0182088	0.0219032
a82	0.0945541	0.101777	0.130909	0.125208	0.0934949	0.0843674	0.0899376	0.0769762	0.0495369	0.0289601	0.0287078	0.030021	0.0296565	0.035893
a53	0.0434587	0.0451378	0.068588	0.0927256	0.0855668	0.0897262	0.0989417	0.095411	0.0731206	0.0491952	0.054782	0.0612649	0.0637212	0.0783603
a76	0.0535653	0.0598007	0.103341	0.140169	0.104157	0.112229	0.110548	0.0914696	0.0559506	0.0312317	0.0268381	0.0284502	0.0349576	0.0472923
a92	0.0438655	0.0529498	0.0835168	0.125724	0.0878805	0.10151	0.107888	0.0935359	0.0645334	0.0431837	0.0441148	0.0468632	0.046371	0.0580625
a75	0.043738	0.0559543	0.0841748	0.13522	0.0933242	0.107305	0.109106	0.0859488	0.0618779	0.0455524	0.0461504	0.0463384	0.0385878	0.0467216
a47	0.0352839	0.0441846	0.0631624	0.104807	0.0693058	0.0863833	0.0865072	0.0788549	0.0670688	0.0644461	0.0738185	0.0828258	0.0668144	0.0765374
