 	elle	a	un	pagne	neuf	</S>
a79	0.14939	0.14543	0.160067	0.168955	0.222638	0.15352
a15	0.207613	0.160151	0.188171	0.155392	0.125875	0.162798
a41	0.360072	0.265819	0.153901	0.073621	0.0762049	0.070382
a26	0.371224	0.309605	0.172673	0.0767122	0.0376217	0.0321652
a24	0.306463	0.269935	0.196056	0.11806	0.0582495	0.051235
a98	0.259673	0.240653	0.201128	0.153264	0.0863131	0.058968
a71	0.268292	0.24679	0.217474	0.152036	0.0756636	0.0397447
a9	0.220527	0.217267	0.222023	0.173196	0.101713	0.0652737
a38	0.135344	0.156342	0.193409	0.186101	0.181352	0.147452
a90	0.160179	0.174085	0.203658	0.196747	0.171235	0.0940973
a38	0.183032	0.186803	0.194187	0.190697	0.157234	0.088047
a75	0.0614991	0.0739361	0.115169	0.204584	0.274535	0.270277
a41	0.0547337	0.0657464	0.0957606	0.182169	0.264289	0.337301
a98	0.0321975	0.0401457	0.0615451	0.128465	0.297607	0.44004
a41	0.0318366	0.0399502	0.0589416	0.109043	0.298394	0.461835
a84	0.0284064	0.0329479	0.0447419	0.0859852	0.265765	0.542153
a98	0.0137331	0.0167425	0.0241119	0.049636	0.195853	0.699923
a41	0.018334	0.0219638	0.0277331	0.0501025	0.216252	0.665615
a85	0.0274966	0.032908	0.0437542	0.0704857	0.242309	0.583046
a41	0.0433033	0.0466901	0.0522	0.07019	0.23502	0.552596
a44	0.0328558	0.0377557	0.0468723	0.0706135	0.230996	0.580907
a57	0.0265615	0.0307641	0.0380066	0.0606888	0.16251	0.681469
a38	0.00515345	0.0065877	0.0106028	0.0259386	0.115969	0.835749
a24	0.00622686	0.00735152	0.0112264	0.0267599	0.114631	0.833804
a9	0.011446	0.0120234	0.0149352	0.0305808	0.113305	0.817709
a87	0.0144703	0.0203733	0.0296641	0.0607682	0.198226	0.676498
a23	0.0231459	0.0250678	0.0303312	0.0489479	0.195894	0.676613
a87	0.0593507	0.0490165	0.0470732	0.0644885	0.181171	0.5989
</S>	0.0316457	0.0315246	0.0335723	0.0582579	0.180685	0.664314
