 	le	soleil	brille	beaucoup	</S>
a23	0.262365	0.256061	0.249195	0.129202	0.103176
a38	0.290736	0.258631	0.172482	0.132532	0.145619
a20	0.422021	0.215413	0.152436	0.0971935	0.112936
a54	0.512824	0.252149	0.115834	0.0649414	0.054252
a35	0.568869	0.276805	0.0945867	0.0356582	0.0240804
a43	0.524759	0.31032	0.101397	0.0368468	0.026676
a11	0.37682	0.307946	0.186821	0.0749928	0.0534199
a75	0.301587	0.298627	0.237789	0.096958	0.0650385
a41	0.272884	0.263046	0.246069	0.130799	0.0872021
a35	0.28782	0.275121	0.234223	0.120913	0.0819228
a76	0.241021	0.266961	0.242213	0.145239	0.104566
a94	0.180516	0.241968	0.263215	0.170515	0.143786
a58	0.137811	0.198704	0.259161	0.217908	0.186416
a54	0.0533231	0.0879101	0.220336	0.294539	0.343892
a30	0.0432985	0.0904301	0.275769	0.297981	0.292521
a35	0.0710265	0.125475	0.254142	0.265766	0.28359
a76	0.0355479	0.0597878	0.171823	0.295593	0.437248
a25	0.0225851	0.0382518	0.153714	0.32404	0.461409
a92	0.0132068	0.0257024	0.114036	0.291822	0.555233
a35	0.0192019	0.0333331	0.135988	0.302146	0.509331
a24	0.0154296	0.0240712	0.0818814	0.268546	0.610072
a26	0.0137112	0.0205548	0.0622768	0.221704	0.681753
a24	0.0229918	0.0306706	0.0747772	0.232037	0.639523
a9	0.0207753	0.0240829	0.0646225	0.219851	0.670668
a87	0.0235247	0.0308093	0.0949973	0.262326	0.588342
</S>	0.0146794	0.0154538	0.0678709	0.268744	0.633251
