 	hier	soir	les	bandits	ont	ravi	de	l'	argent	à	ces	femmes-ci	</S>
a66	0.111913	0.209304	0.269173	0.2738	0.0814651	0.0385578	0.00839025	0.00284452	0.00189042	0.000990763	0.000652427	0.000442714	0.000576226
a87	0.356047	0.164326	0.106116	0.117465	0.0602677	0.0650666	0.0415939	0.0229637	0.0197628	0.0110022	0.00817351	0.0078758	0.0193392
a97	0.21062	0.123012	0.155691	0.284053	0.0505406	0.0489341	0.0226061	0.0173288	0.0182045	0.0143326	0.0117781	0.0130577	0.0298418
a87	0.192452	0.161174	0.14716	0.207549	0.0463267	0.0583468	0.0441843	0.0336911	0.0357431	0.028	0.0150318	0.0107166	0.0196251
a97	0.158314	0.132392	0.12129	0.198904	0.0488352	0.0622976	0.0535128	0.0465737	0.05104	0.0425972	0.0242049	0.0196458	0.0403926
a40	0.0891028	0.0922275	0.107456	0.203463	0.0757328	0.0944207	0.0759403	0.0610986	0.0637632	0.0494175	0.028022	0.0208553	0.0385002
a36	0.151939	0.13274	0.171087	0.294983	0.0660254	0.0772331	0.0309166	0.0157521	0.0173562	0.0126268	0.00868781	0.00714945	0.0135032
a2	0.341128	0.224416	0.18395	0.133679	0.0304048	0.0322434	0.014836	0.0101652	0.00892597	0.00684579	0.0051232	0.00322414	0.00505785
a75	0.187676	0.168976	0.162587	0.157627	0.0531724	0.0599673	0.0388055	0.0345147	0.0318231	0.0305692	0.0289983	0.0202981	0.0249851
a21	0.140942	0.136694	0.186755	0.192649	0.0707884	0.055598	0.0349717	0.0292775	0.0241504	0.0266038	0.0333011	0.0278387	0.0404317
a85	0.132192	0.134273	0.224642	0.211951	0.0877106	0.0598496	0.0306039	0.0257216	0.021274	0.0212496	0.0202214	0.0143899	0.0159208
a6	0.0959196	0.121571	0.148158	0.12827	0.086964	0.0625549	0.0413432	0.043465	0.0377584	0.0404046	0.0556669	0.0606591	0.0772657
a36	0.120827	0.131014	0.176919	0.161417	0.0901764	0.056112	0.0341384	0.0334089	0.0292098	0.0311035	0.0393499	0.0408396	0.0554836
a26	0.115191	0.148462	0.213325	0.195247	0.0724325	0.048693	0.0296626	0.0271649	0.0226435	0.0244195	0.0280681	0.0330528	0.0416377
a96	0.0628833	0.0954801	0.172967	0.179348	0.0932206	0.0797623	0.0485541	0.0494854	0.0491874	0.0446762	0.0395934	0.03571	0.0491324
a75	0.0662821	0.101275	0.173606	0.16616	0.0824903	0.0755088	0.0452464	0.0448028	0.0430079	0.0417891	0.0438598	0.0479645	0.0680071
a85	0.0273013	0.0554934	0.112903	0.123672	0.0868452	0.0637043	0.0528359	0.0616624	0.0559249	0.0660643	0.080186	0.0941019	0.119305
a92	0.0267478	0.0403094	0.0733531	0.0878359	0.0796921	0.0474015	0.043659	0.0572084	0.0537507	0.0698539	0.103751	0.138274	0.178164
a37	0.0365857	0.0557061	0.105213	0.112768	0.103269	0.0659952	0.0519365	0.0580725	0.0583971	0.0731187	0.0896269	0.0982431	0.0910681
a96	0.0177399	0.0332461	0.0935256	0.138424	0.143358	0.100778	0.0730669	0.0796744	0.0702795	0.0641808	0.0626326	0.0640476	0.0590467
a93	0.0104945	0.018217	0.0588059	0.1222	0.147128	0.0992352	0.0807466	0.0922538	0.0805106	0.0748781	0.0725024	0.0760316	0.0669965
a4	0.0096884	0.014193	0.0430208	0.0950624	0.12508	0.0963728	0.0821828	0.0948996	0.0854669	0.0839022	0.0836025	0.0982425	0.0882864
a13	0.00670895	0.00944846	0.0267719	0.0635211	0.116456	0.0972164	0.0948822	0.113104	0.10103	0.0915196	0.0876651	0.101465	0.0902108
a98	0.00430309	0.00702109	0.0171156	0.0305442	0.100818	0.105556	0.104138	0.138084	0.134737	0.094557	0.0729875	0.0826656	0.107473
a15	0.00191955	0.00239861	0.00680369	0.0161858	0.0574663	0.0521556	0.0627375	0.0908153	0.0934638	0.0984548	0.109869	0.169739	0.237991
a7	0.00190348	0.00210172	0.00442309	0.00916307	0.047149	0.0605467	0.0843354	0.122463	0.133609	0.11139	0.102191	0.127709	0.193015
a44	0.00196329	0.00209329	0.00405807	0.00782296	0.0385836	0.055952	0.0808471	0.118301	0.123004	0.101371	0.0950847	0.133766	0.237154
a90	0.00117023	0.00118137	0.00249222	0.00489894	0.0255838	0.0391683	0.061951	0.0915394	0.102945	0.100346	0.112068	0.179759	0.276897
a69	0.000634299	0.000673781	0.00132621	0.00213695	0.0130637	0.0211862	0.0448595	0.0777186	0.0921351	0.0981656	0.114751	0.216346	0.317002
a44	0.000514413	0.000430268	0.000855667	0.00148462	0.0121244	0.0212752	0.0447274	0.0680391	0.0776501	0.0863675	0.107839	0.228247	0.350445
a4	0.000447658	0.000472823	0.00101232	0.00176896	0.00984619	0.0172301	0.0388706	0.0684809	0.0791241	0.0880323	0.110584	0.225474	0.358656
a53	0.000505406	0.000637727	0.00121165	0.00177801	0.00840159	0.0146708	0.0326747	0.0615845	0.0753789	0.0847454	0.107311	0.21901	0.392091
a4	0.000408649	0.00050297	0.000909347	0.00120105	0.00633017	0.0120062	0.029952	0.061068	0.0793013	0.0935997	0.111793	0.224621	0.378306
a58	0.000165949	0.000165283	0.000370928	0.000662996	0.00225816	0.00419208	0.00992738	0.0229738	0.0285207	0.0398376	0.0656305	0.204017	0.621277
a82	0.000278742	0.000189266	0.000387743	0.000880703	0.0027643	0.00478963	0.00989495	0.0184186	0.0192488	0.0274426	0.0496752	0.191878	0.674151
a97	0.0033149	0.00195539	0.0033652	0.00758412	0.0114612	0.0198658	0.0349957	0.0514258	0.0497314	0.0687938	0.0965159	0.235785	0.415206
a79	0.0144667	0.00745858	0.0100436	0.0245471	0.0338821	0.0797303	0.0982161	0.0992615	0.0953128	0.117316	0.0955684	0.147936	0.176261
a5	0.002484	0.000915611	0.00122863	0.00363955	0.00503081	0.0126301	0.019619	0.0233663	0.0293854	0.0608005	0.0940773	0.267055	0.479768
a18	0.000124095	9.64432e-05	0.000214862	0.000506964	0.00180511	0.00534436	0.0119192	0.0206433	0.0256035	0.0537357	0.0976792	0.224345	0.557982
a53	0.000582798	0.000464051	0.00107227	0.00242241	0.00601272	0.0122971	0.0220398	0.0296269	0.0251592	0.0434209	0.0742656	0.2382	0.544437
a69	6.42768e-05	4.46922e-05	0.000103144	0.000210086	0.00112511	0.0034129	0.0100076	0.0209405	0.0254538	0.0459242	0.0706782	0.164793	0.657243
a58	5.64899e-05	4.76911e-05	0.000146018	0.000287478	0.00174924	0.00468944	0.0127758	0.0244059	0.0321061	0.0538325	0.0773646	0.175145	0.617394
a53	3.30873e-05	2.37909e-05	7.03745e-05	0.000155834	0.000681199	0.00198149	0.00583918	0.0120855	0.0137569	0.0231618	0.0426486	0.153931	0.745632
a15	4.65849e-05	3.40875e-05	8.25166e-05	0.000132124	0.000623684	0.00176986	0.00566384	0.0125415	0.0159441	0.0253986	0.044127	0.155186	0.73845
