 	apporte-moi	une	grappe	des	fruits	koi	</S>
a66	0.126789	0.177527	0.261179	0.220327	0.0945513	0.0807515	0.0388747
a87	0.315798	0.260819	0.168466	0.10003	0.0560225	0.0469994	0.0518659
a23	0.447271	0.246215	0.149201	0.0683096	0.0388115	0.0253435	0.0248478
a87	0.448214	0.224157	0.162315	0.0723369	0.0358167	0.0339107	0.0232503
a23	0.424913	0.258911	0.167908	0.07221	0.029857	0.0267736	0.0194273
a97	0.4037	0.230869	0.173762	0.0725216	0.0414261	0.0354601	0.0422607
a99	0.331033	0.254056	0.221474	0.09346	0.0471589	0.0304175	0.0224003
a83	0.370909	0.253624	0.204882	0.0701229	0.0429136	0.0291138	0.0284341
a50	0.389155	0.254037	0.249093	0.0721301	0.0231219	0.0069576	0.00550679
a62	0.323424	0.2506	0.266761	0.102159	0.0398861	0.0105678	0.00660251
a5	0.245433	0.237518	0.299496	0.139032	0.0494495	0.020505	0.00856646
a36	0.201127	0.203911	0.292697	0.172175	0.0723873	0.0422744	0.0154291
a6	0.187689	0.203352	0.244922	0.166776	0.0870236	0.0709297	0.0393081
a37	0.0870398	0.149357	0.228493	0.228991	0.150687	0.106401	0.0490311
a75	0.0721339	0.1516	0.232097	0.248947	0.141914	0.114335	0.038973
a5	0.0573771	0.136184	0.24076	0.276317	0.143698	0.104498	0.0411659
a21	0.0229923	0.0576361	0.191613	0.309317	0.181876	0.165808	0.0707576
a62	0.017355	0.031005	0.0998403	0.253897	0.236073	0.252545	0.109286
a21	0.020349	0.0402119	0.116197	0.26394	0.24804	0.226889	0.0843732
a6	0.0147355	0.0247882	0.0729421	0.209631	0.253616	0.296114	0.128173
a37	0.00676457	0.0149811	0.0430413	0.189688	0.265763	0.301463	0.178299
a93	0.00915722	0.0190261	0.0416944	0.136661	0.225691	0.365832	0.201938
a56	0.0063927	0.0118876	0.0253697	0.0871245	0.188374	0.3904	0.290451
a21	0.00402476	0.0066043	0.0169266	0.0582111	0.148317	0.375442	0.390475
a85	0.00408604	0.00637834	0.0163384	0.0544276	0.12096	0.334542	0.463268
a6	0.0010424	0.00161851	0.00400232	0.0272257	0.0954457	0.299285	0.57138
a36	0.00201323	0.00350842	0.00855835	0.0357485	0.0937599	0.258113	0.598299
a7	0.00232267	0.00354917	0.00731042	0.0263255	0.0552994	0.173231	0.731961
a90	0.00146786	0.0020341	0.00382823	0.0164375	0.0423832	0.137605	0.796244
a56	0.000715315	0.00102248	0.00256608	0.0151555	0.0428981	0.148648	0.788995
a96	0.000417534	0.000578005	0.00151006	0.0105701	0.0370844	0.136542	0.813297
a88	0.000300528	0.000415617	0.000691008	0.00406437	0.0179294	0.0629453	0.913654
a71	0.000270314	0.000413219	0.000727685	0.00330023	0.012965	0.0544658	0.927858
a9	0.00534366	0.00741651	0.00873358	0.0149419	0.0398341	0.113594	0.810137
a87	0.0352825	0.0373415	0.0409402	0.0592738	0.0926374	0.145012	0.589512
a23	0.0345365	0.0277339	0.029597	0.0992079	0.190353	0.249361	0.369211
a87	0.00744266	0.0058639	0.00548962	0.0194413	0.0561251	0.115769	0.789869
</S>	0.00574198	0.00487688	0.00439975	0.0209248	0.0577166	0.105791	0.800549
