 	il	y	a	eu	le	brouillard	ce	matin	</S>
a66	0.268615	0.199907	0.134017	0.0895275	0.0848113	0.10332	0.0589464	0.0322722	0.0285832
a87	0.24815	0.187974	0.158925	0.105398	0.0913254	0.0997327	0.0470477	0.0287675	0.0326803
a23	0.426524	0.231608	0.111883	0.0506626	0.0386888	0.0380959	0.0307517	0.0266817	0.0451036
a87	0.299218	0.236772	0.151802	0.0718173	0.060675	0.0549382	0.0420467	0.034216	0.048514
a23	0.31236	0.235761	0.144089	0.0695987	0.0623094	0.0580499	0.0390443	0.0350909	0.0436962
a30	0.242242	0.198419	0.149302	0.0802984	0.0723463	0.0651959	0.0581716	0.0521896	0.0818343
a70	0.227614	0.215773	0.184939	0.0842107	0.0592584	0.0460846	0.0470562	0.0526817	0.0823821
a62	0.218743	0.242773	0.21909	0.11424	0.078562	0.0492285	0.0330915	0.0206872	0.0235844
a93	0.189219	0.229813	0.242557	0.132446	0.084436	0.0476871	0.0300261	0.0200937	0.0237223
a56	0.117379	0.164501	0.233794	0.177388	0.129531	0.0739705	0.0447553	0.0275451	0.0311365
a98	0.0989746	0.129736	0.221684	0.213313	0.157688	0.0814063	0.0412454	0.0260188	0.0299339
a47	0.0805292	0.109938	0.198225	0.223359	0.178567	0.0956914	0.0476443	0.0299296	0.0361166
a36	0.0813876	0.0915629	0.152981	0.202404	0.182893	0.100498	0.0597255	0.0526608	0.0758881
a7	0.0911977	0.0855482	0.127333	0.177156	0.16642	0.0942083	0.062043	0.0716033	0.124491
a98	0.0883015	0.071935	0.0898226	0.141947	0.153524	0.108277	0.0722949	0.0938242	0.180073
a15	0.0372523	0.0332572	0.0503573	0.108061	0.162391	0.143892	0.133121	0.142746	0.188923
a79	0.0211852	0.0198276	0.031433	0.0759574	0.132202	0.134187	0.132163	0.165208	0.287836
a7	0.0201076	0.0176968	0.0252873	0.062947	0.120102	0.134741	0.153547	0.176041	0.28953
a94	0.0209565	0.0163528	0.0161754	0.029505	0.0591216	0.0839757	0.116235	0.190548	0.46713
a43	0.0226223	0.0162097	0.0138723	0.020892	0.0404531	0.0733166	0.130397	0.215833	0.466404
a11	0.00749968	0.00539561	0.00514336	0.00859621	0.0188284	0.0400002	0.106558	0.260112	0.547866
a93	0.00377269	0.00264915	0.00252406	0.00411528	0.00823248	0.0185466	0.0697194	0.262898	0.627542
a70	0.00220556	0.00175807	0.00182781	0.00378266	0.00865762	0.0191911	0.0716345	0.24838	0.642562
a62	0.000505482	0.000335669	0.000342916	0.000878806	0.00248202	0.0060956	0.0360759	0.22955	0.723734
a61	0.000455629	0.000420672	0.00051939	0.00122043	0.00331277	0.00942005	0.0460728	0.25871	0.679869
a21	0.000445687	0.000382733	0.00047169	0.00121708	0.00327938	0.00839712	0.0413387	0.250679	0.693788
a12	0.000796156	0.000568939	0.000622576	0.00135919	0.00310811	0.0071053	0.0293798	0.202737	0.754322
a47	0.000592125	0.000455048	0.000476552	0.000937799	0.00185483	0.00387399	0.0194518	0.17841	0.793948
a96	0.000673134	0.000549451	0.000657509	0.00152015	0.00355254	0.00725921	0.0333968	0.222788	0.729603
a66	0.001329	0.000869326	0.000967386	0.00213846	0.00489639	0.00958246	0.0424036	0.250598	0.687215
a70	0.0040168	0.00282059	0.00307124	0.00535515	0.00971206	0.0148735	0.048084	0.254985	0.657082
a83	0.00190779	0.00125106	0.00141771	0.00291426	0.00594658	0.0103981	0.0421184	0.249701	0.684345
a9	0.00294075	0.00196753	0.00224166	0.00399522	0.00724951	0.0117668	0.0404683	0.237333	0.692037
a87	0.05403	0.0338649	0.0286349	0.0302898	0.0342076	0.0407693	0.075579	0.214385	0.48824
a23	0.208905	0.126221	0.0812926	0.0583947	0.0543041	0.0617405	0.0869749	0.138986	0.183182
a87	0.211014	0.123358	0.0661052	0.043958	0.0359139	0.0398627	0.0691523	0.122644	0.287993
</S>	0.0254103	0.0161487	0.0125461	0.0129184	0.0174743	0.0281762	0.080301	0.204778	0.602247
