 	ton	enfant-ci	est	têtu	</S>
a66	0.549935	0.251476	0.105817	0.0544321	0.0383401
a87	0.424583	0.178422	0.132839	0.141918	0.122239
a23	0.481691	0.270458	0.134835	0.0553881	0.0576283
a44	0.373252	0.325079	0.175859	0.0704993	0.0553115
a90	0.501045	0.340769	0.100474	0.0327207	0.0249911
a98	0.492402	0.314097	0.143484	0.034602	0.0154153
a85	0.383628	0.340759	0.176262	0.0682579	0.0310928
a92	0.435359	0.290152	0.153272	0.0787992	0.0424176
a25	0.346288	0.280951	0.178033	0.118793	0.0759343
a15	0.237714	0.196791	0.198742	0.186243	0.180511
a98	0.229838	0.215587	0.215058	0.186673	0.152844
a15	0.188382	0.198954	0.219928	0.205437	0.187298
a98	0.112206	0.168811	0.222954	0.252345	0.243684
a85	0.0799696	0.134624	0.208891	0.268878	0.307638
a6	0.0255923	0.0608637	0.147586	0.295803	0.470155
a0	0.0175825	0.0459933	0.121574	0.273599	0.541251
a47	0.00441804	0.0113579	0.0363185	0.158826	0.78908
a31	0.00148502	0.00488204	0.0187706	0.143369	0.831494
a61	0.00238783	0.00683343	0.0238292	0.165693	0.801257
a75	0.00261169	0.00773787	0.0257029	0.161959	0.801989
a47	0.00230979	0.00743432	0.019719	0.136774	0.833763
a36	0.000660216	0.00271505	0.0108824	0.110045	0.875698
a2	0.00745604	0.0236387	0.0699864	0.263919	0.635
a57	0.0733367	0.0747118	0.111084	0.233264	0.507604
a87	0.20512	0.125056	0.131217	0.173021	0.365585
a97	0.25434	0.17968	0.173268	0.17507	0.217642
a87	0.176018	0.155077	0.177773	0.209808	0.281324
a23	0.194946	0.173978	0.1757	0.169435	0.28594
a99	0.0116082	0.0137047	0.0344271	0.169177	0.771082
a27	0.0194968	0.0376539	0.0854778	0.228216	0.629156
</S>	0.0742692	0.0799308	0.092767	0.176576	0.576457
