 	il	agit	toujours	bien	</S>
a23	0.217202	0.166895	0.178577	0.195616	0.241711
a20	0.274417	0.171905	0.162438	0.170364	0.220876
a14	0.340151	0.234871	0.18696	0.126169	0.111849
a41	0.631195	0.219542	0.0862071	0.0370617	0.0259941
a26	0.462963	0.260299	0.149842	0.0725047	0.0543911
a35	0.410972	0.284607	0.15005	0.0811479	0.0732233
a14	0.367457	0.282235	0.176729	0.0965223	0.077057
a41	0.313791	0.271015	0.211338	0.11853	0.0853259
a27	0.157576	0.214892	0.252572	0.20571	0.16925
a11	0.167979	0.196064	0.234397	0.211961	0.189598
a75	0.159356	0.199878	0.240862	0.205339	0.194564
a76	0.0412482	0.107387	0.223845	0.289974	0.337545
a94	0.0298401	0.10565	0.240475	0.308027	0.316008
a57	0.014046	0.0427408	0.129691	0.303509	0.510013
a38	0.00744426	0.0199401	0.098695	0.280203	0.593718
a75	0.00336055	0.0143695	0.0756369	0.262086	0.644547
a21	0.00485772	0.0242698	0.0945561	0.268703	0.607614
a12	0.00402938	0.0176196	0.0817277	0.241049	0.655575
a18	0.00657368	0.0273822	0.0981876	0.266081	0.601775
a25	0.0080967	0.0292299	0.105057	0.277309	0.580308
a87	0.0138686	0.0366084	0.129816	0.282672	0.537035
</S>	0.0161001	0.0369285	0.116718	0.280117	0.550136
