 	si	tu	attends	encore	un	peu	il	va	venir	</S>
a10	0.372515	0.209873	0.0820422	0.0584431	0.0687189	0.047059	0.0450567	0.0409087	0.0340624	0.0413214
a87	0.209688	0.143404	0.0774916	0.0640982	0.0556715	0.056768	0.063912	0.0768776	0.0935131	0.158576
a23	0.178016	0.145531	0.113895	0.0970247	0.0802358	0.0682507	0.0628381	0.0695756	0.0720829	0.11255
a79	0.194093	0.179815	0.156044	0.0959496	0.0583977	0.0420226	0.040402	0.0539563	0.0562183	0.123101
a20	0.359043	0.32255	0.13056	0.03222	0.0208833	0.0127041	0.0139314	0.0211874	0.0367803	0.0501404
a73	0.328226	0.354895	0.185146	0.0508314	0.0272617	0.0128498	0.00915356	0.00924089	0.0108332	0.0115622
a94	0.25125	0.295952	0.209141	0.0922865	0.0516966	0.0249186	0.0176192	0.0171088	0.0196782	0.0203497
a90	0.233662	0.292377	0.214083	0.0940128	0.0503975	0.0254258	0.0192063	0.0195184	0.024864	0.026453
a13	0.201968	0.250856	0.216201	0.107776	0.0602522	0.0304152	0.0228277	0.0232891	0.0386077	0.0478085
a53	0.191226	0.23654	0.239641	0.119452	0.0627833	0.0282926	0.0194387	0.0191189	0.0336299	0.0498782
a90	0.157809	0.189777	0.239462	0.126575	0.0720139	0.0377681	0.0276673	0.0266758	0.0501054	0.0721455
a94	0.132766	0.154537	0.218445	0.138815	0.0854601	0.0529103	0.0409424	0.0366546	0.0575783	0.0818911
a61	0.124491	0.136436	0.204095	0.144876	0.092672	0.0555425	0.0392546	0.03734	0.0592209	0.106072
a24	0.133872	0.140501	0.207074	0.151663	0.10346	0.0557147	0.0376103	0.0336454	0.0512937	0.0851654
a21	0.0919119	0.0941139	0.141161	0.142472	0.127141	0.0944031	0.0660433	0.0542793	0.0741183	0.114356
a85	0.104071	0.105792	0.142901	0.138731	0.134716	0.10081	0.0722243	0.0563969	0.0638825	0.0804752
a73	0.0934187	0.0908472	0.0943219	0.105974	0.107705	0.0941172	0.0839825	0.0797719	0.0979652	0.151896
a94	0.0898222	0.088169	0.129884	0.144508	0.131096	0.100499	0.0803942	0.0681148	0.0695837	0.0979283
a90	0.0881413	0.0907096	0.128438	0.135329	0.115718	0.100348	0.0901531	0.0725743	0.0741833	0.104405
a94	0.0705937	0.0747774	0.099066	0.105215	0.0998561	0.0946352	0.0970275	0.0956895	0.107409	0.15573
a21	0.0485731	0.0498131	0.073753	0.0924541	0.100255	0.127025	0.136091	0.112827	0.119291	0.139918
a41	0.0459164	0.0438932	0.0585342	0.0704934	0.0838473	0.124006	0.149519	0.141483	0.135794	0.146513
a18	0.0273242	0.0274997	0.0471798	0.0583376	0.0714779	0.111954	0.140915	0.144047	0.160193	0.211071
a82	0.0414583	0.0403093	0.0614068	0.0841643	0.0788118	0.103252	0.133726	0.121172	0.14312	0.192579
a87	0.0242344	0.022833	0.0335884	0.062078	0.0627783	0.0922609	0.140602	0.141846	0.178959	0.24082
a23	0.0173252	0.0149453	0.0164677	0.0336048	0.0478191	0.0806805	0.132594	0.182818	0.221046	0.2527
a20	0.0112215	0.00920009	0.0100092	0.0227456	0.0292426	0.0498926	0.0636192	0.100341	0.21129	0.492438
a73	0.0383473	0.0374768	0.0408664	0.0493403	0.0431014	0.0431628	0.0497121	0.0727063	0.159258	0.466028
a56	0.01863	0.0218719	0.0381904	0.0632304	0.0535476	0.0517987	0.0605875	0.0916024	0.199279	0.401262
a98	0.0383362	0.0416528	0.052323	0.0719207	0.0673053	0.0691076	0.071899	0.0919647	0.172226	0.323265
a14	0.0264021	0.0286414	0.033051	0.041929	0.0367488	0.0479955	0.0633022	0.0914766	0.194151	0.436303
a41	0.0247129	0.0257028	0.0366261	0.0482642	0.0510131	0.0648992	0.0853112	0.113866	0.195655	0.35395
a12	0.0174222	0.0173976	0.0233161	0.0315245	0.0386589	0.059145	0.0975098	0.13596	0.229645	0.34942
a62	0.00664208	0.00649643	0.0111972	0.0206249	0.0202189	0.0331916	0.0608565	0.105276	0.23582	0.499676
a41	0.00461007	0.00430476	0.00658011	0.0146428	0.0154025	0.0262744	0.0503458	0.0942284	0.207137	0.576474
a30	0.00397058	0.00394791	0.00588816	0.00986139	0.0108486	0.0211186	0.046524	0.103243	0.264385	0.530212
a2	0.00490972	0.00492982	0.0069991	0.0105999	0.0119839	0.0213703	0.0449339	0.0983477	0.2619	0.534025
a57	0.00354305	0.00311239	0.00384811	0.00679917	0.00778518	0.0200535	0.0597596	0.129636	0.236277	0.529186
a87	0.00346044	0.00250513	0.00268284	0.00516505	0.00560522	0.0135136	0.0367782	0.0981267	0.234914	0.597249
</S>	0.00307604	0.00166229	0.00165164	0.00527431	0.00920415	0.0267958	0.0600449	0.127203	0.227414	0.537673
