 	la	forêt	de	mbonga	est	encore	giboyeuse	</S>
a66	0.379573	0.295245	0.174049	0.0644024	0.0310045	0.0231219	0.0155411	0.0170623
a87	0.606247	0.300703	0.0512873	0.0107007	0.00571464	0.00566288	0.00737318	0.0123115
a23	0.573581	0.285124	0.0802289	0.0200751	0.00676296	0.0068892	0.0100024	0.0173365
a10	0.557636	0.222698	0.0708403	0.0395738	0.0181205	0.0191825	0.0265097	0.0454401
a87	0.493877	0.197	0.0847172	0.0607726	0.034083	0.0350265	0.0377719	0.0567515
a23	0.526108	0.218279	0.0798616	0.0451394	0.0273472	0.0290068	0.0330495	0.0412082
a40	0.25654	0.132973	0.0943849	0.1046	0.0841714	0.0956698	0.101184	0.130477
a7	0.311719	0.274603	0.192907	0.126247	0.0425716	0.0242653	0.0147133	0.0129737
a37	0.28703	0.307942	0.171777	0.124771	0.0552646	0.0289799	0.0136302	0.0106046
a54	0.163823	0.211759	0.192573	0.181208	0.109175	0.0662828	0.0394808	0.0356987
a7	0.134665	0.211733	0.172213	0.125274	0.110184	0.0951042	0.0723593	0.0784682
a44	0.118794	0.181195	0.133753	0.102196	0.107146	0.114825	0.107932	0.13416
a7	0.0715754	0.121313	0.11684	0.110803	0.137218	0.142765	0.1322	0.167285
a44	0.0441952	0.0776754	0.0992739	0.109075	0.149537	0.16213	0.153289	0.204826
a4	0.0319523	0.0492599	0.091783	0.121454	0.172761	0.179137	0.153916	0.199738
a53	0.0146333	0.0245161	0.0656773	0.108899	0.186773	0.21176	0.17131	0.21643
a69	0.00887886	0.0156683	0.0530907	0.104199	0.173075	0.218138	0.186964	0.239986
a32	0.00622386	0.00984958	0.0349347	0.0818177	0.165254	0.233845	0.207075	0.261
a54	0.00140135	0.00168853	0.00412526	0.0105906	0.0485903	0.126525	0.271195	0.535884
a47	0.00132756	0.00164109	0.00440343	0.0104675	0.0412158	0.107846	0.228963	0.604135
a36	0.0013736	0.00172888	0.00445891	0.0122739	0.0524102	0.135232	0.257374	0.535149
a37	0.000599146	0.000620076	0.00136488	0.00383587	0.0167164	0.0568181	0.21975	0.700296
a36	0.000563233	0.000724415	0.00173746	0.00449767	0.0165096	0.0561915	0.229009	0.690767
a26	0.000754388	0.000795323	0.00148813	0.00308728	0.0132156	0.0470565	0.242306	0.691297
a57	0.00644975	0.00449191	0.00543189	0.0082513	0.0199022	0.0521351	0.23402	0.669318
a87	0.116039	0.0513903	0.0342284	0.0316331	0.0438249	0.0751727	0.199403	0.44831
a23	0.488111	0.23257	0.0803648	0.033936	0.0257161	0.0328436	0.0426065	0.0638519
a87	0.245393	0.145826	0.070093	0.0611	0.0646196	0.0890025	0.121784	0.202183
</S>	0.0508074	0.0483048	0.0413763	0.0494635	0.0829971	0.139601	0.219156	0.368294
