 	c'	est	l'	ancien	président	qui	nous	a	fait	écrire	des	tracts	</S>
a87	0.0676546	0.070121	0.0711424	0.11486	0.132994	0.110392	0.112974	0.0998102	0.0939642	0.0696424	0.0450398	0.00735561	0.00405071
a23	0.112926	0.0870024	0.0823682	0.089592	0.0705986	0.0563465	0.0690234	0.0633077	0.0881523	0.168073	0.0568426	0.0247349	0.0310325
a87	0.066626	0.0628192	0.0730283	0.0683863	0.0572058	0.061591	0.0685102	0.0822737	0.0890565	0.168047	0.113968	0.0503535	0.0381343
a23	0.126566	0.101921	0.108641	0.0834042	0.0700283	0.0601863	0.0614929	0.0604398	0.0801871	0.11635	0.0716645	0.032315	0.0268043
a97	0.0966179	0.0961224	0.0936673	0.0796963	0.075083	0.0660604	0.0723947	0.0671301	0.0892852	0.111061	0.0833095	0.0421831	0.0273893
a23	0.0793241	0.0908327	0.0985533	0.109988	0.113075	0.0922765	0.0771382	0.0668391	0.0757597	0.0652413	0.063668	0.0412861	0.0260183
a53	0.14688	0.15094	0.142341	0.115337	0.0935072	0.0727209	0.0549341	0.0408928	0.0434899	0.0405037	0.0390768	0.0369913	0.0223857
a4	0.303757	0.258321	0.193609	0.0957466	0.0434046	0.0225104	0.0166066	0.0106554	0.0123515	0.0161853	0.0108674	0.00932905	0.00665587
a58	0.218789	0.190198	0.177066	0.12431	0.0701944	0.0409087	0.0310661	0.0235503	0.0274628	0.0394302	0.0238089	0.01859	0.0146258
a21	0.132509	0.130121	0.153663	0.145326	0.100472	0.0648628	0.048609	0.0440676	0.0452897	0.0476455	0.0296281	0.0280596	0.0297482
a12	0.126303	0.123161	0.13087	0.12436	0.104794	0.0777905	0.0604359	0.0546885	0.0579731	0.0693401	0.0371973	0.0151505	0.017936
a62	0.0638056	0.0674027	0.0762787	0.0835247	0.0879561	0.0882057	0.089284	0.081401	0.112319	0.129249	0.0622326	0.0285981	0.0297426
a0	0.0418054	0.0464752	0.058026	0.0755153	0.0922487	0.0990919	0.0974764	0.0900119	0.123999	0.129935	0.06319	0.0388046	0.0434204
a83	0.0174172	0.0193819	0.0309803	0.0534009	0.0783477	0.108114	0.112578	0.110074	0.145235	0.140001	0.0733708	0.0554919	0.0556076
