 	ma	femme	est	enceinte	</S>
a23	0.443028	0.219205	0.148521	0.111935	0.0773115
a54	0.45728	0.246886	0.1415	0.0906859	0.0636477
a7	0.545181	0.219601	0.0975859	0.0688231	0.0688086
a79	0.515065	0.296669	0.109453	0.0464365	0.0323765
a0	0.396088	0.293862	0.152325	0.0911177	0.0666069
a75	0.282496	0.256348	0.186369	0.147636	0.127152
a5	0.217986	0.223933	0.194245	0.191243	0.172593
a36	0.281311	0.234349	0.184562	0.164849	0.13493
a43	0.219636	0.219103	0.202289	0.198188	0.160784
a21	0.140435	0.181794	0.214984	0.248592	0.214195
a12	0.130378	0.176986	0.232329	0.268535	0.191773
a96	0.0832764	0.11572	0.186401	0.315983	0.29862
a12	0.0512289	0.0770822	0.150405	0.326632	0.394652
a18	0.0461273	0.068691	0.130683	0.308515	0.445985
a25	0.0132662	0.0257005	0.0694298	0.242293	0.649311
a3	0.00722197	0.0161363	0.0482142	0.209602	0.718826
a87	0.0829747	0.0825716	0.122977	0.256347	0.455129
a23	0.288227	0.182064	0.160889	0.177888	0.190932
a10	0.113491	0.114222	0.163753	0.270899	0.337634
</S>	0.0951464	0.107595	0.142075	0.236445	0.418739
