 	le	blaireau	se	nourrit	de	fruits	ngye	</S>
a87	0.503147	0.233932	0.0882424	0.054241	0.0407049	0.0306703	0.0261223	0.0229405
a23	0.412883	0.17116	0.0529498	0.0436598	0.0446264	0.0598571	0.0870479	0.127815
a53	0.281663	0.222836	0.117346	0.0699269	0.0405191	0.0405062	0.0779732	0.14923
a93	0.43409	0.224385	0.0812759	0.0608266	0.0481887	0.0485074	0.0464607	0.0562655
a90	0.386697	0.300373	0.136883	0.0804001	0.0338461	0.0209219	0.0187	0.0221791
a92	0.247333	0.262299	0.200796	0.127239	0.0510063	0.0373337	0.0342535	0.0397397
a85	0.175526	0.217073	0.191613	0.16566	0.0901506	0.0558189	0.0490043	0.0551548
a6	0.196856	0.223483	0.191596	0.158924	0.0831123	0.0514765	0.0462163	0.0483354
a36	0.137261	0.160162	0.181926	0.174509	0.0981717	0.0789788	0.0797189	0.0892732
a75	0.111987	0.133853	0.189674	0.190936	0.110972	0.0880894	0.0866	0.0878877
a85	0.0732243	0.0769674	0.0936024	0.126398	0.114827	0.151232	0.185484	0.178265
a47	0.0371344	0.0348267	0.047476	0.0732349	0.100993	0.170113	0.274744	0.261478
a79	0.023679	0.0157141	0.0188206	0.0372511	0.0753483	0.141561	0.287748	0.399878
a37	0.00702839	0.00553045	0.00982195	0.0297972	0.101258	0.205191	0.278875	0.362498
a96	0.00262364	0.00228606	0.00409662	0.0106646	0.0331488	0.111744	0.282936	0.5525
a62	0.00111469	0.00113833	0.00235801	0.0066314	0.0210674	0.080264	0.278958	0.608468
a12	0.000963769	0.00110033	0.00237932	0.00621831	0.0236604	0.0890317	0.309144	0.567502
a88	0.00162801	0.00174708	0.00298979	0.00765875	0.0273392	0.0876253	0.277241	0.593771
a71	0.00209547	0.00226622	0.00342271	0.00860115	0.0245667	0.0826271	0.287244	0.589176
a25	0.013966	0.010459	0.010113	0.0165988	0.0355824	0.117981	0.295505	0.499794
a9	0.0191482	0.0123841	0.00899248	0.014167	0.0287555	0.0910403	0.277242	0.548271
a87	0.216176	0.151569	0.0818902	0.0742641	0.0746253	0.101586	0.137843	0.162047
a23	0.19847	0.161299	0.0947148	0.0782462	0.0781132	0.107826	0.136761	0.14457
a97	0.0181343	0.0144164	0.0108899	0.0175645	0.0540041	0.135667	0.351011	0.398312
</S>	0.00441006	0.00430891	0.0045046	0.00954685	0.0306271	0.0991609	0.33343	0.514011
