 	le	fait	de	mal	parler	des	gens	c'	est	le	commérage	</S>
a66	0.106609	0.0851215	0.0843969	0.0956913	0.126083	0.160636	0.125746	0.10306	0.0640845	0.033161	0.0096601	0.00575191
a87	0.191378	0.134237	0.121656	0.126478	0.097762	0.0875608	0.0496386	0.0595717	0.0544685	0.0419161	0.0220351	0.0132982
a23	0.20272	0.162394	0.123507	0.092428	0.0672749	0.0520813	0.0376749	0.0446165	0.0581356	0.0789402	0.0465977	0.0336301
a83	0.227153	0.216031	0.154932	0.113023	0.0761635	0.046875	0.0398771	0.0413053	0.0307804	0.0292396	0.0107848	0.0138352
a9	0.181795	0.168517	0.15725	0.150576	0.113721	0.0790132	0.0501177	0.0379755	0.0276785	0.0217013	0.00649124	0.00516455
a62	0.184942	0.167924	0.151131	0.144889	0.108384	0.0735021	0.0483022	0.0349563	0.0337557	0.0326724	0.0141543	0.00538631
a21	0.194826	0.204569	0.180421	0.156728	0.106878	0.0685666	0.0377818	0.0187301	0.0134626	0.0110821	0.00427275	0.00268255
a85	0.130892	0.153465	0.157032	0.165481	0.131609	0.108039	0.0626696	0.0356749	0.0256129	0.0190411	0.00646244	0.00402038
a92	0.0893819	0.107366	0.116395	0.124271	0.117751	0.116677	0.0987602	0.0807411	0.0643941	0.0429974	0.0184912	0.0227736
a98	0.100413	0.119483	0.131287	0.149625	0.129807	0.122224	0.0885333	0.0653129	0.0472287	0.0253445	0.0104134	0.0103276
a92	0.058158	0.0746033	0.101944	0.126178	0.137742	0.151214	0.116893	0.0911316	0.072398	0.0402203	0.0155078	0.0140094
a56	0.0593822	0.0648286	0.0817443	0.109948	0.117512	0.146829	0.123606	0.10537	0.0874764	0.0517489	0.0259696	0.0255849
a98	0.0442521	0.0487734	0.0660393	0.0898179	0.105127	0.151004	0.14805	0.131837	0.10173	0.0517593	0.0279275	0.0336828
a85	0.017915	0.0206933	0.0358294	0.0617504	0.0887975	0.149533	0.158903	0.158067	0.141838	0.0866226	0.039316	0.0407342
a6	0.0127597	0.0137493	0.0236737	0.0406125	0.0643431	0.116499	0.131583	0.149344	0.138331	0.104691	0.092876	0.111538
a37	0.0173244	0.0161757	0.0238063	0.037966	0.0620194	0.10831	0.130213	0.149238	0.122352	0.0890459	0.106207	0.137342
a61	0.0115625	0.00943065	0.0116987	0.0163335	0.0291783	0.0609849	0.106526	0.16267	0.13965	0.115202	0.117305	0.219459
a62	0.00729259	0.00559351	0.00636936	0.00731655	0.0116339	0.0234586	0.0460664	0.0913593	0.107504	0.134194	0.246066	0.313145
a88	0.00483558	0.00368064	0.00383131	0.00385863	0.004677	0.00847895	0.020569	0.0558672	0.0946106	0.137952	0.407631	0.254008
a62	0.000947159	0.000680236	0.000668572	0.000676935	0.000890347	0.00171935	0.00468722	0.0168208	0.0390953	0.0822809	0.517216	0.334317
a31	0.000697961	0.000553742	0.000565669	0.000618109	0.000898504	0.00172373	0.00403027	0.014222	0.0385645	0.087906	0.499059	0.351161
a0	0.000445551	0.000368121	0.000378499	0.000427479	0.000624446	0.00128199	0.00292429	0.0103388	0.0274594	0.0627188	0.469106	0.423927
a24	0.000683931	0.000512654	0.000541146	0.000638872	0.000910372	0.00167887	0.00281618	0.0070929	0.0167439	0.0378956	0.292685	0.637801
a62	0.000432151	0.000295442	0.000309454	0.000385426	0.000577076	0.0012974	0.00223633	0.00480132	0.0107698	0.0249141	0.23354	0.720441
a12	0.00108187	0.000728413	0.000684226	0.00081183	0.00107677	0.0025948	0.00428771	0.00856015	0.0207209	0.0468862	0.267854	0.644714
a18	0.000255195	0.000195379	0.000225559	0.00032257	0.000502154	0.0011022	0.00182029	0.00441402	0.0117074	0.0300888	0.258196	0.691171
a88	0.00346556	0.00228178	0.00203978	0.0023764	0.00270118	0.00600996	0.00884486	0.0163593	0.037639	0.0703251	0.273621	0.574336
a71	0.000759346	0.000535253	0.000501694	0.000606425	0.000700098	0.00155106	0.00229486	0.00464547	0.012832	0.0330954	0.285488	0.65699
a9	0.00431619	0.00312631	0.00309676	0.00375743	0.00443065	0.00910185	0.0118217	0.0200628	0.039824	0.0724355	0.319365	0.508662
a10	0.0686702	0.0391721	0.027672	0.0207687	0.0168405	0.0217985	0.0295257	0.0456393	0.0572444	0.0756991	0.220601	0.376369
a87	0.147185	0.0875136	0.0548337	0.0360192	0.0227004	0.0253126	0.0259347	0.0420072	0.0563008	0.0841059	0.155186	0.2629
a23	0.109553	0.0681719	0.0441837	0.0310805	0.0201337	0.0221169	0.0231937	0.0403419	0.0545429	0.0887935	0.196501	0.301387
a99	0.0242957	0.0127408	0.00750853	0.00412138	0.00246142	0.00251812	0.0028445	0.00706091	0.0129525	0.0321556	0.15288	0.73846
a97	0.00731508	0.00399247	0.00259269	0.00187823	0.00158622	0.00234203	0.00359966	0.00871049	0.0165429	0.037312	0.174091	0.740037
</S>	0.00297746	0.0022381	0.00186702	0.00175916	0.00173196	0.00269165	0.00353628	0.00777773	0.013833	0.031385	0.157229	0.772974
