 	la	nourriture	qu'	il	a	préparée	me	donne	la	nausée	</S>
a66	0.249779	0.16758	0.135181	0.116005	0.107312	0.0796417	0.0668192	0.0374006	0.0239472	0.00908185	0.00725231
a87	0.361288	0.242736	0.127491	0.0711569	0.0430379	0.025428	0.0270384	0.02489	0.0283377	0.0228747	0.0257208
a23	0.365645	0.234512	0.141999	0.0833201	0.0476653	0.0289428	0.0263254	0.024311	0.0171664	0.0114767	0.0186358
a79	0.25681	0.133078	0.0789607	0.0459691	0.0355767	0.0371778	0.050032	0.0575736	0.0708057	0.104622	0.129394
a23	0.26408	0.115525	0.0689567	0.0494331	0.0601571	0.0638518	0.0881643	0.0945626	0.0840316	0.0647507	0.0464868
a36	0.167083	0.126903	0.118005	0.112395	0.0982408	0.0718849	0.0785498	0.0774872	0.0755424	0.0453558	0.0285533
a27	0.13621	0.1256	0.139523	0.145584	0.116138	0.0675778	0.0552827	0.055348	0.059604	0.0677274	0.0314046
a50	0.0833771	0.110647	0.134719	0.131504	0.133037	0.101791	0.069139	0.0590704	0.0545451	0.066207	0.0559647
a96	0.0427707	0.0527436	0.0660286	0.070556	0.0998908	0.136638	0.126198	0.104813	0.087705	0.092696	0.119961
a75	0.0362174	0.0551129	0.0670368	0.0721484	0.102285	0.12031	0.11976	0.111638	0.101036	0.103263	0.111193
a6	0.0356661	0.0551586	0.0736609	0.0890656	0.114801	0.119709	0.124254	0.117374	0.0944327	0.0851349	0.0907431
a37	0.0341967	0.0511741	0.0781448	0.107883	0.135381	0.127905	0.114248	0.105814	0.0819069	0.0710561	0.0922898
a44	0.0291464	0.0370207	0.0490168	0.0663622	0.0884537	0.107749	0.114988	0.116418	0.0977662	0.131661	0.161418
a53	0.013573	0.0154375	0.0194091	0.0317688	0.057199	0.0944686	0.125318	0.14676	0.150529	0.182809	0.162727
a15	0.0109492	0.0106511	0.0144967	0.0284828	0.0658431	0.126924	0.16602	0.177727	0.143099	0.135011	0.120796
a44	0.0120426	0.0118439	0.0167902	0.0325612	0.0709838	0.129189	0.167891	0.179668	0.142311	0.114786	0.121933
a96	0.0124229	0.0106529	0.0138172	0.0251446	0.0530201	0.106973	0.1446	0.169604	0.13748	0.14339	0.182896
a88	0.00692474	0.006689	0.00796569	0.0130159	0.026286	0.0594501	0.0856637	0.122171	0.138489	0.214124	0.319221
a62	0.00261957	0.00256925	0.00287318	0.00484442	0.0100581	0.0282633	0.0473636	0.0837156	0.141933	0.25953	0.416229
a12	0.00123294	0.00117118	0.00115709	0.00171366	0.00327787	0.00938473	0.020779	0.0450654	0.116114	0.298296	0.501808
a18	0.000610021	0.000535691	0.000598546	0.0010419	0.00200625	0.00532249	0.0136275	0.031699	0.106967	0.257332	0.58026
a0	0.000676586	0.000546728	0.000600852	0.00100132	0.00194998	0.004883	0.0122718	0.0303352	0.0950383	0.272084	0.580613
a12	0.00109862	0.000953917	0.00103252	0.00163601	0.00298755	0.00721617	0.0175711	0.0415737	0.105612	0.270729	0.549589
a18	0.000456336	0.000400707	0.00045326	0.000718329	0.00119388	0.00241676	0.00530809	0.0135104	0.0561352	0.218433	0.700974
a54	0.000687367	0.000514793	0.000603406	0.00102885	0.00158152	0.00308005	0.00582111	0.0144827	0.0443499	0.227343	0.700508
a7	0.000822976	0.00065078	0.000786555	0.00162992	0.00298284	0.00567507	0.0114834	0.0280741	0.0641167	0.195574	0.688203
a44	0.000453639	0.00038386	0.00046748	0.000949528	0.00169236	0.00315286	0.00685896	0.018739	0.0505607	0.187951	0.728791
a26	0.000498863	0.000421457	0.000541788	0.00131056	0.0025603	0.00514087	0.0120159	0.0324412	0.0761388	0.212472	0.656458
a82	0.00237244	0.00199765	0.00232309	0.00419434	0.00631133	0.00950127	0.0151584	0.0323408	0.0698978	0.21465	0.641253
a87	0.0119352	0.00876996	0.00888241	0.012901	0.0162777	0.0237535	0.0311986	0.0551845	0.103094	0.252675	0.475328
</S>	0.226881	0.137567	0.0915465	0.07019	0.0572883	0.0506374	0.0476898	0.0464431	0.0541535	0.0782545	0.139349
