 	cette	femme	a	sevré	son	enfant	prématurément	pour	reprendre	les	relations	sexuelles	</S>
a66	0.0433907	0.0409572	0.0349781	0.0510518	0.0559145	0.0966089	0.137372	0.204083	0.173914	0.0931217	0.0416869	0.0181829	0.00873897
a87	0.235187	0.132472	0.0953012	0.0684364	0.053912	0.0616134	0.0917286	0.124793	0.0787207	0.031231	0.0129453	0.00933227	0.00432679
a97	0.0919875	0.072135	0.0703255	0.0709831	0.0395373	0.046243	0.0970943	0.127832	0.147683	0.101201	0.0824657	0.0424098	0.0101036
a3	0.120021	0.109572	0.10287	0.0992297	0.0512602	0.0637491	0.107473	0.115562	0.110759	0.0571651	0.0396043	0.0168076	0.00592755
a30	0.137735	0.115238	0.0971572	0.0757876	0.0399891	0.0536796	0.0969537	0.118728	0.127108	0.0709081	0.0453523	0.0152118	0.00615203
a93	0.140229	0.127801	0.111195	0.105723	0.0425858	0.0546222	0.096818	0.124322	0.106143	0.0499827	0.0304544	0.00755232	0.00257079
a62	0.091251	0.102613	0.095311	0.165055	0.0740843	0.0603929	0.0695734	0.0955398	0.0915824	0.0569924	0.055073	0.0303875	0.0121449
a93	0.0953306	0.131843	0.125021	0.164067	0.0900604	0.0582304	0.0497383	0.0740687	0.0705454	0.0428898	0.0407071	0.0382678	0.0192313
a90	0.0664991	0.0983901	0.10834	0.120169	0.0874534	0.0619805	0.0528449	0.0737493	0.0867952	0.0625711	0.0636527	0.0706615	0.0468935
a25	0.0724447	0.103474	0.113824	0.114114	0.098021	0.0738725	0.0539076	0.0664251	0.0755232	0.0566978	0.0550722	0.0669203	0.0497039
a79	0.0330787	0.0550954	0.0718205	0.0990498	0.0907821	0.0762206	0.0671099	0.0724027	0.0830803	0.0689292	0.0691049	0.108211	0.105115
a56	0.0524999	0.0898498	0.124864	0.132829	0.110808	0.0998395	0.0697395	0.0581997	0.0575801	0.0357232	0.0316692	0.0600231	0.0763742
a96	0.0482345	0.0709283	0.110527	0.149732	0.109282	0.0942398	0.0704395	0.0578473	0.0519663	0.0299981	0.0305248	0.0735283	0.102752
a66	0.0310341	0.0422971	0.0730339	0.101031	0.107785	0.0970261	0.0758853	0.0629887	0.054835	0.0388129	0.0466151	0.107235	0.161421
a62	0.00831324	0.0136095	0.0270573	0.0678953	0.0895941	0.0922047	0.0798861	0.0598102	0.0513219	0.0525869	0.0778699	0.157833	0.222018
a21	0.00792291	0.00936896	0.0185752	0.0268149	0.0672444	0.071192	0.0737166	0.0636083	0.0577597	0.0565324	0.101187	0.183005	0.263073
a75	0.0071814	0.00914448	0.0167407	0.0230416	0.0550848	0.0610754	0.063092	0.0528763	0.0531374	0.0617909	0.0986746	0.175154	0.323007
a92	0.00292738	0.00385769	0.00769533	0.00908312	0.0245123	0.0269758	0.0295087	0.0194032	0.0268143	0.0417696	0.0895258	0.203125	0.514801
a75	0.002412	0.00340802	0.00692208	0.00754627	0.0197115	0.0223939	0.0244256	0.0146286	0.0194819	0.0273083	0.0599924	0.190891	0.600878
a92	0.00156709	0.00194645	0.00366503	0.003779	0.0106561	0.0123078	0.013545	0.00794458	0.0114208	0.0192916	0.049221	0.17874	0.685916
a37	0.0010568	0.00123252	0.00237825	0.00249665	0.00714671	0.00852389	0.00968759	0.00507641	0.00715245	0.012001	0.0355235	0.15069	0.757034
a26	0.000534019	0.000543848	0.000990379	0.0012571	0.00422417	0.00592983	0.0100933	0.0075426	0.0113621	0.0169013	0.0479112	0.181538	0.711173
a82	0.020244	0.0146587	0.0154845	0.0124738	0.021251	0.0249015	0.0317155	0.0265138	0.0431544	0.0611002	0.0907329	0.156701	0.481068
a3	0.0713732	0.0455898	0.0432686	0.0259536	0.0336128	0.0468377	0.0795746	0.0711279	0.0848165	0.0870669	0.108559	0.101266	0.200954
a97	0.105681	0.0678563	0.0584818	0.0415963	0.0395245	0.0607691	0.103136	0.0947045	0.0895716	0.0664471	0.0724463	0.0946498	0.105136
a99	0.0787318	0.0512601	0.0497823	0.0398995	0.0500267	0.0685364	0.121549	0.113309	0.108436	0.0691603	0.0696606	0.101451	0.0781971
a97	0.0632303	0.0370268	0.0372838	0.0230111	0.0304161	0.0362765	0.0607776	0.0566054	0.0871625	0.0905051	0.114634	0.187807	0.175264
a87	0.052921	0.0370416	0.0444217	0.0256628	0.0338127	0.0376136	0.066546	0.0554148	0.0928371	0.0861466	0.112888	0.17053	0.184164
</S>	0.0493356	0.0413633	0.0511494	0.0330703	0.0382488	0.0459487	0.0751572	0.0568278	0.0841653	0.0677451	0.089115	0.175689	0.192184
