 	il	ouvre	la	barrière	</S>
a85	0.587069	0.246953	0.0857533	0.0462673	0.0339568
a87	0.365899	0.245233	0.158572	0.110931	0.119366
a23	0.534363	0.258981	0.101992	0.0486719	0.0559921
a79	0.34264	0.240141	0.153909	0.113556	0.149755
a20	0.37879	0.262244	0.145086	0.119217	0.0946632
a84	0.326737	0.369434	0.182766	0.0714792	0.0495841
a53	0.214108	0.271661	0.2141	0.161185	0.138946
a94	0.188204	0.26613	0.224597	0.169154	0.151916
a90	0.171692	0.175284	0.197948	0.226666	0.228411
a94	0.245037	0.199746	0.185753	0.176066	0.193397
a58	0.143304	0.143563	0.175351	0.244723	0.293059
a82	0.0572848	0.0657556	0.126069	0.310921	0.43997
a53	0.0141415	0.0164014	0.0443717	0.284091	0.640994
a69	0.00962332	0.0139371	0.0438709	0.262265	0.670304
a4	0.00506137	0.00770307	0.027206	0.222154	0.737876
a58	0.00343311	0.00448857	0.0143061	0.157731	0.820041
a82	0.0039368	0.00642819	0.0202785	0.165085	0.804271
a3	0.0152814	0.0155396	0.0224801	0.145347	0.801352
a87	0.0209245	0.0195925	0.033876	0.199877	0.72573
</S>	0.0217675	0.028982	0.0509967	0.258422	0.639832
