 	j'	aime	manger	le	rein	du	porc	</S>
a66	0.357349	0.129939	0.190008	0.198027	0.0741453	0.0307083	0.0130886	0.00673401
a87	0.371109	0.0985633	0.0534255	0.0678893	0.0938853	0.0910283	0.0950205	0.129079
a23	0.323917	0.168831	0.11903	0.111916	0.0867336	0.0590311	0.0628073	0.0677343
a87	0.365582	0.202338	0.13194	0.105098	0.0688308	0.047896	0.0454511	0.0328648
a97	0.312534	0.19634	0.13037	0.110011	0.0748241	0.05956	0.0656646	0.0506965
a87	0.39626	0.151339	0.103079	0.0797347	0.0725383	0.0672555	0.0747905	0.0550029
a97	0.31089	0.142563	0.107963	0.0936013	0.093206	0.0818026	0.0930184	0.0769555
a83	0.271928	0.138972	0.115107	0.0956834	0.100207	0.089586	0.103843	0.0846726
a75	0.329641	0.20015	0.160147	0.111418	0.0722211	0.0431146	0.0448928	0.0384147
a85	0.329996	0.215895	0.181348	0.118995	0.0671438	0.0297825	0.0282294	0.0286113
a5	0.247754	0.204685	0.21243	0.168133	0.0777243	0.0305177	0.0261657	0.0325906
a61	0.22631	0.204338	0.218011	0.186088	0.108367	0.0302636	0.0150806	0.011542
a21	0.22884	0.201691	0.215928	0.201659	0.0985843	0.025661	0.0147387	0.0128972
a92	0.215096	0.196797	0.222332	0.209122	0.101013	0.0305669	0.013797	0.0112758
a6	0.109709	0.176984	0.247584	0.222096	0.125387	0.0597661	0.0300774	0.0283982
a36	0.0849627	0.153823	0.191411	0.263912	0.155699	0.0681635	0.038069	0.0439603
a90	0.0800128	0.121424	0.12792	0.232774	0.209131	0.0871706	0.0632216	0.0783451
a44	0.0544688	0.112672	0.129417	0.214614	0.204614	0.102982	0.075304	0.105928
a43	0.0353317	0.0824254	0.0992086	0.199229	0.208113	0.132167	0.0997779	0.143747
a75	0.0328842	0.078699	0.0993579	0.182406	0.19137	0.149245	0.116001	0.150037
a56	0.0203569	0.0388469	0.0530681	0.128417	0.153643	0.155845	0.179705	0.270119
a11	0.0203047	0.0397821	0.047253	0.127662	0.177599	0.18032	0.167392	0.239688
a21	0.0130804	0.0246425	0.028555	0.0987322	0.176885	0.191949	0.194317	0.271839
a47	0.0225638	0.0336921	0.0406702	0.106934	0.176363	0.194201	0.180766	0.244811
a96	0.0116799	0.0201026	0.0224457	0.0753728	0.151382	0.189838	0.210145	0.319034
a62	0.00594479	0.0104829	0.0111668	0.0436705	0.101453	0.171164	0.276085	0.380034
a56	0.00525382	0.00879843	0.00833389	0.0262837	0.069135	0.144181	0.284292	0.453722
a25	0.00229765	0.00424862	0.00474426	0.0185133	0.0612607	0.121922	0.259896	0.527117
a56	0.000947941	0.00204053	0.00221466	0.00909383	0.0375954	0.0922984	0.240341	0.615468
a70	0.000451165	0.000768103	0.000690433	0.00281552	0.0159688	0.052666	0.216682	0.709958
a94	0.000309295	0.000582106	0.000571358	0.0027593	0.0120596	0.0415753	0.187019	0.755124
a70	0.000147175	0.000236134	0.000240769	0.00107089	0.00674245	0.0353734	0.201143	0.755046
a13	0.000238705	0.000419979	0.000499067	0.00167921	0.00946707	0.0481026	0.22452	0.715074
a38	0.000450139	0.000556673	0.000623496	0.002484	0.0157345	0.078785	0.294455	0.606911
a82	0.000990438	0.00110661	0.000999895	0.00296826	0.0176231	0.0862646	0.302667	0.58738
a97	0.0135693	0.0108639	0.00812166	0.0136927	0.0447272	0.123521	0.307563	0.477941
a3	0.0414936	0.0207608	0.0132659	0.0140611	0.0369626	0.111736	0.319691	0.442029
a97	0.117537	0.0445637	0.0235098	0.022678	0.0465116	0.120847	0.265567	0.358786
a23	0.0695111	0.0318246	0.0225055	0.0389478	0.0715155	0.140143	0.266337	0.359216
a97	0.025338	0.0165816	0.00909583	0.0121777	0.0364803	0.0959292	0.239963	0.564435
</S>	0.0272141	0.0202089	0.0168244	0.0218849	0.0416403	0.0875811	0.218205	0.566441
