 	il	voudrait	partir	à	brazaville	mais	il	n'	a	pas	d'	argent	</S>
a66	0.395758	0.221193	0.0339632	0.0185614	0.0278604	0.0393961	0.0454035	0.0545382	0.0476184	0.0441983	0.0291922	0.0222262	0.0200905
a87	0.56855	0.136795	0.0474713	0.0275476	0.021471	0.0194223	0.0193523	0.0297782	0.0285193	0.0282292	0.023143	0.0235865	0.0261348
a23	0.522219	0.125171	0.0649013	0.0446381	0.030207	0.0223772	0.0216097	0.0223734	0.0213165	0.0230966	0.025596	0.0319284	0.0445655
a87	0.40667	0.177291	0.0916177	0.0597906	0.0338985	0.026321	0.0249787	0.0246235	0.023056	0.0262869	0.0263119	0.0339154	0.0452386
a23	0.405862	0.198513	0.0743051	0.0491003	0.0292958	0.0264123	0.02642	0.0285465	0.0276895	0.030525	0.029519	0.0334483	0.0403627
a30	0.382826	0.136951	0.0648944	0.031478	0.0241372	0.0221241	0.0214394	0.025495	0.0307651	0.0433185	0.0520502	0.0733926	0.0911285
a53	0.274415	0.177155	0.0937809	0.0581145	0.0249867	0.0178479	0.0192587	0.0227394	0.0298596	0.0457772	0.0593348	0.0829298	0.093801
a20	0.158137	0.314274	0.244324	0.107476	0.0297689	0.0142584	0.0118108	0.0112162	0.0129292	0.0193201	0.0224202	0.0257067	0.0283601
a40	0.0533186	0.174241	0.252733	0.194898	0.0761395	0.0344151	0.0297194	0.025187	0.0239041	0.0288183	0.0324407	0.0349021	0.0392834
a47	0.0287393	0.0888691	0.161216	0.193805	0.127507	0.0680748	0.0544328	0.0419385	0.0369975	0.0402864	0.0450481	0.0522434	0.0608423
a5	0.0192483	0.0574055	0.18132	0.254014	0.164387	0.08632	0.0615392	0.0374706	0.025526	0.0229033	0.0238448	0.0293461	0.0366759
a12	0.0267086	0.0436977	0.157278	0.259013	0.189159	0.112087	0.0763843	0.039133	0.0215575	0.0166752	0.0160265	0.0190122	0.0232682
a18	0.013244	0.0139786	0.0510744	0.166233	0.247008	0.175088	0.127209	0.0641783	0.0347515	0.0246285	0.0234966	0.0266689	0.0324421
a34	0.00697427	0.008371	0.0246845	0.0633021	0.205034	0.237792	0.18441	0.0919617	0.0453233	0.030246	0.0273855	0.0325585	0.041957
a98	0.00679776	0.00651385	0.0188923	0.05243	0.178807	0.225558	0.190497	0.113254	0.0624552	0.0394148	0.0311737	0.033804	0.0404018
a85	0.00386084	0.00277853	0.0109922	0.0330331	0.129688	0.197303	0.191547	0.123263	0.0769593	0.0520372	0.0464901	0.0569073	0.0751405
a5	0.00333053	0.00240741	0.00874611	0.0216536	0.0807802	0.158782	0.199064	0.139375	0.0978775	0.0707234	0.0610545	0.0695261	0.0866793
a37	0.00537488	0.00386637	0.006101	0.014114	0.0620067	0.139443	0.175894	0.149126	0.121482	0.0887835	0.0724758	0.0754217	0.0859115
a21	0.00329236	0.00210757	0.00398911	0.00880535	0.0377913	0.125273	0.195885	0.161762	0.125665	0.088677	0.0705294	0.078502	0.0977221
