 	regarde	une	maison	en	paille	</S>
a66	0.620944	0.222468	0.0863925	0.0481821	0.0120476	0.00996578
a87	0.640832	0.225226	0.0812922	0.0332103	0.00901322	0.0104259
a23	0.499237	0.259598	0.118192	0.0613079	0.0240609	0.0376037
a40	0.373143	0.278729	0.156937	0.079726	0.0436992	0.0677658
a36	0.562623	0.24992	0.080374	0.0419113	0.0283615	0.0368105
a5	0.310562	0.307378	0.175604	0.126125	0.0559715	0.0243594
a18	0.243726	0.262275	0.20442	0.163137	0.0923905	0.0340513
a47	0.121134	0.184048	0.225909	0.205138	0.159446	0.104324
a62	0.111054	0.139804	0.170046	0.174498	0.204691	0.199906
a21	0.121611	0.147104	0.161709	0.167518	0.193454	0.208604
a5	0.0764803	0.0880002	0.143193	0.203269	0.246712	0.242345
a36	0.0390453	0.0483464	0.0895937	0.160006	0.266924	0.396085
a0	0.0114105	0.0135251	0.0253949	0.0713129	0.266733	0.611623
a11	0.00577904	0.00803778	0.018117	0.0565393	0.242317	0.66921
a70	0.00393123	0.00527484	0.0108224	0.0360789	0.196046	0.747846
a13	0.00302046	0.00541168	0.0125873	0.0417992	0.191634	0.745547
a99	0.00623619	0.0100326	0.0173178	0.0490166	0.175498	0.741899
a87	0.0142205	0.0170546	0.022993	0.0483534	0.167173	0.730205
a23	0.38331	0.195078	0.114133	0.0880127	0.0857387	0.133728
a87	0.168627	0.10842	0.087151	0.112222	0.178727	0.344853
</S>	0.0390938	0.035903	0.0549735	0.106147	0.239868	0.524015
