 	il	l'	a	rangé	au-dessous	</S>
a23	0.294732	0.127909	0.0588649	0.0498048	0.204666	0.264023
a53	0.463832	0.224166	0.122423	0.0440243	0.0584369	0.0871179
a15	0.167899	0.141003	0.131785	0.139043	0.212392	0.207877
a41	0.36227	0.21502	0.133015	0.0925252	0.11131	0.0858609
a47	0.367216	0.224923	0.120882	0.064126	0.108414	0.11444
a31	0.34887	0.21494	0.125301	0.0762273	0.112834	0.121828
a24	0.262528	0.198658	0.151473	0.097499	0.132847	0.156995
a12	0.21788	0.175024	0.144578	0.139077	0.144301	0.17914
a96	0.1469	0.138484	0.127353	0.182715	0.185629	0.218918
a94	0.0632909	0.0826861	0.0974397	0.185259	0.248665	0.32266
a90	0.0436507	0.0560901	0.0665211	0.132409	0.280858	0.420471
a56	0.0389233	0.0496408	0.0633474	0.126442	0.263184	0.458463
a13	0.0347255	0.0419679	0.0543185	0.0953608	0.226963	0.546664
a38	0.0112564	0.0153179	0.0289511	0.0678137	0.255564	0.621097
a0	0.0333651	0.0410802	0.0643303	0.0950185	0.244032	0.522174
a47	0.0426511	0.0501103	0.0758162	0.109057	0.22603	0.496335
a88	0.0515717	0.0669296	0.101597	0.124508	0.223392	0.432001
a71	0.0190593	0.0255067	0.0430655	0.0670056	0.213472	0.631891
a9	0.0217783	0.0323228	0.0651424	0.118062	0.268365	0.494329
a99	0.0745706	0.0692553	0.0870142	0.109739	0.221164	0.438257
a87	0.147841	0.12348	0.129881	0.121833	0.189429	0.287537
</S>	0.16724	0.129127	0.125515	0.10454	0.185874	0.287703
