 	les	safous	sont	mûrs	</S>
a23	0.432664	0.229673	0.115487	0.122236	0.0999401
a10	0.318639	0.242448	0.212725	0.151464	0.0747245
a75	0.301079	0.245725	0.164101	0.180776	0.108319
a47	0.465375	0.266036	0.112949	0.0707082	0.0849306
a41	0.425694	0.327841	0.115323	0.0618936	0.0692479
a47	0.383191	0.38378	0.129738	0.0631606	0.0401305
a61	0.230258	0.207378	0.193454	0.202387	0.166523
a24	0.143099	0.167692	0.211072	0.258044	0.220093
a0	0.049482	0.0580699	0.137926	0.362238	0.392285
a31	0.0180241	0.0250394	0.0858784	0.335737	0.535321
a62	0.0245065	0.0348954	0.0999049	0.329746	0.510947
a41	0.0186805	0.0343089	0.111924	0.255357	0.57973
a36	0.0196911	0.0403119	0.09859	0.249937	0.59147
a2	0.0434249	0.0455091	0.0800498	0.158949	0.672067
a30	0.166763	0.118536	0.112983	0.128884	0.472835
a10	0.199913	0.194963	0.221696	0.240731	0.142698
a87	0.130862	0.126716	0.182441	0.330349	0.229632
a23	0.0903525	0.120146	0.228947	0.359514	0.20104
a87	0.088993	0.0999704	0.175004	0.32327	0.312762
</S>	0.0499923	0.0879086	0.193283	0.36617	0.302646
