 	il	s'	intéresse	à	la	pêche	</S>
a85	0.333306	0.315364	0.161457	0.0928653	0.0557139	0.0266157	0.0146783
a87	0.247968	0.374648	0.240257	0.0666719	0.0358005	0.021102	0.0135526
a79	0.165352	0.148181	0.126956	0.125421	0.0987749	0.129128	0.206187
a90	0.242188	0.341513	0.252989	0.0643061	0.0293785	0.0252005	0.0444246
a98	0.337021	0.289257	0.227126	0.0809357	0.0341836	0.0171565	0.0143201
a85	0.276445	0.257725	0.25417	0.116855	0.0480227	0.0264762	0.0203055
a5	0.245433	0.274015	0.275251	0.106264	0.0502291	0.0283893	0.0204191
a18	0.24825	0.275944	0.300518	0.0852246	0.0370271	0.0251248	0.0279114
a62	0.212364	0.211363	0.259539	0.126167	0.0646818	0.0534832	0.0724018
a96	0.210241	0.197323	0.231997	0.164648	0.0808464	0.0548995	0.0600454
a31	0.133782	0.119608	0.17998	0.199002	0.131746	0.106044	0.129839
a47	0.112038	0.0915505	0.135501	0.221586	0.190801	0.137497	0.111027
a75	0.0769432	0.0606346	0.0892626	0.185077	0.198207	0.194172	0.195704
a25	0.102742	0.0616765	0.0560349	0.144832	0.193202	0.213146	0.228366
a90	0.0318957	0.0191368	0.0213905	0.0908772	0.184423	0.273284	0.378993
a4	0.0151821	0.00850252	0.00922697	0.0548934	0.150877	0.2797	0.481618
a58	0.00749241	0.00668015	0.0112742	0.0408078	0.104486	0.251456	0.577803
a82	0.00409251	0.00246969	0.00278762	0.0158866	0.0477856	0.206702	0.720276
a87	0.062344	0.0541306	0.0281114	0.0495711	0.0965819	0.226408	0.482854
a23	0.170829	0.188808	0.136448	0.15718	0.120804	0.10267	0.12326
a99	0.0637727	0.0658579	0.0393179	0.0627169	0.114783	0.249272	0.404281
a87	0.0117926	0.0122756	0.0147961	0.0362654	0.0876982	0.251034	0.586138
</S>	0.00401593	0.00402691	0.00512552	0.0218877	0.0650356	0.242548	0.65736
