 	il	est	en	train	de	se	moucher	</S>
a66	0.387919	0.257463	0.181199	0.0592867	0.0356109	0.0249784	0.0274092	0.0261331
a87	0.310561	0.201602	0.11537	0.073286	0.0610484	0.0686194	0.0899217	0.0795921
a23	0.348479	0.221141	0.152108	0.0829738	0.0576461	0.0382137	0.056594	0.0428449
a79	0.220898	0.13255	0.0773936	0.053555	0.0732699	0.103567	0.201529	0.137238
a69	0.171503	0.140648	0.160296	0.151293	0.136425	0.0876395	0.100677	0.0515192
a90	0.131478	0.15575	0.243241	0.193957	0.135796	0.0656719	0.0512698	0.0228364
a98	0.0819151	0.126969	0.205134	0.231114	0.179979	0.0865933	0.0601318	0.0281644
a47	0.0587248	0.0982744	0.180623	0.223235	0.16246	0.0974118	0.10705	0.0722211
a0	0.0395887	0.0683147	0.141339	0.17317	0.134538	0.145635	0.200718	0.0966968
a44	0.113489	0.13863	0.161469	0.143382	0.0861932	0.0902001	0.156398	0.110239
a98	0.119016	0.13638	0.153455	0.135394	0.088863	0.0939617	0.142316	0.130614
a47	0.0283545	0.0394481	0.0596374	0.0899148	0.125862	0.203243	0.262631	0.190909
a79	0.013348	0.0125332	0.0142667	0.0327472	0.0727334	0.183278	0.371101	0.299992
a44	0.0128863	0.0104399	0.0104116	0.0265553	0.0668339	0.172985	0.343804	0.356083
a98	0.0115973	0.00552721	0.00292794	0.00586856	0.0180898	0.10154	0.353199	0.501251
a47	0.00236442	0.00123593	0.000950208	0.00249241	0.0115398	0.0786575	0.330813	0.571947
a36	0.00123283	0.000643634	0.000518506	0.0019467	0.0108216	0.0905646	0.324435	0.569837
a2	0.0244984	0.016793	0.0112678	0.0179899	0.0455748	0.135063	0.335739	0.413074
a57	0.0696925	0.0447009	0.0236413	0.0218468	0.0520391	0.110318	0.332003	0.345758
a87	0.299822	0.184398	0.115629	0.0728172	0.0608719	0.0713075	0.109708	0.0854456
a23	0.237689	0.17843	0.141179	0.123899	0.0958848	0.0709705	0.0927424	0.0592057
a38	0.0468198	0.0243215	0.0141662	0.0150464	0.0318958	0.106907	0.353195	0.407649
a37	0.0139637	0.0102888	0.00940136	0.0129152	0.0372328	0.133232	0.39551	0.387456
</S>	0.00410886	0.0038197	0.00503632	0.0113936	0.0556474	0.187569	0.455907	0.276518
