 	la	faim	l'	a	beaucoup	affaibli	</S>
a23	0.461824	0.212211	0.118809	0.0733086	0.0569648	0.0397377	0.0371439
a10	0.608281	0.0896681	0.0697152	0.0954202	0.0607478	0.0390687	0.0370991
a87	0.275336	0.206438	0.138715	0.116926	0.0789057	0.0804376	0.103241
a83	0.325662	0.237663	0.129708	0.0733692	0.0523726	0.0702186	0.111007
a11	0.336611	0.32393	0.127604	0.069607	0.0502792	0.0414208	0.0505481
a62	0.398301	0.378812	0.147585	0.0551016	0.0114406	0.0046512	0.00410873
a41	0.321681	0.431697	0.175715	0.0482551	0.00957768	0.00607151	0.00700281
a35	0.304214	0.338948	0.235038	0.0772427	0.0191488	0.0127651	0.0126433
a94	0.306756	0.214807	0.262022	0.135525	0.0346253	0.0224695	0.0237949
a24	0.180331	0.120466	0.250306	0.239332	0.0905728	0.0582728	0.0607191
a25	0.180164	0.124095	0.214628	0.192245	0.123374	0.0825245	0.0829686
a87	0.11098	0.0832098	0.156547	0.242691	0.162604	0.115216	0.128753
a79	0.0268731	0.020872	0.0458841	0.130204	0.251837	0.261863	0.262467
a76	0.0280341	0.0295886	0.0832848	0.164106	0.212438	0.219663	0.262886
a94	0.0490894	0.0515168	0.0694495	0.126808	0.250743	0.245407	0.206986
a76	0.0330378	0.0214825	0.0327148	0.0821785	0.226049	0.306256	0.298281
a94	0.0222395	0.0170437	0.0289353	0.0708758	0.23193	0.33456	0.294415
a32	0.0146184	0.00802321	0.0140805	0.0388287	0.148863	0.360423	0.415163
a54	0.00361105	0.0020975	0.00471623	0.0205301	0.109497	0.376229	0.483319
a76	0.00400589	0.00194013	0.00489228	0.0167317	0.0833709	0.376664	0.512395
a56	0.00453982	0.00204111	0.00514245	0.021377	0.103612	0.397866	0.465422
a62	0.00391025	0.00169963	0.00349206	0.0144513	0.0665785	0.330812	0.579056
a24	0.00268229	0.0011397	0.0021351	0.00874762	0.0475404	0.294042	0.643713
a9	0.0047463	0.00216077	0.00297089	0.00962473	0.0425724	0.255988	0.681937
a87	0.00570951	0.0018224	0.00324468	0.012811	0.0576331	0.270441	0.648338
a23	0.0050556	0.00227389	0.00236201	0.00617261	0.0483072	0.292274	0.643554
a87	0.0239315	0.0170691	0.0110059	0.0189368	0.0727799	0.277988	0.578289
</S>	0.0169784	0.013295	0.0130076	0.0254709	0.108543	0.339102	0.483603
