 	je	distribue	la	nourriture	</S>
a66	0.473751	0.305535	0.127379	0.054526	0.0388093
a87	0.685484	0.234407	0.0528243	0.0158851	0.0114002
a23	0.769616	0.177567	0.0278152	0.0120637	0.0129381
a83	0.734417	0.141312	0.0383589	0.0355116	0.0504001
a54	0.5407	0.205992	0.0754763	0.0736538	0.104177
a6	0.382163	0.363074	0.12635	0.0643742	0.0640397
a5	0.303044	0.375722	0.202955	0.0760306	0.0422483
a18	0.327178	0.31772	0.201906	0.0971126	0.0560825
a75	0.33767	0.352693	0.177892	0.0782067	0.0535388
a98	0.213304	0.315507	0.242706	0.136278	0.0922046
a15	0.122306	0.275019	0.273778	0.188679	0.140219
a37	0.125373	0.239978	0.220383	0.206163	0.208103
a92	0.107358	0.232645	0.185069	0.212991	0.261938
a12	0.0424517	0.175816	0.226566	0.260441	0.294725
a62	0.0451164	0.141114	0.238581	0.278316	0.296872
a88	0.0548516	0.125434	0.206077	0.278608	0.335029
a61	0.0276581	0.0511154	0.0943419	0.254414	0.57247
a75	0.0175753	0.0417815	0.0906136	0.267371	0.582659
a85	0.00317607	0.011752	0.0587746	0.26114	0.665158
a6	0.00160294	0.00529005	0.0373019	0.229301	0.726504
a36	0.00303577	0.00710944	0.0379936	0.215998	0.735863
a2	0.0118357	0.017036	0.0544798	0.22659	0.690058
a57	0.168507	0.137737	0.141029	0.200396	0.352331
a87	0.502529	0.130899	0.0845297	0.103639	0.178404
a10	0.538159	0.211442	0.102861	0.0744753	0.0730628
a87	0.477252	0.243763	0.111281	0.0836298	0.0840748
a23	0.429403	0.249873	0.126411	0.0932745	0.101039
a99	0.161986	0.127227	0.134897	0.214673	0.361218
a97	0.146453	0.103207	0.123534	0.233985	0.39282
</S>	0.0453567	0.0449833	0.0987351	0.259503	0.551422
