 	après	ma	mort	que	mon	âme	se	repose	dans	la	présence	de	dieu	</S>
a66	0.112419	0.12034	0.13565	0.12183	0.144186	0.109652	0.0942151	0.0486767	0.0346414	0.0395065	0.0185055	0.00879073	0.00638181	0.00520583
a87	0.356979	0.219865	0.10445	0.0502733	0.0310213	0.016456	0.0151114	0.0108837	0.0247768	0.0395208	0.0430065	0.0331086	0.0298266	0.0247216
a23	0.300815	0.213329	0.145797	0.0865301	0.088502	0.0450777	0.0251173	0.0130588	0.0126767	0.0202613	0.0168008	0.00952671	0.0104116	0.0120965
a20	0.279615	0.189319	0.12009	0.0578708	0.0631703	0.0401166	0.0280262	0.0252711	0.0218131	0.030479	0.0389187	0.0290479	0.0352611	0.0410011
a7	0.208993	0.141226	0.104986	0.0764561	0.080683	0.0640622	0.0441464	0.0286158	0.0238473	0.0463719	0.0505229	0.044375	0.0435805	0.0421344
a44	0.33346	0.207784	0.133382	0.0773659	0.069968	0.0445182	0.024463	0.0150457	0.0079911	0.0145387	0.0165746	0.0145857	0.019162	0.0211605
a96	0.229497	0.159194	0.133462	0.106956	0.116288	0.0720856	0.0396419	0.0233629	0.014906	0.0216777	0.0236049	0.0194404	0.0204638	0.0194199
a44	0.148401	0.116098	0.112258	0.104226	0.13509	0.117339	0.0688068	0.0525501	0.0273335	0.0277148	0.0241857	0.0209275	0.0218409	0.0232278
a93	0.103617	0.090838	0.0975592	0.100279	0.138853	0.139375	0.0828997	0.0801286	0.0368335	0.0334574	0.0255809	0.0222055	0.022811	0.0255623
a56	0.124574	0.105678	0.107346	0.107275	0.136366	0.132363	0.0852464	0.0703578	0.0294889	0.0229064	0.0156541	0.0157552	0.0206934	0.0262947
a96	0.0860244	0.0829905	0.0929908	0.105049	0.145195	0.15018	0.104944	0.0933695	0.0421365	0.0286827	0.0163085	0.0144558	0.0168759	0.0207976
a18	0.0530341	0.0602169	0.078404	0.101359	0.144957	0.155294	0.106234	0.122145	0.0585428	0.0382037	0.0204806	0.0182593	0.0195818	0.0232877
a13	0.0320348	0.0381208	0.0514513	0.0856812	0.131039	0.172301	0.122943	0.152507	0.0608397	0.0418657	0.0236181	0.0228497	0.0274314	0.0373176
a4	0.0314241	0.0334957	0.0434788	0.0838933	0.131388	0.187912	0.136689	0.143898	0.0616308	0.0429183	0.0252226	0.0221176	0.0247855	0.0311462
a70	0.0239098	0.0224729	0.0303468	0.0600205	0.0945041	0.145191	0.113505	0.157097	0.0805409	0.0542754	0.0346259	0.0409523	0.0567869	0.0857721
a62	0.0185107	0.0182371	0.0240372	0.0492364	0.0816435	0.154141	0.127088	0.19303	0.0953875	0.0629235	0.0364182	0.0366805	0.0436461	0.0590206
a96	0.0149216	0.0150172	0.0194653	0.0388834	0.0662105	0.138953	0.127142	0.225905	0.109821	0.0723639	0.0416877	0.0379167	0.0405839	0.0511293
a54	0.010067	0.0110554	0.0146858	0.0294984	0.0486204	0.112479	0.116277	0.240028	0.124852	0.0879286	0.0526749	0.0450719	0.0471498	0.0596106
a47	0.00536915	0.00643295	0.00955733	0.0190509	0.0313643	0.0700931	0.0726335	0.170451	0.109809	0.0918276	0.0766149	0.0883271	0.105523	0.142946
a36	0.00446041	0.00525347	0.00791997	0.0215041	0.0365119	0.090011	0.0876228	0.193307	0.145779	0.0907741	0.0629745	0.0640922	0.0772259	0.112563
a6	0.0105646	0.0110868	0.0140304	0.0275698	0.0402121	0.0699596	0.0809162	0.215613	0.163493	0.0826368	0.0540365	0.0580425	0.0716748	0.100164
a36	0.00226416	0.00232771	0.00286471	0.00611002	0.00986806	0.024753	0.0302665	0.097606	0.0880186	0.0711436	0.0769494	0.130438	0.189309	0.268082
a26	0.00413431	0.00391708	0.00462272	0.0104784	0.0170971	0.0374313	0.0486522	0.151487	0.129708	0.0761657	0.0761717	0.110003	0.14043	0.189701
a75	0.011583	0.0113395	0.0126869	0.0223164	0.030226	0.0455665	0.0531993	0.19712	0.171162	0.0815827	0.0725083	0.0844096	0.0915391	0.114762
