 	le	sculpteur	est	en	train	de	tailler	la	pirogue	</S>
a66	0.211615	0.147816	0.117059	0.11932	0.118012	0.110882	0.0884343	0.0466234	0.0233473	0.016892
a82	0.149943	0.136716	0.132942	0.145027	0.125644	0.11422	0.0823055	0.0430174	0.0322535	0.0379302
a10	0.382524	0.306199	0.116344	0.0693735	0.0405872	0.0272501	0.0142951	0.00912035	0.0127524	0.0215538
a3	0.337309	0.293567	0.134933	0.0841918	0.0519444	0.0361028	0.0187198	0.0111217	0.0123053	0.0198055
a10	0.343225	0.27073	0.120515	0.0752233	0.0504151	0.0390281	0.0230453	0.0176186	0.022489	0.0377111
a9	0.371184	0.264503	0.113331	0.0640262	0.0461106	0.0385738	0.0242742	0.0199686	0.0246017	0.0334268
a10	0.358151	0.246372	0.117058	0.0694395	0.0517246	0.0446694	0.0283636	0.0228075	0.0279901	0.0334241
a99	0.357092	0.240876	0.118502	0.0702227	0.0516732	0.0443049	0.0282061	0.0231525	0.0297364	0.0362347
a87	0.377557	0.23823	0.122703	0.0667763	0.0497549	0.0397475	0.0247651	0.020671	0.0274409	0.0323535
a97	0.354626	0.246936	0.126114	0.0745029	0.0548167	0.0438999	0.0244815	0.0179466	0.0244382	0.0322385
a79	0.342609	0.237029	0.12503	0.0774657	0.0592828	0.048644	0.0276806	0.0203964	0.0271337	0.0347292
a20	0.427504	0.285229	0.130059	0.0551647	0.0270569	0.0149372	0.00872997	0.00906644	0.017087	0.0251658
a69	0.349978	0.269459	0.133425	0.0590333	0.0373929	0.0262686	0.0239113	0.0270342	0.0349329	0.0385647
a58	0.19344	0.213809	0.199379	0.14586	0.0914096	0.0451839	0.0279353	0.0248668	0.0277623	0.0303531
a54	0.108919	0.136925	0.170571	0.182672	0.148477	0.0908601	0.0529904	0.0360735	0.033069	0.0394436
a73	0.0863207	0.113987	0.159007	0.171305	0.150367	0.0859548	0.0599042	0.0490067	0.0550638	0.0690845
a7	0.0652569	0.0862957	0.131248	0.167253	0.165983	0.107156	0.0702841	0.0567701	0.0655302	0.0842238
a15	0.0537268	0.0719599	0.110513	0.150355	0.158678	0.116232	0.0830582	0.0655907	0.0778642	0.112023
a73	0.057873	0.0743366	0.108382	0.14061	0.155376	0.12161	0.0910936	0.068787	0.076909	0.105023
a69	0.0468033	0.0499631	0.0724218	0.103875	0.139198	0.130345	0.112988	0.0940069	0.104409	0.14599
a15	0.0473546	0.044207	0.0677789	0.107591	0.155683	0.158591	0.130292	0.089062	0.0855034	0.113937
a98	0.0287814	0.0295963	0.0475478	0.0855635	0.147759	0.174874	0.156756	0.117515	0.0978713	0.113736
a85	0.0185703	0.0215669	0.0385602	0.0738899	0.143924	0.186678	0.191352	0.140287	0.0936916	0.0914797
a47	0.0139341	0.0160658	0.0279703	0.0539456	0.107386	0.161861	0.198487	0.177731	0.126618	0.116001
a54	0.00816959	0.00821702	0.0127848	0.0242833	0.0608275	0.111162	0.175777	0.200484	0.186228	0.212068
a75	0.0096404	0.00922118	0.0133178	0.0245828	0.0607565	0.109815	0.170305	0.221728	0.199984	0.180649
a5	0.00491007	0.00469182	0.00666839	0.0128173	0.0357377	0.0832914	0.151566	0.228304	0.251982	0.220031
a18	0.00740751	0.00599627	0.00630359	0.00949974	0.0223681	0.0557812	0.127296	0.214519	0.284068	0.26676
a75	0.0066617	0.00467642	0.00397396	0.00451982	0.00770305	0.0146687	0.0396128	0.0944571	0.276545	0.547181
a85	0.00302833	0.00241261	0.00237419	0.00288927	0.00614201	0.0144944	0.0451144	0.119699	0.328831	0.475015
a37	0.00127344	0.000910374	0.000856358	0.00106166	0.00247689	0.00672361	0.0273504	0.0972872	0.344414	0.517646
a85	0.00209285	0.00141882	0.00121363	0.00131995	0.0024502	0.00509341	0.0156497	0.0573012	0.259129	0.654331
a37	0.000899357	0.000613826	0.000534813	0.000617651	0.00129047	0.00334481	0.0137686	0.0557323	0.273204	0.649994
a36	0.00307657	0.00201163	0.00167379	0.00160428	0.00286046	0.00570511	0.0168919	0.0598173	0.251999	0.65436
a26	0.00786312	0.00574157	0.0047916	0.00434295	0.00575414	0.00964223	0.0214478	0.0694991	0.245556	0.625362
a82	0.0457623	0.0255744	0.0210316	0.0234679	0.0308154	0.0495069	0.0922911	0.136364	0.206863	0.368323
a3	0.168268	0.0809384	0.0450502	0.0442573	0.0492357	0.0658395	0.0890835	0.103037	0.135935	0.218356
a97	0.164725	0.107209	0.06677	0.0647043	0.0670718	0.0827079	0.0950244	0.0829106	0.110641	0.158237
a99	0.130118	0.0883158	0.0544328	0.0513916	0.054764	0.0767203	0.0984323	0.101406	0.151134	0.193285
a3	0.0827321	0.0542029	0.0366159	0.0351947	0.0401379	0.0524067	0.0712204	0.097316	0.195081	0.335093
a97	0.0445104	0.0279565	0.0210991	0.0225273	0.0305325	0.0466786	0.0677902	0.1026	0.217356	0.418949
a3	0.0480901	0.0323913	0.026228	0.0289849	0.0399456	0.056625	0.0723691	0.101543	0.202707	0.391116
</S>	0.0539355	0.0402166	0.0368387	0.0422514	0.0573045	0.0681556	0.0771166	0.0981395	0.179746	0.346295
