 	celles-ci	sont	mes	chenilles	celles-là	sont	à	toi	</S>
a66	0.172363	0.14364	0.138672	0.133275	0.135086	0.0976583	0.0808391	0.0568525	0.0416142
a82	0.247441	0.154722	0.11574	0.100997	0.160718	0.0948728	0.0632055	0.0381204	0.0241828
a87	0.248078	0.211363	0.171175	0.127098	0.158353	0.0437603	0.0206248	0.011293	0.00825434
a97	0.253263	0.220299	0.163794	0.1204	0.154721	0.0456419	0.0229483	0.0112566	0.00767582
a87	0.280355	0.208576	0.152077	0.120169	0.151791	0.0459635	0.0229305	0.0108429	0.0072959
a97	0.319029	0.197492	0.12986	0.104502	0.149753	0.0503013	0.0266619	0.0131066	0.00929395
a87	0.413631	0.183226	0.0967619	0.0783603	0.110853	0.0501489	0.0330316	0.0193053	0.0146823
a97	0.418625	0.181536	0.0942771	0.0737036	0.108425	0.052585	0.034694	0.0206201	0.015534
a99	0.405398	0.187957	0.0855786	0.0682939	0.108905	0.0521279	0.0420945	0.0279511	0.0216945
a50	0.287011	0.153234	0.0888227	0.0809006	0.126461	0.0759368	0.0748057	0.0607007	0.0521274
a62	0.240734	0.199793	0.144854	0.0943428	0.0820933	0.0533763	0.0629113	0.0603041	0.0615912
a12	0.164663	0.17483	0.166638	0.116036	0.0828891	0.0612393	0.0667505	0.076005	0.0909501
a70	0.159154	0.174053	0.180262	0.132781	0.101365	0.0600096	0.0594396	0.0621341	0.0708018
a4	0.129433	0.152183	0.179612	0.13737	0.111534	0.0713296	0.0620349	0.0690305	0.0874721
a93	0.116878	0.154318	0.195497	0.137024	0.106444	0.0692829	0.0610488	0.0695137	0.0899944
a70	0.101509	0.133515	0.180763	0.137936	0.119773	0.0800647	0.0686565	0.0784227	0.0993595
a34	0.0701889	0.111808	0.185688	0.162954	0.166025	0.0852174	0.0625373	0.0690945	0.0864858
a54	0.0629635	0.100193	0.169608	0.17484	0.191835	0.094941	0.0644705	0.0658296	0.0753192
a79	0.0882652	0.125523	0.158089	0.158861	0.166882	0.094546	0.0684968	0.0681516	0.0711853
a37	0.0822826	0.114847	0.140392	0.15433	0.197707	0.0990504	0.0726931	0.0694252	0.0692724
a70	0.0286681	0.0522004	0.102452	0.159389	0.211851	0.120432	0.0941618	0.108254	0.122592
a37	0.014254	0.030691	0.0817044	0.155715	0.232895	0.130413	0.0988507	0.115228	0.140249
a26	0.0115823	0.0230514	0.060123	0.134802	0.210184	0.130259	0.117749	0.142431	0.169819
a38	0.00571653	0.0100829	0.0248554	0.0646775	0.147814	0.122353	0.151933	0.214326	0.258243
a57	0.00550211	0.00850649	0.0174625	0.0444971	0.125395	0.12277	0.165562	0.230823	0.279481
a3	0.00878409	0.0122812	0.020191	0.0486266	0.172772	0.148413	0.155841	0.199233	0.233858
a99	0.137188	0.105167	0.074263	0.091987	0.190549	0.11928	0.103158	0.0962482	0.0821608
a18	0.192233	0.133653	0.0873621	0.109409	0.172974	0.11053	0.0804432	0.0625014	0.050894
a50	0.127876	0.103041	0.0829028	0.112348	0.158374	0.125321	0.103209	0.0945366	0.0923923
a62	0.0719038	0.0626092	0.0577824	0.0982267	0.165133	0.144847	0.127411	0.131653	0.140433
a12	0.0222817	0.0253251	0.0311301	0.0628054	0.149505	0.141004	0.148066	0.187832	0.23205
a62	0.00362286	0.00575118	0.0105006	0.031697	0.126459	0.123837	0.166633	0.2361	0.2954
a5	0.0016804	0.00310134	0.00733236	0.0265299	0.103574	0.108404	0.16731	0.260616	0.321452
a56	0.00181991	0.00302362	0.00648168	0.0232428	0.081027	0.0880152	0.167253	0.286885	0.342251
a96	0.00136633	0.0024379	0.00543501	0.0202869	0.0729237	0.0739349	0.148637	0.294544	0.380435
a34	0.00106547	0.00185776	0.00385149	0.0124923	0.0516557	0.0692617	0.146751	0.29755	0.415514
a96	0.00139685	0.00227841	0.00450201	0.0143456	0.0538063	0.0666448	0.144101	0.300662	0.412263
a66	0.00115786	0.00194698	0.00362981	0.00956211	0.0422154	0.0619137	0.135996	0.298974	0.444604
a9	0.00408119	0.00603718	0.0096379	0.0191123	0.0688759	0.08951	0.129478	0.257159	0.416108
a3	0.0191208	0.0215657	0.0265631	0.0420587	0.109369	0.106097	0.119819	0.213382	0.342024
a9	0.0995065	0.0763712	0.0628212	0.0714068	0.13214	0.112406	0.111395	0.148147	0.185806
a82	0.116176	0.0912749	0.0753843	0.0874418	0.147297	0.122281	0.109938	0.119684	0.130524
a3	0.116883	0.0902341	0.0783669	0.0988387	0.160064	0.13206	0.113279	0.106193	0.104082
a87	0.104458	0.088991	0.0921775	0.123401	0.178144	0.134192	0.107789	0.0907367	0.080111
a3	0.0968559	0.0918605	0.0982671	0.125719	0.189641	0.132525	0.100692	0.0868893	0.0775501
a97	0.121098	0.13036	0.145859	0.145402	0.174855	0.11283	0.0728901	0.0531034	0.0436021
a3	0.140068	0.141135	0.144138	0.138851	0.17534	0.107213	0.0642072	0.0470244	0.0420212
a97	0.115762	0.125532	0.139881	0.137565	0.182823	0.121457	0.0744184	0.0544834	0.0480781
</S>	0.0925158	0.106775	0.121959	0.124613	0.183607	0.139697	0.0909326	0.0715928	0.0683075
