 	j'	ai	préparé	les	feuilles	de	taro	</S>
a66	0.431402	0.172471	0.0763334	0.0656405	0.0682373	0.0615934	0.0658238	0.0584985
a87	0.185204	0.137739	0.169136	0.171679	0.123585	0.08037	0.0706492	0.0616385
a23	0.461238	0.291215	0.0922847	0.0301998	0.0209391	0.0222328	0.0409281	0.0409627
a83	0.503168	0.29248	0.0660603	0.0203776	0.0154923	0.0208525	0.0373502	0.0442199
a99	0.530787	0.279434	0.0589574	0.0274484	0.0165531	0.0178264	0.0290922	0.0399017
a75	0.418982	0.319997	0.109305	0.0456981	0.0275907	0.0234427	0.023335	0.0316497
a21	0.294441	0.309014	0.160772	0.0841043	0.0437669	0.0328175	0.0313578	0.043726
a12	0.197927	0.270203	0.202141	0.133491	0.0684807	0.0431073	0.0378063	0.0468442
a47	0.171583	0.22319	0.205772	0.150028	0.0819369	0.0562344	0.0516657	0.0595904
a21	0.124694	0.155902	0.158457	0.149843	0.112917	0.0905152	0.0962857	0.111386
a85	0.0641034	0.0761483	0.112621	0.159779	0.163246	0.134421	0.136487	0.153194
a5	0.014886	0.0147404	0.0290446	0.0930307	0.179155	0.221103	0.214526	0.233515
a61	0.0224748	0.020795	0.0372377	0.0917012	0.167093	0.190209	0.216135	0.254354
a47	0.00513135	0.00365938	0.00695391	0.0272174	0.115614	0.234084	0.292908	0.314433
a31	0.00471199	0.00342364	0.00508124	0.0161613	0.0770296	0.204696	0.322448	0.366448
a47	0.00101225	0.000848462	0.00176049	0.00611447	0.039437	0.165868	0.353714	0.431245
a62	0.000653826	0.000519336	0.00120133	0.00442248	0.0261983	0.129314	0.356877	0.480814
a88	0.00100718	0.00124859	0.00331489	0.0075165	0.0245265	0.101969	0.344528	0.51589
a71	0.00184487	0.00212498	0.00546191	0.0110449	0.0278634	0.0945625	0.346081	0.511017
a9	0.00810204	0.0054331	0.00858025	0.0199497	0.0657376	0.173053	0.321555	0.39759
a87	0.07856	0.0324895	0.0244972	0.0386837	0.0919151	0.168104	0.25229	0.313461
a23	0.294793	0.148882	0.0877666	0.0642884	0.0774258	0.0878754	0.122438	0.116531
a99	0.0384679	0.022367	0.0225819	0.0229062	0.0464009	0.119743	0.326895	0.400638
a82	0.0302867	0.0166086	0.0135521	0.0187548	0.0614282	0.158997	0.325184	0.375188
</S>	0.00649663	0.0046127	0.00674374	0.0156968	0.0494292	0.146233	0.340328	0.430461
