 	je	suis	content	de	te	revoir	</S>
a66	0.433344	0.278874	0.136602	0.0703263	0.033036	0.0284364	0.019381
a87	0.26383	0.202202	0.250216	0.180497	0.0656606	0.0267307	0.0108635
a23	0.455299	0.259069	0.13706	0.0539225	0.0481667	0.0260915	0.0203916
a87	0.434175	0.267618	0.181415	0.0478213	0.0230557	0.0230594	0.0228554
a23	0.457824	0.278377	0.171129	0.0438785	0.0192106	0.015853	0.0137284
a13	0.44042	0.236133	0.167142	0.0517951	0.0333649	0.0335055	0.0376391
a83	0.427493	0.236074	0.154214	0.0500662	0.0421222	0.0425139	0.0475175
a62	0.411184	0.29264	0.193977	0.050777	0.0264391	0.0146504	0.0103322
a12	0.276626	0.28181	0.31245	0.081448	0.0271055	0.0119875	0.00857317
a61	0.229458	0.267176	0.330058	0.105901	0.0357143	0.0180359	0.0136572
a21	0.185878	0.214294	0.319513	0.154018	0.0609826	0.0397433	0.025572
a12	0.166819	0.189812	0.29424	0.164888	0.0715273	0.0670995	0.0456143
a43	0.113795	0.128909	0.235707	0.183028	0.0968457	0.142917	0.0987983
a47	0.08307	0.080237	0.146254	0.168098	0.12428	0.206886	0.191175
a96	0.104343	0.0712357	0.0882487	0.110662	0.104726	0.256955	0.263829
a75	0.0381528	0.0270212	0.0458788	0.0784641	0.122801	0.365616	0.322066
a92	0.00829343	0.00622461	0.013317	0.0324793	0.0925047	0.446727	0.400454
a37	0.00358188	0.00248644	0.00570225	0.015973	0.0710695	0.472911	0.428276
a85	0.00545611	0.00304928	0.0037579	0.00605481	0.0251852	0.322225	0.634271
a92	0.00213855	0.00148944	0.00351766	0.00671804	0.0276252	0.299648	0.658863
a85	0.00197569	0.00127546	0.00270311	0.00522347	0.0244697	0.287138	0.677215
a6	0.000730848	0.000493937	0.00135445	0.00333251	0.0189819	0.277731	0.697375
a36	0.000834897	0.000548462	0.00148376	0.00333555	0.0193959	0.22226	0.752142
a26	0.0168421	0.0122203	0.0119316	0.0170523	0.0472699	0.219491	0.675193
a30	0.165407	0.110754	0.0697963	0.0625154	0.071891	0.173145	0.346491
a10	0.442045	0.180306	0.117955	0.0555641	0.039187	0.0537241	0.111219
a87	0.387089	0.192896	0.14755	0.0681077	0.0594042	0.0659226	0.079031
a23	0.311559	0.177933	0.152805	0.0784165	0.0837862	0.095118	0.100382
a99	0.0943606	0.0594403	0.0616182	0.0631209	0.110215	0.25479	0.356455
a97	0.0933966	0.0619525	0.0772303	0.0859258	0.134684	0.21066	0.336151
</S>	0.0782884	0.0472292	0.0700651	0.0606525	0.0830646	0.148621	0.512079
