 	j'	ai	rencontré	brusquement	dans	la	rue	un	homme	qui	annonçait	l'	évangile	de	dieu	</S>
a23	0.16521	0.105814	0.0900798	0.0368341	0.0505865	0.0535936	0.0778357	0.069493	0.0777804	0.082565	0.0561438	0.0365963	0.0311237	0.0248179	0.0205502	0.0209761
a99	0.264396	0.0988654	0.0618594	0.0195283	0.0351314	0.0399617	0.0584683	0.0663254	0.0804815	0.050711	0.0443326	0.021552	0.013023	0.0398105	0.040285	0.0652688
a38	0.0996641	0.0725414	0.0708662	0.0519661	0.0473664	0.0397728	0.0415488	0.0685171	0.0948904	0.0601699	0.0672207	0.0308129	0.0256982	0.0557106	0.0654856	0.107769
a11	0.226519	0.25526	0.178347	0.0602045	0.035076	0.0247792	0.032892	0.026222	0.0260498	0.0284835	0.0250903	0.0178521	0.0159261	0.0157668	0.0145762	0.0169555
a66	0.261491	0.294473	0.239388	0.0564014	0.0231981	0.0150549	0.0206544	0.0160681	0.0184115	0.0197697	0.0141419	0.00708036	0.00460351	0.00394743	0.00264727	0.00266894
a9	0.208692	0.247268	0.218275	0.0673346	0.0354416	0.0297255	0.0361424	0.0262953	0.0331269	0.0294007	0.0236356	0.0151845	0.0109555	0.00765373	0.00578291	0.00508491
a38	0.0927043	0.107146	0.0968374	0.0886034	0.0741279	0.0750122	0.0720938	0.0602403	0.0654318	0.0507683	0.0479155	0.0389182	0.0360308	0.0304478	0.0316449	0.0320777
a75	0.0495898	0.0712941	0.0751396	0.0880928	0.094952	0.103565	0.0989132	0.077712	0.0699335	0.0498885	0.0412112	0.0392932	0.0483245	0.0312396	0.0316357	0.0292149
a5	0.0649892	0.0931773	0.101495	0.105868	0.100985	0.096991	0.0921066	0.079079	0.0677783	0.0554829	0.042029	0.0301192	0.0308654	0.0117254	0.0132541	0.0140548
a75	0.0394902	0.0567562	0.0787052	0.109437	0.125102	0.12288	0.121188	0.0933581	0.0752293	0.055244	0.0362897	0.0228043	0.0251234	0.0112378	0.0131995	0.0139554
a73	0.031686	0.0410849	0.0559084	0.0928466	0.115413	0.110209	0.104777	0.0873129	0.0748434	0.0697539	0.0610796	0.0395556	0.0478593	0.01903	0.0238105	0.0248299
a56	0.0187314	0.0243244	0.0262485	0.0524997	0.0957698	0.0994503	0.0926551	0.0861614	0.0985075	0.0935387	0.0985831	0.061141	0.0730825	0.026033	0.0274701	0.0258036
a75	0.0227434	0.0278742	0.0267837	0.0453826	0.0974189	0.11802	0.114209	0.0977852	0.0967419	0.082975	0.0783573	0.050323	0.0574219	0.0257285	0.0298072	0.028429
a11	0.0143679	0.0194249	0.0196566	0.0383866	0.0822568	0.111434	0.114823	0.0954268	0.0788454	0.0722471	0.0845104	0.0595718	0.0858496	0.0359984	0.0441802	0.0430198
a75	0.0169821	0.0180933	0.0145303	0.0295356	0.0680342	0.103731	0.120256	0.109469	0.121383	0.100338	0.0871989	0.0544532	0.0664099	0.0277303	0.0304479	0.0314055
a85	0.018156	0.0242781	0.0200581	0.0366986	0.0694941	0.0938643	0.10252	0.0888631	0.0750994	0.0678794	0.0811162	0.0614405	0.0977597	0.0475841	0.0578622	0.0573263
a41	0.0150413	0.0179139	0.0164411	0.0295736	0.052155	0.0642746	0.0703245	0.0666948	0.0723478	0.0722344	0.086478	0.0597837	0.103302	0.0856067	0.0966376	0.0911906
a0	0.0138782	0.013237	0.0100347	0.0178165	0.0413038	0.0635995	0.0702366	0.0717281	0.0867798	0.0872452	0.106671	0.0693281	0.121123	0.0698164	0.0786129	0.0785891
a11	0.0143482	0.0115739	0.00769302	0.0176766	0.0470729	0.0818253	0.0939407	0.100656	0.112682	0.0938521	0.108522	0.0689375	0.105554	0.0395619	0.0444851	0.0516182
a75	0.00980897	0.00799626	0.00553924	0.0115606	0.0348484	0.0730412	0.0942042	0.110882	0.114529	0.0865658	0.108678	0.073024	0.109796	0.0453699	0.0526487	0.0615083
a5	0.0141942	0.0141629	0.00887188	0.0188834	0.0425731	0.0628398	0.0701295	0.0629343	0.0539512	0.0461847	0.0594621	0.0563229	0.127236	0.0992026	0.129745	0.133306
a27	0.0223135	0.026491	0.0207735	0.0339272	0.0722133	0.0877839	0.0952871	0.0802895	0.0734063	0.0688749	0.069343	0.0595639	0.103959	0.055749	0.0701103	0.0599147
a11	0.00720903	0.00597199	0.00356822	0.00754221	0.0241925	0.0508077	0.0684579	0.0738433	0.0629665	0.0478502	0.0768715	0.071438	0.162119	0.0833045	0.113023	0.140835
a75	0.0067889	0.00573247	0.00379835	0.00815904	0.0255887	0.059956	0.0854667	0.084291	0.0539585	0.0367895	0.0594311	0.0599646	0.15078	0.0816658	0.128378	0.149251
a56	0.00815478	0.00978965	0.00595448	0.0131891	0.0333198	0.0551907	0.067466	0.059237	0.0420847	0.036013	0.0563303	0.0558639	0.136115	0.103876	0.160319	0.157097
a75	0.00802367	0.00881897	0.00593911	0.0138427	0.0394655	0.063806	0.0777806	0.0718113	0.0545933	0.0467278	0.067246	0.0704584	0.158661	0.086342	0.119235	0.107249
a85	0.00947777	0.0109619	0.00644191	0.014438	0.0364685	0.0582221	0.0711368	0.063409	0.0426515	0.0390476	0.0695787	0.0647203	0.12268	0.0959338	0.146206	0.148626
a61	0.0115973	0.012265	0.00870268	0.0146993	0.0289033	0.0424801	0.0484044	0.0468522	0.0411424	0.04321	0.0854985	0.073656	0.138198	0.113714	0.144826	0.145851
a11	0.00672672	0.00708272	0.00383002	0.0108211	0.0323892	0.0525896	0.0607911	0.0618755	0.0457004	0.0377831	0.0653506	0.0746478	0.171076	0.104134	0.135666	0.129536
a75	0.00380145	0.00348342	0.0017839	0.00483705	0.0166078	0.0382591	0.0501072	0.0508043	0.0326668	0.0248757	0.0444458	0.0530641	0.137772	0.121782	0.190238	0.225472
a37	0.00654469	0.00718517	0.00402346	0.00913084	0.024329	0.0426822	0.0531622	0.055163	0.0458135	0.0432115	0.0756473	0.0736145	0.137983	0.10502	0.156739	0.159751
a75	0.00289097	0.0025978	0.00130236	0.00426635	0.0149767	0.034315	0.046765	0.0507788	0.033034	0.0235937	0.0459359	0.0568821	0.148706	0.118796	0.198711	0.216449
a70	0.00704071	0.0075976	0.00409235	0.0105614	0.0281252	0.0465162	0.0554888	0.0589492	0.0463999	0.042866	0.079787	0.0747801	0.130293	0.10354	0.143571	0.160392
a13	0.00179585	0.00179	0.000851587	0.00296764	0.0102926	0.0209131	0.0273939	0.0317924	0.0215436	0.014995	0.0331985	0.0452838	0.143961	0.153009	0.244633	0.245579
a90	0.0012254	0.00101592	0.00049026	0.00092829	0.00311215	0.00732773	0.0114082	0.0160885	0.00920216	0.00502221	0.011335	0.0145607	0.0544135	0.121173	0.289488	0.453209
