 	de	hautes	herbes	ont	bloqué	la	piste	à	l'	entrée	de	la	forêt	</S>
a66	0.33497	0.159269	0.123655	0.138434	0.0462928	0.0554539	0.0371757	0.0267547	0.0178905	0.0100961	0.00861184	0.010064	0.0127331	0.0185989
a87	0.593685	0.27717	0.0480386	0.010794	0.00509682	0.00426981	0.00258222	0.00322675	0.00403174	0.00398572	0.0052844	0.00851568	0.011232	0.0220873
a10	0.281173	0.308248	0.0946173	0.0611325	0.0372242	0.0259049	0.0139777	0.0138373	0.0150633	0.017705	0.0215892	0.0310645	0.0345039	0.0439589
a87	0.254405	0.365951	0.154629	0.0581127	0.0213885	0.0119375	0.00685859	0.0095901	0.0123689	0.0136534	0.015415	0.0201136	0.0230163	0.0325603
a23	0.221073	0.284517	0.142601	0.0565964	0.0198455	0.0100443	0.00811893	0.0140675	0.0227466	0.0269948	0.0324962	0.0437528	0.048538	0.0686079
a40	0.199709	0.19542	0.0555285	0.0401676	0.0333303	0.0268997	0.0254173	0.0311645	0.0418775	0.0503351	0.0592147	0.0672129	0.0735141	0.100208
a36	0.321134	0.225052	0.102601	0.0781465	0.04304	0.0414229	0.026765	0.0219463	0.0226666	0.0214996	0.0230722	0.0228563	0.0215324	0.028266
a27	0.296086	0.183671	0.111947	0.117397	0.0794644	0.0383621	0.021986	0.0180899	0.0203986	0.0190313	0.0218816	0.0206292	0.0205513	0.0305055
a11	0.157502	0.150608	0.167657	0.131313	0.123634	0.0715871	0.038995	0.0314691	0.027977	0.0198718	0.0197078	0.0167408	0.0170693	0.0258671
a50	0.0695573	0.0855803	0.192861	0.169875	0.221171	0.0821329	0.0384811	0.0298752	0.0237366	0.0191929	0.0185511	0.0158296	0.0141597	0.0189963
a70	0.0320351	0.0699722	0.218616	0.202462	0.25847	0.0905861	0.0372233	0.0232653	0.0153333	0.0121596	0.0109123	0.0092961	0.00879248	0.0108767
a75	0.0257459	0.0591342	0.173609	0.182607	0.284146	0.117573	0.054298	0.0296724	0.0169755	0.0130897	0.011619	0.010213	0.00981675	0.0115014
a47	0.0214735	0.0523279	0.158935	0.121514	0.176026	0.129084	0.0884692	0.0723379	0.0463627	0.0315417	0.0271183	0.0231485	0.0234671	0.0281943
a37	0.022417	0.0394376	0.105416	0.0936011	0.217844	0.13521	0.0778173	0.0632841	0.0380685	0.0282786	0.0335177	0.0362442	0.0457991	0.0630644
a43	0.0159792	0.0196792	0.0694146	0.132819	0.310241	0.163366	0.0763115	0.0459246	0.0258361	0.0211807	0.0228356	0.0248879	0.0323636	0.039161
a61	0.0217632	0.0261712	0.0638006	0.152981	0.227751	0.16476	0.0941832	0.0643492	0.0429098	0.0335384	0.0263074	0.0242673	0.0263957	0.0308222
a75	0.0110139	0.0164485	0.0412143	0.106629	0.21371	0.174997	0.100284	0.079147	0.0600137	0.0530543	0.0401547	0.0338644	0.034074	0.0353941
a79	0.00347896	0.00452589	0.0131989	0.0486161	0.155984	0.159792	0.0922642	0.0847333	0.0691525	0.0746572	0.0735781	0.0682977	0.072542	0.0791793
a7	0.00140815	0.00184038	0.00451214	0.0194001	0.114101	0.142766	0.101765	0.092064	0.071678	0.0793628	0.084084	0.0819845	0.0947264	0.110308
a20	0.00345843	0.00362244	0.00684222	0.0194213	0.0708682	0.140223	0.13667	0.115156	0.0836954	0.0742277	0.0724758	0.073628	0.0912656	0.108445
a90	0.00125899	0.00148206	0.00238886	0.00487429	0.0224964	0.0605455	0.0761581	0.0785149	0.077902	0.088554	0.114954	0.11952	0.152157	0.199193
a94	0.00064716	0.000748315	0.00129468	0.00415847	0.0244457	0.0666548	0.0909272	0.0929101	0.0830693	0.0929812	0.107917	0.109728	0.140595	0.183922
a93	0.000848495	0.000756097	0.00118534	0.0032785	0.01363	0.0294538	0.0512407	0.0610108	0.070549	0.103924	0.124573	0.134656	0.179258	0.225636
