 	il	y	a	de	la	clameur	là-bas	dans	le	village	</S>
a38	0.176281	0.186534	0.125659	0.092276	0.0890747	0.0962123	0.0629116	0.0567252	0.0503996	0.0354842	0.0284427
a75	0.104278	0.0937227	0.0723267	0.0764916	0.120638	0.137074	0.1248	0.0959033	0.0701682	0.0513037	0.0532951
a96	0.345092	0.198702	0.104978	0.0587509	0.0754847	0.0731866	0.0503164	0.0289576	0.0215001	0.0196366	0.0233949
a75	0.273465	0.272334	0.164751	0.0921243	0.0865537	0.0621318	0.0256492	0.00968403	0.00464487	0.00371691	0.00494459
a61	0.234319	0.251898	0.172009	0.0930898	0.100298	0.0680976	0.0326832	0.014636	0.0109504	0.00983625	0.0121833
a0	0.171741	0.226717	0.207704	0.143147	0.133499	0.0749275	0.0224463	0.00802459	0.00439107	0.00346816	0.00393459
a75	0.114481	0.145029	0.171061	0.174283	0.163611	0.114647	0.0458934	0.0305043	0.0176472	0.0119781	0.0108645
a44	0.139665	0.161548	0.156045	0.131655	0.142582	0.111834	0.055559	0.0347192	0.0246543	0.0203201	0.0214176
a84	0.0840483	0.0925214	0.134445	0.163548	0.180665	0.161939	0.0723027	0.0520025	0.025647	0.0167315	0.016149
a57	0.0797073	0.0456303	0.0597594	0.0807546	0.0950844	0.122401	0.0543018	0.0854907	0.10489	0.13565	0.136331
a53	0.0475967	0.0250878	0.0323669	0.044565	0.0607596	0.0870477	0.0424095	0.0801839	0.126201	0.218668	0.235114
a93	0.0350102	0.0211682	0.033513	0.0657976	0.096301	0.129642	0.0860741	0.124869	0.127959	0.138162	0.141503
a90	0.0284473	0.017006	0.030577	0.0716278	0.0990362	0.136816	0.0934299	0.150439	0.137839	0.121583	0.113199
a9	0.0267264	0.0135766	0.0204729	0.0424286	0.0608936	0.099715	0.073445	0.156227	0.172949	0.168007	0.165558
a38	0.00627959	0.00237826	0.00348603	0.00840035	0.013635	0.0239205	0.0231593	0.0849467	0.167988	0.262925	0.402881
a62	0.00321157	0.00133218	0.00194934	0.00451144	0.00710519	0.0126002	0.0130952	0.0591028	0.133938	0.277526	0.485628
a83	0.00366078	0.00203578	0.00315642	0.0075353	0.00937072	0.0174083	0.0243872	0.101986	0.165066	0.243627	0.421766
a9	0.00224525	0.000931132	0.00135388	0.0030103	0.00384206	0.00664709	0.0115677	0.0586644	0.137495	0.275538	0.498705
a99	0.00414469	0.00100314	0.000932955	0.00126537	0.00234715	0.00476127	0.0133178	0.0558736	0.142212	0.299928	0.474214
a87	0.0103706	0.00318065	0.00305332	0.00365599	0.00714771	0.0116392	0.0297324	0.0923481	0.174855	0.256129	0.407888
a23	0.0388351	0.0165168	0.0162555	0.0154425	0.0227944	0.0362846	0.0603012	0.159952	0.227556	0.192065	0.213997
a9	0.0273097	0.0110975	0.012577	0.0171012	0.0261281	0.0355617	0.0625883	0.192575	0.200733	0.200372	0.213956
a26	0.0268662	0.0126377	0.0153654	0.0235392	0.033962	0.0430902	0.058698	0.132038	0.162086	0.210092	0.281625
</S>	0.0279772	0.0122832	0.015865	0.026334	0.0350709	0.04212	0.0552693	0.122318	0.149515	0.210375	0.302872
