 	votre	mère	l'	a	injurié	</S>
a66	0.292529	0.229583	0.202724	0.158055	0.0831597	0.0339491
a87	0.243328	0.221462	0.230627	0.19628	0.0826442	0.0256589
a23	0.425593	0.263155	0.175238	0.107661	0.0193844	0.00896866
a97	0.554751	0.21897	0.114146	0.0692656	0.0212349	0.0216327
a87	0.532681	0.214563	0.120579	0.0753373	0.0263111	0.030529
a23	0.545257	0.223178	0.122168	0.072963	0.0190016	0.0174324
a87	0.45192	0.211924	0.139235	0.104544	0.0493534	0.0430234
a23	0.524038	0.215048	0.123171	0.0833344	0.0292106	0.0251982
a99	0.374847	0.198739	0.155144	0.131507	0.0753685	0.0643936
a30	0.248564	0.194762	0.176569	0.161377	0.120154	0.0985747
a53	0.187152	0.175201	0.181949	0.179399	0.153567	0.122731
a79	0.182772	0.194838	0.208377	0.198849	0.143524	0.0716403
a44	0.199366	0.180467	0.18627	0.18357	0.159923	0.0904037
a61	0.13725	0.137602	0.161111	0.177996	0.203517	0.182524
a75	0.0972924	0.0927847	0.116403	0.140667	0.216651	0.336202
a37	0.133011	0.131541	0.15581	0.16944	0.190187	0.220011
a26	0.0895491	0.0934336	0.13078	0.161129	0.206116	0.318992
a34	0.0436185	0.0381728	0.0587562	0.0971724	0.20467	0.55761
a47	0.0512139	0.0510364	0.0815991	0.12948	0.234266	0.452404
a62	0.0451291	0.0462694	0.0712373	0.111636	0.216024	0.509704
a93	0.0322375	0.0325264	0.047526	0.0813418	0.192816	0.613552
a88	0.0235188	0.0237576	0.0382679	0.0648081	0.175696	0.673951
a71	0.00949061	0.00904009	0.0138216	0.0271282	0.112293	0.828227
a11	0.00638065	0.0070597	0.00999516	0.0204682	0.0988613	0.857235
a70	0.00592388	0.00771604	0.012029	0.0259245	0.109243	0.839164
a66	0.00553728	0.00673567	0.0108957	0.0241287	0.11028	0.842422
a57	0.0191302	0.0211851	0.0294525	0.0532654	0.135139	0.741828
a9	0.0932302	0.0658924	0.0674131	0.0909275	0.123286	0.559251
a10	0.266122	0.141565	0.115432	0.12796	0.091758	0.257162
a87	0.310692	0.182625	0.137465	0.140774	0.0752701	0.153174
a23	0.280997	0.18863	0.155015	0.159826	0.0771187	0.138413
a87	0.19977	0.178508	0.184111	0.184205	0.109426	0.14398
a23	0.171381	0.139106	0.137225	0.139059	0.137137	0.276092
a87	0.232784	0.191697	0.180492	0.164884	0.101471	0.128672
</S>	0.188304	0.159853	0.159449	0.157793	0.140453	0.194148
