 	quand	le	chanteur	chante	les	danseurs	doivent	fredonner	</S>
a66	0.181154	0.177582	0.160317	0.17318	0.17106	0.107568	0.023344	0.00360282	0.00219177
a87	0.370197	0.195174	0.0889093	0.0990186	0.116117	0.0680436	0.02974	0.0203991	0.0124009
a23	0.232465	0.192497	0.117461	0.0941483	0.103648	0.0848311	0.0621382	0.0548529	0.0579576
a79	0.168325	0.234826	0.267651	0.146533	0.0783958	0.0311506	0.0208736	0.0196971	0.0325483
a54	0.299912	0.219263	0.105926	0.0838838	0.0810385	0.0630794	0.043844	0.0487326	0.0543209
a47	0.255191	0.167231	0.126697	0.111167	0.0781255	0.0796009	0.0621763	0.0669578	0.0528525
a6	0.240828	0.208368	0.140948	0.105353	0.0542393	0.0606921	0.060449	0.073476	0.0556474
a36	0.171392	0.215056	0.190715	0.130971	0.0699675	0.0570627	0.06217	0.0603895	0.0422759
a21	0.140299	0.207246	0.226315	0.159103	0.0801113	0.0482243	0.0485551	0.0497916	0.040355
a12	0.129296	0.170925	0.230625	0.197824	0.132675	0.0726991	0.0374085	0.0157356	0.0128121
a98	0.11711	0.172602	0.220572	0.205608	0.138142	0.0790883	0.0382425	0.0150063	0.0136281
a79	0.0926683	0.171263	0.218763	0.171328	0.118743	0.0671341	0.0533461	0.0479222	0.0588318
a92	0.100308	0.138358	0.179892	0.183816	0.143525	0.0834249	0.0483207	0.0521566	0.0702002
a85	0.08385	0.126146	0.183846	0.194902	0.158044	0.103909	0.0579415	0.042285	0.0490767
a6	0.0279374	0.0527321	0.125728	0.140595	0.109186	0.0974594	0.114963	0.153281	0.178118
a36	0.040961	0.0714585	0.147953	0.184904	0.169518	0.124233	0.0914003	0.0769249	0.0926476
a85	0.0332401	0.0619728	0.133829	0.18855	0.186545	0.139642	0.08776	0.0648149	0.103646
a47	0.0152288	0.0278622	0.0789489	0.111466	0.115594	0.115737	0.1213	0.160203	0.25366
a36	0.0380706	0.0622351	0.120184	0.146658	0.145956	0.121316	0.0995373	0.0901375	0.175905
a2	0.0268732	0.0489495	0.113195	0.160209	0.153791	0.103483	0.0836811	0.0905393	0.219278
a57	0.0320151	0.0561563	0.151036	0.196467	0.129677	0.0627304	0.0770252	0.107472	0.18742
a87	0.0360761	0.0631709	0.173494	0.192477	0.145959	0.0852802	0.0991955	0.0976931	0.106654
a23	0.0811604	0.0903201	0.132406	0.10853	0.101257	0.0731211	0.074798	0.177389	0.161018
a40	0.053998	0.0867686	0.09076	0.0827259	0.0876556	0.0685753	0.0789596	0.191606	0.258951
a36	0.0496493	0.0510622	0.0552057	0.0501727	0.0635	0.0773488	0.120515	0.267036	0.26551
a11	0.0219914	0.0250552	0.0285634	0.0331551	0.0430927	0.0688061	0.127337	0.31813	0.333869
a21	0.0165813	0.0198424	0.0304621	0.0415917	0.0501005	0.0709156	0.09894	0.342233	0.329333
a47	0.00709452	0.0105357	0.0293479	0.0520774	0.0580264	0.0672905	0.118071	0.331003	0.326554
a62	0.00479154	0.00956909	0.0250119	0.0429338	0.0425437	0.0456915	0.0824344	0.338484	0.40854
a18	0.00481619	0.0103877	0.0298606	0.0537729	0.0539199	0.0567869	0.121544	0.313384	0.355528
a75	0.00353122	0.00583623	0.0130542	0.0241869	0.0257258	0.0238713	0.0749181	0.32718	0.501696
a47	0.000856986	0.0014583	0.00432554	0.00939215	0.0118919	0.0146399	0.0611594	0.351292	0.544984
a98	0.000269605	0.00045665	0.00158918	0.00329303	0.00373392	0.00439778	0.0239883	0.280302	0.68197
a85	0.000317928	0.00054029	0.00198689	0.00429309	0.00519417	0.00724547	0.0273172	0.234301	0.718804
a6	0.000288665	0.000403395	0.00110323	0.00228424	0.00303152	0.00452612	0.0198433	0.194929	0.773591
a36	0.000306435	0.00050524	0.00190104	0.0040878	0.00512222	0.00606	0.0279462	0.220371	0.7337
a11	0.00152457	0.00139304	0.00208542	0.00338049	0.00397221	0.00375354	0.0253246	0.27883	0.679736
a96	0.00183825	0.00165285	0.00183424	0.00252336	0.00309205	0.00348455	0.0242466	0.294583	0.666745
a26	0.00154082	0.00180476	0.00232054	0.00335715	0.00374455	0.00440004	0.0229209	0.252982	0.706929
a3	0.0152537	0.0116718	0.0117786	0.0108707	0.0117146	0.0134764	0.0474151	0.309248	0.568571
a99	0.0743296	0.0350007	0.0288448	0.027945	0.0476896	0.068473	0.123406	0.277425	0.316886
a87	0.0811412	0.0523499	0.0534439	0.0532041	0.0760379	0.0784511	0.113055	0.209935	0.282382
a23	0.0808566	0.0523106	0.0425856	0.0593452	0.127018	0.11828	0.108155	0.174744	0.236705
a97	0.00844608	0.00319312	0.00226302	0.00390951	0.00936554	0.0132066	0.0306419	0.287348	0.641626
</S>	0.00617251	0.00485463	0.00431455	0.00385369	0.00621486	0.00794169	0.0180583	0.215193	0.733397
