 	de	quelle	affaire	as-tu	parlé	</S>
a83	0.272279	0.178336	0.156291	0.183144	0.122193	0.0877583
a34	0.399154	0.23274	0.159632	0.099852	0.0588307	0.0497913
a75	0.513763	0.284824	0.117673	0.0489569	0.0201358	0.0146482
a92	0.476025	0.341117	0.124036	0.0393507	0.0112644	0.00820715
a18	0.379787	0.361798	0.168408	0.0603718	0.0172426	0.012392
a27	0.264713	0.265478	0.213501	0.143291	0.0594201	0.0535961
a11	0.131936	0.149554	0.185649	0.172363	0.161265	0.199233
a62	0.137195	0.167871	0.194236	0.166883	0.13833	0.195484
a61	0.158962	0.177586	0.207317	0.176971	0.121264	0.1579
a21	0.142572	0.147172	0.197718	0.215765	0.147926	0.148847
a56	0.152385	0.160856	0.218674	0.232646	0.127494	0.107945
a25	0.0859634	0.0825791	0.130499	0.235392	0.222126	0.243441
a92	0.0440699	0.0342666	0.0619255	0.154327	0.253773	0.451638
a66	0.0767883	0.0496326	0.0629443	0.149095	0.273856	0.387684
a47	0.0149552	0.0122474	0.0203405	0.0559061	0.23427	0.662281
a31	0.0137197	0.0108207	0.0171963	0.0491532	0.244987	0.664123
a62	0.0115207	0.0114973	0.0150059	0.0363708	0.228986	0.696619
a83	0.015829	0.0159991	0.0211098	0.0460796	0.230117	0.670866
a9	0.0143553	0.0129891	0.0171758	0.0418971	0.230852	0.68273
a87	0.0774001	0.0539888	0.0470388	0.0764167	0.251251	0.493905
a23	0.345118	0.162074	0.0841913	0.0879732	0.133345	0.187299
a87	0.206355	0.108746	0.0732884	0.0965129	0.216722	0.298376
a9	0.117171	0.0598628	0.0462747	0.0897631	0.250895	0.436034
a57	0.250092	0.12366	0.0796964	0.10985	0.173422	0.263279
</S>	0.26853	0.136233	0.0821769	0.109607	0.165871	0.237582
