 	tes	pièges	sont	déjà	vérifié	</S>
a87	0.347319	0.220267	0.164639	0.150088	0.0759302	0.0417562
a23	0.395866	0.312139	0.125497	0.0778564	0.0529841	0.0356583
a99	0.263864	0.288556	0.216173	0.13377	0.0454898	0.0521473
a87	0.350855	0.350804	0.154248	0.0784735	0.0296483	0.0359713
a23	0.310447	0.319252	0.202724	0.106116	0.033285	0.0281761
a97	0.362536	0.354029	0.143829	0.0722284	0.0314117	0.0359667
a83	0.358263	0.353197	0.164442	0.0762776	0.0256765	0.0221433
a9	0.386922	0.313397	0.13302	0.0741091	0.0417115	0.0508403
a70	0.236027	0.199902	0.143025	0.133999	0.117545	0.169501
a75	0.256112	0.210819	0.153984	0.139733	0.101965	0.137386
a47	0.318157	0.228804	0.120776	0.101957	0.0929149	0.137391
a6	0.231776	0.186191	0.133649	0.133404	0.129409	0.185571
a37	0.264046	0.233572	0.150943	0.108834	0.0928095	0.149796
a61	0.20636	0.233373	0.220415	0.14374	0.0860899	0.110021
a88	0.182665	0.188152	0.228803	0.184774	0.107471	0.108135
a31	0.0846743	0.118721	0.213784	0.23976	0.170774	0.172287
a62	0.0490625	0.0602505	0.130165	0.218876	0.305987	0.235658
a61	0.0223004	0.0287124	0.0893748	0.186378	0.344508	0.328726
a75	0.0282129	0.0292959	0.0873423	0.180043	0.340935	0.334171
a98	0.0252579	0.0229512	0.0660445	0.140903	0.303815	0.441028
a25	0.00563751	0.0048765	0.0159824	0.0560597	0.301921	0.615522
a90	0.00194595	0.00190913	0.00709114	0.0276255	0.245033	0.716395
a25	0.00206748	0.00148702	0.00596092	0.0234075	0.23221	0.734867
a92	0.000505275	0.000452192	0.00244808	0.0124312	0.198844	0.785319
a79	0.00127895	0.00115144	0.00491236	0.0223157	0.220712	0.74963
a94	0.00254689	0.00242582	0.0071727	0.0232237	0.234453	0.730177
a58	0.000329337	0.000365529	0.00266906	0.0150696	0.25794	0.723626
a82	0.0011633	0.000809748	0.00223615	0.00962396	0.231373	0.754794
a10	0.0566711	0.0307523	0.0459633	0.0716341	0.261392	0.533587
a87	0.141691	0.0982744	0.132842	0.173996	0.220979	0.232217
a23	0.106023	0.0772844	0.137221	0.189193	0.228979	0.261299
a87	0.0442528	0.0344498	0.0692897	0.113469	0.269064	0.469475
</S>	0.0273733	0.0309184	0.0612024	0.0882634	0.222682	0.56956
