 	le	moment	de	se	dire	adieu	est	venu	</S>
a66	0.306776	0.172849	0.132847	0.101566	0.0727565	0.0743879	0.0763977	0.03661	0.0258091
a87	0.276888	0.169171	0.188978	0.161335	0.102438	0.0531922	0.020736	0.0129569	0.0143048
a23	0.38792	0.341311	0.157185	0.0558908	0.0185772	0.00889593	0.0105481	0.00943006	0.0102419
a93	0.334863	0.380547	0.147606	0.0558247	0.0321604	0.0154147	0.00868604	0.00926597	0.0156326
a70	0.483257	0.242311	0.098356	0.0590049	0.0399383	0.0240566	0.0132847	0.0173618	0.0224296
a83	0.375476	0.269336	0.135511	0.112308	0.0508639	0.0300549	0.0100799	0.00793128	0.00843828
a62	0.216409	0.251247	0.171737	0.178175	0.0986312	0.0427069	0.015161	0.0119554	0.0139775
a21	0.139351	0.194592	0.189294	0.216137	0.180604	0.0468517	0.0126735	0.00892446	0.0115724
a34	0.0977686	0.114883	0.151807	0.229987	0.275954	0.0927051	0.0159518	0.00901348	0.0119307
a75	0.104338	0.126665	0.1786	0.23035	0.249185	0.0824356	0.0126736	0.00640544	0.00934666
a25	0.0943146	0.0908649	0.142838	0.203761	0.241023	0.132486	0.0376657	0.0251756	0.0318703
a92	0.0718225	0.0593677	0.0894845	0.150554	0.223696	0.213683	0.0764315	0.0508603	0.0641003
a37	0.0753514	0.0493225	0.0653099	0.105592	0.138836	0.167105	0.121332	0.119142	0.158008
a75	0.0631163	0.04705	0.0504355	0.0784434	0.0934975	0.187526	0.157097	0.13457	0.188265
a85	0.0198696	0.0118122	0.0120201	0.018221	0.0280935	0.0965473	0.231644	0.258142	0.323651
a0	0.0116452	0.00649763	0.00510996	0.00723492	0.0123841	0.0788709	0.234575	0.273234	0.370448
a56	0.0119514	0.00800066	0.00532737	0.00567122	0.00633595	0.0259998	0.112124	0.258097	0.566493
a96	0.00856896	0.00619856	0.00463814	0.00571542	0.00634473	0.031797	0.137128	0.258862	0.540747
a0	0.00775113	0.00624385	0.00432655	0.00497337	0.00457646	0.0146576	0.0711881	0.277119	0.609164
a90	0.00409217	0.00324111	0.00208597	0.00222497	0.00189845	0.00570812	0.0471392	0.283018	0.650592
a4	0.000499277	0.000336551	0.000238618	0.000294012	0.000473335	0.00196505	0.033422	0.29641	0.666361
a53	0.0009307	0.000605761	0.000471829	0.000525561	0.000484019	0.00148415	0.02953	0.300973	0.664995
a69	0.000645715	0.000502526	0.000436658	0.000443418	0.000511372	0.00121803	0.0203197	0.256661	0.719262
a58	0.000328916	0.000189968	0.000163996	0.000185352	0.000237186	0.000844505	0.0179058	0.246214	0.73393
a84	0.00137958	0.000974568	0.000745923	0.000581772	0.000555341	0.00215431	0.0266287	0.266475	0.700505
a82	0.186104	0.0972934	0.0545897	0.0360771	0.021554	0.0337984	0.0576596	0.145919	0.367006
a87	0.277384	0.200016	0.124568	0.0499988	0.0213492	0.0228985	0.0385968	0.0889992	0.17619
a23	0.280247	0.206559	0.188156	0.101718	0.044519	0.038036	0.0375502	0.0461263	0.0570884
a99	0.12346	0.1594	0.0944435	0.0416193	0.0150559	0.0128774	0.056615	0.223742	0.272787
a87	0.116806	0.117866	0.0680057	0.0318691	0.0189135	0.0283931	0.0842958	0.217862	0.315988
</S>	0.0228489	0.0225525	0.0139398	0.00751286	0.00820727	0.0191713	0.0923275	0.293229	0.520211
