 	ses	parents	ne	le	fréquentent	plus	parce	qu'	il	pratique	la	sorcellerie	</S>
a66	0.176933	0.1391	0.233508	0.168977	0.0858633	0.0563554	0.0376883	0.0275895	0.0203954	0.0160418	0.0127799	0.0119207	0.0128475
a87	0.336505	0.215652	0.167459	0.0569825	0.0168139	0.0162396	0.0143559	0.0187152	0.0243372	0.0273309	0.0321963	0.0344503	0.0389622
a23	0.453749	0.252741	0.10538	0.0263237	0.00966802	0.00706365	0.00836084	0.0113473	0.0166865	0.0197498	0.0270728	0.0282632	0.0335942
a18	0.373963	0.22341	0.0570546	0.0163151	0.00915936	0.0124101	0.0152053	0.0202215	0.0314918	0.0402916	0.0512668	0.0596013	0.0896092
a53	0.287601	0.210207	0.0766804	0.039323	0.0298528	0.0262465	0.0264458	0.0294512	0.036589	0.0461831	0.0567989	0.0592571	0.0753645
a90	0.406899	0.24178	0.132444	0.0661569	0.0326276	0.018986	0.0134017	0.010807	0.0126616	0.0155416	0.0157938	0.0167341	0.0161679
a92	0.260643	0.240749	0.151755	0.0919672	0.0538531	0.0361057	0.0260381	0.0205813	0.0217631	0.0240939	0.022864	0.0253987	0.0241884
a98	0.165806	0.17277	0.120432	0.101117	0.0871668	0.0734911	0.0504989	0.0383685	0.0357113	0.0374188	0.0344132	0.0400586	0.0427475
a47	0.113589	0.151788	0.135351	0.123361	0.11763	0.104924	0.0639445	0.0432389	0.0350971	0.0331393	0.025172	0.0260777	0.0266877
a6	0.0938774	0.0981367	0.0835836	0.0916393	0.107891	0.11651	0.0786585	0.0580567	0.0525072	0.0532794	0.0467246	0.0541332	0.0650021
a21	0.147163	0.146415	0.119787	0.10497	0.0982442	0.0901195	0.0606197	0.0439842	0.0385527	0.0366246	0.031406	0.037347	0.0447663
a85	0.0858174	0.139559	0.145774	0.136013	0.117496	0.104701	0.0701679	0.0500419	0.0367563	0.030917	0.0250586	0.0261632	0.0315351
a47	0.0251348	0.0528304	0.0662888	0.0990297	0.120639	0.155029	0.120919	0.0957425	0.0714134	0.0530362	0.0409253	0.0430094	0.0560021
a36	0.022137	0.037372	0.0648334	0.137425	0.16689	0.146987	0.093917	0.0668317	0.0535657	0.0465994	0.0455144	0.0505543	0.0673725
a79	0.0149743	0.0239011	0.0450131	0.133655	0.206271	0.18079	0.111249	0.0748961	0.0530388	0.0416938	0.0348138	0.0365499	0.0431545
a69	0.00994459	0.0138426	0.0275483	0.0970364	0.16002	0.15512	0.116081	0.0929333	0.0730316	0.0574496	0.0549406	0.0602289	0.0818235
a20	0.0058282	0.0075266	0.0117967	0.0523121	0.129841	0.18537	0.153818	0.121668	0.0896125	0.0660338	0.0552817	0.053986	0.0669252
a15	0.0067918	0.00834094	0.011515	0.0427802	0.130744	0.148788	0.127871	0.109066	0.0982411	0.0777378	0.0669876	0.0687582	0.102379
a7	0.00463593	0.00527766	0.00761766	0.0349726	0.137838	0.163748	0.138427	0.11542	0.0986563	0.0743308	0.0616707	0.0624676	0.094937
a47	0.0122238	0.0107576	0.0108004	0.0270122	0.0830393	0.13383	0.128208	0.108223	0.0879359	0.072144	0.0794076	0.0962074	0.150211
a6	0.00539341	0.00497875	0.00579353	0.0207809	0.0816455	0.136459	0.133523	0.122527	0.100143	0.0806761	0.0818575	0.092375	0.133848
a36	0.00229005	0.0022762	0.00255893	0.010921	0.0712628	0.139333	0.145333	0.138097	0.121111	0.0976136	0.0805731	0.0802878	0.108343
a37	0.008621	0.00640359	0.00506127	0.00993301	0.0458827	0.0897323	0.113149	0.106753	0.0887258	0.0771101	0.0986542	0.136016	0.213958
a75	0.00878592	0.00602286	0.00386279	0.0069203	0.0346366	0.0802616	0.106548	0.108385	0.0937344	0.0846064	0.104811	0.141242	0.220183
a92	0.00182615	0.00189498	0.00230221	0.00852016	0.0472158	0.0988865	0.117243	0.122555	0.116108	0.111344	0.103553	0.108283	0.160267
a98	0.00116491	0.00118014	0.0015346	0.00547221	0.0313211	0.0757362	0.098108	0.114677	0.121366	0.131885	0.130485	0.128018	0.159052
a92	0.000936169	0.000918189	0.000829011	0.00317057	0.022928	0.0629302	0.0878894	0.105619	0.114827	0.128176	0.136879	0.134973	0.199924
a56	0.000946081	0.000923531	0.00104312	0.00361235	0.0216551	0.052563	0.0677673	0.0874184	0.101151	0.132236	0.162983	0.162992	0.20471
a47	0.00200008	0.00180146	0.00230294	0.00569637	0.0195823	0.039798	0.0517925	0.0687345	0.0812374	0.117242	0.167202	0.198552	0.244058
a62	0.00259177	0.00231312	0.00203969	0.00418036	0.0149245	0.0305051	0.039252	0.0514537	0.0603519	0.0879931	0.152713	0.223583	0.328099
a96	0.00193374	0.00232528	0.00225432	0.00425894	0.0134511	0.0214122	0.0302547	0.044572	0.0581541	0.0906722	0.173312	0.237281	0.320119
a34	0.0030173	0.00311283	0.00284453	0.00539989	0.0153519	0.0250696	0.0389395	0.0568868	0.0664565	0.0856103	0.152852	0.211311	0.333148
a56	0.00218427	0.00245431	0.00225582	0.00417215	0.0129764	0.0230708	0.0366197	0.0514815	0.0614148	0.0865819	0.162835	0.226002	0.327952
a44	0.00096406	0.00096441	0.00105677	0.00222375	0.00656897	0.011746	0.0190425	0.0289828	0.037795	0.0661487	0.160355	0.264383	0.399768
a70	0.000910654	0.000989148	0.000893753	0.00202385	0.00610522	0.012412	0.0211423	0.0348187	0.0437513	0.0676277	0.159214	0.244871	0.405241
a71	0.00150313	0.00147702	0.00134637	0.0029815	0.00844099	0.0159015	0.0257288	0.0398562	0.0472796	0.0691776	0.15812	0.24249	0.385698
a9	0.00789741	0.00548034	0.00444131	0.00912388	0.0330922	0.0471381	0.0627142	0.0749271	0.0921933	0.107614	0.137541	0.152942	0.264896
a87	0.0326912	0.0168292	0.0139742	0.0223779	0.0595675	0.0731191	0.0920594	0.0988237	0.114971	0.119082	0.10916	0.101222	0.146123
a23	0.14571	0.0552054	0.0494715	0.06214	0.0807262	0.0767549	0.0783496	0.0775082	0.0841019	0.0810451	0.0695101	0.0631388	0.0763381
a99	0.0855153	0.0348181	0.018527	0.018264	0.0227184	0.0358347	0.0409153	0.054979	0.0711026	0.0964727	0.143592	0.159019	0.218242
a87	0.0553585	0.0232989	0.0116991	0.0119196	0.0176843	0.0291801	0.0330615	0.0464699	0.06147	0.0899462	0.154561	0.187891	0.27746
</S>	0.0169899	0.00838579	0.0044721	0.00393831	0.00633206	0.0113366	0.0134723	0.0228478	0.0358386	0.0625204	0.149159	0.228632	0.436075
