 	ce	soldat	est	un	héros	</S>
a66	0.588575	0.160188	0.0614295	0.0682495	0.070186	0.0513717
a87	0.442508	0.200173	0.104312	0.0886288	0.0706284	0.0937499
a23	0.667803	0.154785	0.0411076	0.0367571	0.0449557	0.0545917
a79	0.330248	0.127611	0.0743468	0.123094	0.206522	0.138178
a90	0.466118	0.202268	0.0921242	0.0778724	0.0849202	0.076697
a94	0.476397	0.356583	0.0865871	0.0462421	0.0210741	0.0131161
a90	0.296054	0.435127	0.135481	0.0652465	0.0383039	0.0297872
a56	0.236948	0.410284	0.159073	0.0827617	0.0509773	0.0599563
a75	0.241846	0.391105	0.139431	0.0803141	0.0712048	0.0760998
a92	0.171575	0.268485	0.169708	0.139859	0.129831	0.120542
a37	0.121812	0.172832	0.177518	0.177448	0.177239	0.17315
a21	0.0572015	0.0695542	0.147309	0.217508	0.250438	0.25799
a61	0.0150588	0.0174618	0.0869792	0.230192	0.320975	0.329334
a34	0.00312197	0.00512936	0.0360537	0.149614	0.361999	0.444082
a93	0.00141028	0.0033113	0.0220812	0.109554	0.364433	0.49921
a70	0.00121757	0.00273619	0.0138576	0.0701783	0.322018	0.589992
a62	0.000691069	0.00149973	0.00689422	0.0311055	0.26323	0.696579
a83	0.000743788	0.00131281	0.00531474	0.0234822	0.240957	0.72819
a71	0.000937804	0.00168457	0.00607082	0.0218191	0.242594	0.726893
a9	0.0169353	0.015156	0.0256641	0.0522757	0.305226	0.584743
a87	0.185782	0.0687157	0.0646846	0.0813031	0.244561	0.354953
a23	0.370656	0.1087	0.0592202	0.0740262	0.169207	0.218191
a99	0.0634324	0.023553	0.0277746	0.0542892	0.225807	0.605143
a97	0.0102205	0.00477724	0.0109415	0.0494771	0.249097	0.675487
</S>	0.0093913	0.0057731	0.0149307	0.0688993	0.260722	0.640283
